CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 28001
NOMBRE    : ABASOLO (DGE)
ESTADO    : TAMAULIPAS
MUNICIPIO : ABASOLO
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 024.066°
LONGITUD  : -98.39°
ALTITUD   : 70 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/12/1978  0       1.2    28     15     
02/12/1978  0       2.3    31     16     
03/12/1978  0       4      32     20     
04/12/1978  0       4.9    29     17     
05/12/1978  0       3.3    30     12     
06/12/1978  0       2.4    31     13     
07/12/1978  0       2.3    32     14     
08/12/1978  0       0.9    17     13     
09/12/1978  0       0.2    31     7      
10/12/1978  0       0.2    31     3      
11/12/1978  0       6.2    31     6      
12/12/1978  0       1.2    30     11.5   
13/12/1978  3.9     0.5    30     12     
14/12/1978  0       1.2    29     12     
15/12/1978  0       0.9    30     12     
16/12/1978  11      3.1    28     13     
17/12/1978  0       0.6    23     14     
18/12/1978  0       0.3    25     13     
19/12/1978  0       0.8    25     14     
20/12/1978  0       2.6    27     14.5   
21/12/1978  0       1.7    27     16     
22/12/1978  0       2.2    28.5   9      
23/12/1978  0       2      29.5   11     
24/12/1978  0       1.8    28     15     
25/12/1978  0       1.1    33     6      
26/12/1978  6.2     0.9    25     16     
27/12/1978  0       0.2    22.1   13     
28/12/1978  0       0.5    23     13     
29/12/1978  0       1.2    22     14     
30/12/1978  0       1.8    29.5   14.5   
31/12/1978  0       1.9    29     14.5   
01/01/1979  0       0.8    10.5   2      
02/01/1979  0       0.8    15     1      
03/01/1979  0       0.8    15     1      
04/01/1979  0       2.3    23.5   1.5    
05/01/1979  0       2.7    26     10     
06/01/1979  0       3.1    28     12     
07/01/1979  0       4.4    20     11.5   
08/01/1979  0       3.6    9.5    6      
09/01/1979  0       2.5    14     6      
10/01/1979  2.4     3.4    24     7      
11/01/1979  0       1.4    12     6      
12/01/1979  0       2.6    23     3      
13/01/1979  0       5.4    28     4.5    
14/01/1979  0       2.8    13.5   5      
15/01/1979  0       2.8    20.5   0.5    
16/01/1979  0       1.8    23.5   4      
17/01/1979  0       2.5    27     3.5    
18/01/1979  0       1.2    26     6      
19/01/1979  0       3.4    27.5   13.5   
20/01/1979  0       2.3    27     15     
21/01/1979  0       3.4    21     12.5   
22/01/1979  0       2.7    22     5      
23/01/1979  0       5.1    26     6      
24/01/1979  0.2     1.7    18.5   8.5    
25/01/1979  0       4.6    23     9      
26/01/1979  0       4.5    29     13     
27/01/1979  0       5.7    22     15     
28/01/1979  3.1     1.1    16.5   12     
29/01/1979  0       4.3    24     13     
30/01/1979  0       2.8    16.5   12.5   
31/01/1979  0       2.7    13.5   9      
07/02/1979  0       Nulo   Nulo   Nulo   
08/02/1979  0       2      30     16     
09/02/1979  0       2.3    17     12     
10/02/1979  0       1.9    23     8      
11/02/1979  0       2      24     9      
12/02/1979  0       2      22     15     
13/02/1979  0       3.6    30     12     
14/02/1979  0       7.3    34     14     
15/02/1979  0       1.7    22     15     
16/02/1979  0       0.7    10     7      
17/02/1979  0       2.1    13     6      
18/02/1979  4       0.3    17     6      
19/02/1979  0       3.1    30     9      
20/02/1979  0       3.5    30     11     
21/02/1979  0       3.2    33     15     
22/02/1979  0       5.8    35     19     
23/02/1979  0       6.2    35     21     
24/02/1979  0       5.4    24     10     
25/02/1979  0       2.1    25     3      
26/02/1979  0       5.1    24     3      
27/02/1979  0       3      30     4      
28/02/1979  0       2.7    31     9      
01/03/1979  0       1.3    28     5      
02/03/1979  0       5.2    33     17     
03/03/1979  0       5.9    30     17     
04/03/1979  0       5.1    26     10     
05/03/1979  1.4     0.6    21     12     
06/03/1979  0       1.4    18     12     
07/03/1979  0       2      29     8      
08/03/1979  0       6.9    33     9      
09/03/1979  0       6.5    33     10     
10/03/1979  0       5.1    27     11     
11/03/1979  0       0.7    20     12     
12/03/1979  0       3.2    24     12     
13/03/1979  0       3.3    30     14     
14/03/1979  0       2.4    29     15     
15/03/1979  0       4.6    31     17     
16/03/1979  0       4.7    27     18     
17/03/1979  0       3.9    29     20     
18/03/1979  0       7.7    33     20     
