CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 28039
NOMBRE    : JAUMAVE (SMN)
ESTADO    : TAMAULIPAS
MUNICIPIO : JAUMAVE
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 023.4°
LONGITUD  : -99.367°
ALTITUD   : 141 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/12/1941  0.3     Nulo   25.7   10.5   
02/12/1941  2.5     Nulo   25.9   12.7   
03/12/1941  0       Nulo   22.9   11.5   
04/12/1941  0       Nulo   26.9   7.7    
05/12/1941  0       Nulo   28.1   9.6    
06/12/1941  0       Nulo   24.3   10.8   
07/12/1941  0.6     Nulo   22.1   11.4   
08/12/1941  0.2     Nulo   13.8   9      
09/12/1941  0       Nulo   19.6   7.2    
10/12/1941  0.2     Nulo   21.8   8.8    
11/12/1941  0       Nulo   26.2   9.4    
12/12/1941  0       Nulo   31.2   13.7   
13/12/1941  0       Nulo   25.6   12.5   
14/12/1941  0       Nulo   19.6   13.4   
15/12/1941  0       Nulo   24.9   12.3   
16/12/1941  0       Nulo   25.8   11.1   
17/12/1941  0       Nulo   26.9   5      
18/12/1941  0       Nulo   28     4      
19/12/1941  0       Nulo   24.2   3.9    
20/12/1941  0       Nulo   24.1   7.2    
21/12/1941  0       Nulo   27.4   7.6    
22/12/1941  0       Nulo   34.8   11.7   
23/12/1941  0       Nulo   25.4   10.8   
24/12/1941  0       Nulo   24.8   4.6    
25/12/1941  0       Nulo   31.5   6.4    
26/12/1941  0       Nulo   21.1   7      
27/12/1941  0       Nulo   22.1   5.2    
28/12/1941  0       Nulo   19.6   6.3    
29/12/1941  0       Nulo   23.2   10.5   
30/12/1941  0       Nulo   28.1   11.2   
31/12/1941  0       Nulo   30.8   12     
01/01/1942  0       Nulo   28.8   11.7   
02/01/1942  0       Nulo   28.2   11.2   
03/01/1942  0       Nulo   28.2   13.2   
04/01/1942  0       Nulo   21.8   2.2    
05/01/1942  1       Nulo   23     11.5   
06/01/1942  0       Nulo   20.1   11.5   
07/01/1942  0       Nulo   26.6   12.2   
08/01/1942  0       Nulo   22.1   5.2    
09/01/1942  0       Nulo   25.1   5.7    
10/01/1942  0       Nulo   15.5   1.7    
11/01/1942  0       Nulo   18     -1.8   
12/01/1942  0       Nulo   21     -0.2   
13/01/1942  0       Nulo   21.6   2.2    
14/01/1942  0       Nulo   25     2.2    
15/01/1942  0       Nulo   18     4.7    
16/01/1942  0       Nulo   22.2   9.2    
17/01/1942  0       Nulo   24.5   4.7    
18/01/1942  0       Nulo   25.5   6.7    
19/01/1942  0       Nulo   22     6.7    
20/01/1942  0       Nulo   18.5   10.2   
21/01/1942  0       Nulo   15     8.2    
22/01/1942  0       Nulo   21.5   1.7    
23/01/1942  0       Nulo   24.5   1.7    
24/01/1942  0       Nulo   25.5   1.7    
25/01/1942  0       Nulo   26.5   4.2    
26/01/1942  0       Nulo   28.5   4.7    
27/01/1942  0       Nulo   28     4.7    
28/01/1942  0       Nulo   25.1   4.5    
29/01/1942  0       Nulo   23.8   5.6    
30/01/1942  0       Nulo   31.7   10.2   
31/01/1942  0       Nulo   20.5   4.2    
01/02/1942  0       Nulo   19.5   7.7    
02/02/1942  0       Nulo   21.5   3.2    
03/02/1942  0       Nulo   23.5   6.7    
04/02/1942  0       Nulo   26.5   9.7    
05/02/1942  0       Nulo   29.5   8.7    
06/02/1942  0       Nulo   30.1   10.7   
07/02/1942  0       Nulo   26.5   13.2   
08/02/1942  0       Nulo   28.6   11.2   
09/02/1942  0       Nulo   31.1   8.7    
10/02/1942  3       Nulo   19.5   9.2    
11/02/1942  0       Nulo   18     8.2    
12/02/1942  0       Nulo   20     6.7    
13/02/1942  0       Nulo   22.5   7.2    
14/02/1942  0       Nulo   30.1   8.2    
15/02/1942  0       Nulo   34.1   8.7    
16/02/1942  0       Nulo   29.1   18.2   
17/02/1942  0       Nulo   21     11.2   
18/02/1942  0       Nulo   15     9.2    
19/02/1942  0       Nulo   19     7.2    
20/02/1942  0       Nulo   21.5   7.2    
21/02/1942  0       Nulo   23.5   8.2    
22/02/1942  0       Nulo   34.5   6.7    
23/02/1942  0       Nulo   35.1   8.7    
24/02/1942  0       Nulo   25     10.2   
25/02/1942  0       Nulo   26     7.7    
26/02/1942  0       Nulo   26.5   7      
27/02/1942  0       Nulo   19.5   6.7    
28/02/1942  Nulo    Nulo   Nulo   2.2    
01/03/1942  0       Nulo   29.1   5.2    
02/03/1942  0       Nulo   22     3.2    
03/03/1942  0       Nulo   23.5   0.2    
04/03/1942  0       Nulo   24     2.2    
05/03/1942  0       Nulo   24     4.2    
06/03/1942  0       Nulo   28     0.2    
07/03/1942  0       Nulo   32.4   1.7    
08/03/1942  0       Nulo   20     2.7    
09/03/1942  0       Nulo   24.5   1.3    
10/03/1942  0       Nulo   30.1   2.2    
11/03/1942  0       Nulo   34.1   3.2    
12/03/1942  0       Nulo   36.1   5.5    
13/03/1942  0       Nulo   36.1   9.7    
14/03/1942  0       Nulo   40.2   11.2   
15/03/1942  0       Nulo   42.2   6.7    
16/03/1942  0       Nulo   40.5   12.2   
17/03/1942  0       Nulo   38.1   13     
18/03/1942  0       Nulo   37.6   10.7   
19/03/1942  0       Nulo   30.1   9.7    
20/03/1942  0       Nulo   40.8   9.7    
21/03/1942  3.5     Nulo   23     10.2   
22/03/1942  0       Nulo   21.5   7.2    
23/03/1942  0       Nulo   28     8.2    
24/03/1942  0       Nulo   31.6   9.2    
25/03/1942  0       Nulo   39.2   10.2   
26/03/1942  0       Nulo   37.1   11.2   
27/03/1942  0       Nulo   23.5   13.7   
28/03/1942  0       Nulo   22     10.2   
29/03/1942  0       Nulo   19.1   7.2    
30/03/1942  0       Nulo   26.9   9.2    
31/03/1942  0       Nulo   18     8.7    
01/04/1942  0       Nulo   16     10.2   
02/04/1942  0       Nulo   17.5   10.2   
03/04/1942  0       Nulo   18.5   10.7   
04/04/1942  0       Nulo   21.6   12.2   
05/04/1942  0       Nulo   26.4   14.2   
06/04/1942  0       Nulo   28.4   13.2   
07/04/1942  0       Nulo   40.2   13.2   
08/04/1942  0       Nulo   33.1   14.2   
09/04/1942  0       Nulo   30.1   11.7   
10/04/1942  0       Nulo   28.6   11.7   
11/04/1942  0       Nulo   31.1   11.2   
12/04/1942  0       Nulo   34.6   8.7    
13/04/1942  0       Nulo   31.6   10.2   
14/04/1942  0       Nulo   42.7   11.7   
15/04/1942  0       Nulo   31.1   10.7   
16/04/1942  0       Nulo   28.6   12.2   
17/04/1942  0       Nulo   29.1   15.7   
18/04/1942  0       Nulo   37.1   13.2   
19/04/1942  0       Nulo   36     13.2   
20/04/1942  0       Nulo   32.6   15.4   
21/04/1942  8       Nulo   32.1   18.5   
22/04/1942  0       Nulo   27     15.7   
23/04/1942  0       Nulo   34.6   16.2   
24/04/1942  0       Nulo   37.1   10.7   
25/04/1942  0       Nulo   34.1   13.2   
26/04/1942  0       Nulo   35.4   13.2   
27/04/1942  0       Nulo   36.6   14.6   
28/04/1942  11      Nulo   32.1   15.7   
29/04/1942  0       Nulo   31.6   15.2   
30/04/1942  0       Nulo   31.4   16.2   
01/05/1942  0       Nulo   34.1   15.2   
02/05/1942  0       Nulo   31.6   16.2   
03/05/1942  0       Nulo   39.4   16.2   
04/05/1942  14      Nulo   28.6   16.2   
05/05/1942  0       Nulo   28.6   15.7   
06/05/1942  0       Nulo   32.6   16.2   
07/05/1942  1       Nulo   29.6   16.7   
08/05/1942  2       Nulo   30.6   16.2   
09/05/1942  0       Nulo   28.6   15.5   
10/05/1942  0       Nulo   29.6   14     
11/05/1942  0       Nulo   28.6   13.2   
12/05/1942  0       Nulo   30.6   16.2   
13/05/1942  0       Nulo   29.6   18.5   
14/05/1942  0       Nulo   40.1   18.5   
15/05/1942  0       Nulo   32.6   19.2   
16/05/1942  0       Nulo   33.6   15.2   
17/05/1942  0       Nulo   32.1   16.7   
18/05/1942  0       Nulo   35.6   18.5   
19/05/1942  17      Nulo   28.6   19     
20/05/1942  0       Nulo   33.6   18.5   
21/05/1942  0       Nulo   29.6   13.2   
22/05/1942  0       Nulo   32.1   14.7   
23/05/1942  0       Nulo   35.1   14.2   
24/05/1942  0       Nulo   33.6   14.2   
25/05/1942  0       Nulo   28.6   14.2   
26/05/1942  0       Nulo   33.6   14.2   
27/05/1942  0       Nulo   28     15.2   
28/05/1942  0       Nulo   33.6   18.5   
29/05/1942  2       Nulo   34.6   20.5   
30/05/1942  0       Nulo   33.6   19.5   
31/05/1942  0       Nulo   23.5   16.2   
01/06/1942  0       Nulo   31.1   19     
02/06/1942  0       Nulo   32.6   18.5   
03/06/1942  0       Nulo   35.6   18.5   
04/06/1942  0       Nulo   32.6   14.7   
05/06/1942  0       Nulo   33.1   16.7   
06/06/1942  0       Nulo   34.6   14.7   
07/06/1942  0       Nulo   33.4   18.5   
08/06/1942  3.5     Nulo   32.6   20.5   
09/06/1942  0       Nulo   35.6   14.2   
10/06/1942  0       Nulo   37.6   19     
11/06/1942  0       Nulo   39.6   20.5   
12/06/1942  0       Nulo   39.6   19     
13/06/1942  0       Nulo   30.5   18.5   
14/06/1942  0       Nulo   39.2   16.5   
15/06/1942  2.5     Nulo   36.6   19     
16/06/1942  0       Nulo   34.6   15     
17/06/1942  0       Nulo   35.1   18.5   
18/06/1942  3       Nulo   35.6   20.5   
19/06/1942  0       Nulo   29.6   17.5   
20/06/1942  0       Nulo   34.2   19     
21/06/1942  0       Nulo   32.2   20     
22/06/1942  2       Nulo   35.5   20.1   
23/06/1942  20      Nulo   32.7   20     
24/06/1942  5.5     Nulo   21.5   17.5   
25/06/1942  0       Nulo   28.1   18     
26/06/1942  0       Nulo   32.7   19.7   
27/06/1942  5       Nulo   31.2   18     
28/06/1942  0       Nulo   32.2   16.5   
29/06/1942  0       Nulo   31.7   15.5   
30/06/1942  7       Nulo   31.2   16.5   
01/07/1942  0       Nulo   33     16     
02/07/1942  0       Nulo   32.1   17.5   
03/07/1942  0       Nulo   33.7   17.5   
04/07/1942  2       Nulo   31.7   19     
05/07/1942  7.5     Nulo   25.5   19.5   
06/07/1942  0       Nulo   22     18.5   
07/07/1942  0       Nulo   30.2   18.5   
08/07/1942  0       Nulo   32     16.5   
09/07/1942  0       Nulo   33.1   18     
10/07/1942  0       Nulo   24     16.5   
11/07/1942  0       Nulo   33.7   18     
12/07/1942  4       Nulo   23.5   17     
13/07/1942  20      Nulo   25.5   18     
14/07/1942  0       Nulo   30.2   17     
15/07/1942  0       Nulo   32.2   16     
16/07/1942  0       Nulo   33.6   16.5   
17/07/1942  0       Nulo   33.7   17.5   
18/07/1942  0       Nulo   33     18     
19/07/1942  0       Nulo   29.2   16.5   
20/07/1942  0       Nulo   31.7   16     
21/07/1942  0       Nulo   33.2   15.5   
22/07/1942  0       Nulo   33.7   17.5   
23/07/1942  0       Nulo   34.2   17.5   
24/07/1942  0       Nulo   32.7   16.5   
25/07/1942  0       Nulo   32.7   18.5   
26/07/1942  0       Nulo   33.7   17.5   
27/07/1942  0       Nulo   29.2   17     
28/07/1942  0       Nulo   31     18     
29/07/1942  0       Nulo   34.7   20     
30/07/1942  0       Nulo   34.2   16.5   
31/07/1942  0       Nulo   34.2   11.7   
01/08/1942  0       Nulo   31.7   16.5   
02/08/1942  0       Nulo   32.7   16     
03/08/1942  0       Nulo   34.2   14.5   
04/08/1942  20      Nulo   31.7   17     
05/08/1942  20      Nulo   31.2   16.5   
06/08/1942  12      Nulo   31.7   17     
07/08/1942  0       Nulo   30.7   17     
08/08/1942  0       Nulo   34.2   16.5   
09/08/1942  0       Nulo   32.7   17     
10/08/1942  0       Nulo   32.7   16     
11/08/1942  0       Nulo   30.7   16.5   
12/08/1942  0       Nulo   33.2   17     
13/08/1942  0       Nulo   32.7   16     
14/08/1942  0       Nulo   33.7   16     
15/08/1942  0       Nulo   33.7   17.5   
16/08/1942  0       Nulo   31.7   16.5   
17/08/1942  0       Nulo   31.7   17     
18/08/1942  0       Nulo   31.7   16     
19/08/1942  2       Nulo   33.2   17     
20/08/1942  0       Nulo   33.2   17.5   
21/08/1942  0       Nulo   34.2   18     
22/08/1942  2.5     Nulo   31.7   18.5   
23/08/1942  0       Nulo   32.7   17     
24/08/1942  0       Nulo   32.7   17.5   
25/08/1942  0       Nulo   33.2   17.5   
26/08/1942  0       Nulo   32.4   17     
27/08/1942  0       Nulo   33.7   17.6   
28/08/1942  10      Nulo   32.8   15.7   
29/08/1942  11      Nulo   33.4   16.4   
30/08/1942  0       Nulo   32.9   16.2   
31/08/1942  0       Nulo   32.9   15.8   
01/09/1942  0       Nulo   34.1   16.8   
02/09/1942  0       Nulo   33.8   16.2   
03/09/1942  0       Nulo   33.4   16.6   
04/09/1942  0       Nulo   33.8   17     
05/09/1942  0       Nulo   33.8   18.2   
06/09/1942  0       Nulo   33.7   19     
07/09/1942  0       Nulo   33.7   17     
08/09/1942  0       Nulo   31.7   16.5   
09/09/1942  0       Nulo   29.2   18     
10/09/1942  3.1     Nulo   33.7   17     
11/09/1942  6       Nulo   20     18     
12/09/1942  9.5     Nulo   20     16     
13/09/1942  0       Nulo   22.3   16.5   
14/09/1942  0       Nulo   27.6   16.2   
15/09/1942  0       Nulo   29.8   15.2   
16/09/1942  10      Nulo   32.7   14.5   
17/09/1942  0       Nulo   32.2   11.7   
18/09/1942  0       Nulo   33.2   16.7   
19/09/1942  0       Nulo   32.2   11.7   
20/09/1942  0       Nulo   28.1   9.7    
21/09/1942  0       Nulo   29.7   10.2   
22/09/1942  0       Nulo   30.2   8.7    
23/09/1942  0       Nulo   30.7   7.2    
24/09/1942  0       Nulo   31.7   7.2    
25/09/1942  0       Nulo   30.7   10.7   
26/09/1942  0       Nulo   32.7   9.2    
27/09/1942  0       Nulo   27.1   8.7    
28/09/1942  0       Nulo   25.1   0.2    
29/09/1942  0       Nulo   21.6   5.2    
30/09/1942  0       Nulo   26.1   7.2    
01/10/1942  0       Nulo   32.2   19     
02/10/1942  0       Nulo   32.2   6.7    
03/10/1942  0       Nulo   31.7   9.7    
04/10/1942  0       Nulo   32.2   10.2   
05/10/1942  17      Nulo   31.2   11.7   
06/10/1942  2.5     Nulo   29.2   10.7   
