CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 28069
NOMBRE    : OCAMPO
ESTADO    : TAMAULIPAS
MUNICIPIO : OCAMPO
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 022.844°
LONGITUD  : -99.332°
ALTITUD   : 347 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       Nulo   28     14     
02/01/1961  1.5     Nulo   25     12     
03/01/1961  3.5     Nulo   21     11.5   
04/01/1961  4.5     Nulo   18     10     
05/01/1961  2.5     Nulo   20     9      
06/01/1961  1.5     Nulo   26     10     
07/01/1961  0       Nulo   24     11     
08/01/1961  0       Nulo   12     11.5   
09/01/1961  0       Nulo   14     9      
10/01/1961  0       Nulo   21     8      
11/01/1961  0       Nulo   22     8      
12/01/1961  0       Nulo   18     12     
13/01/1961  0       Nulo   21     7      
14/01/1961  0       Nulo   22     7.5    
15/01/1961  0       Nulo   25.5   6.5    
16/01/1961  3       Nulo   23     6      
17/01/1961  0       Nulo   22     10     
18/01/1961  0       Nulo   24.5   14.5   
19/01/1961  0       Nulo   25     15     
20/01/1961  0       Nulo   17     8      
21/01/1961  0       Nulo   23     5      
22/01/1961  11.5    Nulo   25     7      
23/01/1961  2       Nulo   24     8      
24/01/1961  0       Nulo   26.5   9      
25/01/1961  0       Nulo   25     12     
26/01/1961  0       Nulo   23     12.5   
27/01/1961  0       Nulo   23     12     
28/01/1961  0       Nulo   12     10     
29/01/1961  0       Nulo   18     10     
30/01/1961  0       Nulo   22     9      
31/01/1961  0       Nulo   24     5      
01/02/1961  0       Nulo   25.5   11     
02/02/1961  0       Nulo   26     14.5   
03/02/1961  0       Nulo   24     13.5   
04/02/1961  0       Nulo   17     13     
05/02/1961  0       Nulo   28     13     
06/02/1961  0       Nulo   14     11     
07/02/1961  0       Nulo   12.5   8      
08/02/1961  0       Nulo   16     5.5    
09/02/1961  0       Nulo   18     6      
10/02/1961  0       Nulo   18     8      
11/02/1961  0       Nulo   24     8.5    
12/02/1961  0       Nulo   28     7      
13/02/1961  0       Nulo   28     5      
14/02/1961  0       Nulo   27     6      
15/02/1961  0       Nulo   28     8      
16/02/1961  0       Nulo   28.5   6      
17/02/1961  0       Nulo   30.5   6.5    
18/02/1961  0       Nulo   31     11.5   
19/02/1961  0       Nulo   30     13     
20/02/1961  0       Nulo   29     11.5   
21/02/1961  0       Nulo   28     10.5   
22/02/1961  0       Nulo   14     12     
23/02/1961  0       Nulo   16     11     
24/02/1961  0       Nulo   21.5   10.5   
25/02/1961  0       Nulo   23     14     
26/02/1961  0       Nulo   26     13.5   
27/02/1961  0       Nulo   29     15.5   
28/02/1961  0       Nulo   28     15     
01/03/1961  0       Nulo   27     13     
02/03/1961  0       Nulo   28.5   12     
03/03/1961  0       Nulo   27.5   13     
04/03/1961  0       Nulo   27     15     
05/03/1961  0       Nulo   29     16     
06/03/1961  0       Nulo   33.5   17     
07/03/1961  0       Nulo   36     12.5   
08/03/1961  0       Nulo   29     19     
09/03/1961  0       Nulo   25     14     
10/03/1961  0       Nulo   28     6.5    
11/03/1961  0       Nulo   30     8.5    
12/03/1961  0       Nulo   30.5   10.5   
13/03/1961  0       Nulo   34     11     
14/03/1961  0       Nulo   31     12     
15/03/1961  0       Nulo   32     13     
16/03/1961  0       Nulo   34     16     
17/03/1961  0       Nulo   30     12.5   
18/03/1961  0       Nulo   31     13     
19/03/1961  0       Nulo   28.5   12     
20/03/1961  0       Nulo   35     12.5   
21/03/1961  0       Nulo   28     11     
22/03/1961  0       Nulo   29     10     
23/03/1961  9.5     Nulo   31     12     
24/03/1961  0       Nulo   30     17     
25/03/1961  0       Nulo   28     16     
26/03/1961  0       Nulo   32     16.5   
27/03/1961  0       Nulo   35     14.5   
28/03/1961  0       Nulo   36     17     
29/03/1961  0       Nulo   37     12.5   
30/03/1961  0       Nulo   36     16.5   
31/03/1961  0       Nulo   37     16     
01/04/1961  0       Nulo   30     14     
02/04/1961  0       Nulo   26     15     
03/04/1961  0       Nulo   30     15.5   
04/04/1961  0       Nulo   30.5   16.5   
05/04/1961  0       Nulo   31.5   18     
06/04/1961  0       Nulo   26     19.5   
07/04/1961  0       Nulo   28     16.5   
08/04/1961  0       Nulo   31     15     
09/04/1961  0       Nulo   32     17     
10/04/1961  0       Nulo   33     16     
11/04/1961  0       Nulo   39     11     
12/04/1961  0       Nulo   36     19     
13/04/1961  0       Nulo   38     10.5   
14/04/1961  0       Nulo   40.5   11     
15/04/1961  0       Nulo   37     12.5   
16/04/1961  0       Nulo   26     14     
17/04/1961  0       Nulo   27.5   12.5   
18/04/1961  0       Nulo   33     15     
19/04/1961  0       Nulo   34     17     
20/04/1961  0       Nulo   34     16     
21/04/1961  0       Nulo   33     17     
22/04/1961  0       Nulo   33.5   16.5   
23/04/1961  0       Nulo   34     16     
24/04/1961  0       Nulo   34     14.5   
25/04/1961  0       Nulo   37     21.5   
26/04/1961  0       Nulo   37.5   22     
27/04/1961  0       Nulo   36     22     
28/04/1961  0       Nulo   36.5   21     
29/04/1961  0       Nulo   37     21     
30/04/1961  1.5     Nulo   35.5   20     
01/05/1961  0       Nulo   37.5   20.5   
02/05/1961  0       Nulo   36.5   21     
03/05/1961  0       Nulo   38.5   21     
04/05/1961  0       Nulo   38.5   22     
05/05/1961  0       Nulo   37     21     
06/05/1961  0       Nulo   37.5   20.5   
07/05/1961  0       Nulo   37     21     
08/05/1961  0       Nulo   37.5   21.5   
09/05/1961  0       Nulo   35.5   21.5   
10/05/1961  0       Nulo   32     20.5   
11/05/1961  0       Nulo   33     12.5   
12/05/1961  0       Nulo   34.5   12     
13/05/1961  0       Nulo   35     12.5   
14/05/1961  0       Nulo   35.5   12.5   
15/05/1961  0       Nulo   34.5   12.5   
16/05/1961  0       Nulo   35     22     
17/05/1961  0       Nulo   34.5   21.5   
18/05/1961  0       Nulo   34     22     
19/05/1961  0       Nulo   35.5   21     
20/05/1961  0       Nulo   36     22     
21/05/1961  0       Nulo   37     21     
22/05/1961  0       Nulo   36     20     
23/05/1961  0       Nulo   35.5   21.5   
24/05/1961  0       Nulo   33.5   22     
25/05/1961  0       Nulo   37     22.5   
26/05/1961  15.5    Nulo   37     22.5   
27/05/1961  0       Nulo   36     21     
28/05/1961  0       Nulo   34     20.5   
29/05/1961  0       Nulo   33     19.5   
30/05/1961  0       Nulo   34.5   18     
31/05/1961  1.5     Nulo   33.5   21     
01/06/1961  0       Nulo   36     21.5   
02/06/1961  0       Nulo   37.5   21     
03/06/1961  0       Nulo   36     22     
04/06/1961  2.5     Nulo   35     22     
05/06/1961  0       Nulo   35     21.5   
06/06/1961  0       Nulo   35     22.5   
07/06/1961  0       Nulo   35.5   22     
08/06/1961  0       Nulo   36     23.5   
