CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 28087
NOMBRE    : SAN GABRIEL
ESTADO    : TAMAULIPAS
MUNICIPIO : XICOTENCATL
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 023.084°
LONGITUD  : -98.787°
ALTITUD   : 135 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       4.1    24.2   13.5   
02/01/1961  0       3.3    18.9   14.8   
03/01/1961  4.7     4      15.5   11.7   
04/01/1961  10.9    3.3    14     10.3   
05/01/1961  0       2.9    23.6   10.5   
06/01/1961  0       2      23.1   13.7   
07/01/1961  0       4.9    21.1   14.1   
08/01/1961  0       3.4    18.5   11.5   
09/01/1961  0       3.9    19.5   7.3    
10/01/1961  0       3.8    23.2   6      
11/01/1961  0       4.6    21.5   7      
12/01/1961  0       3      19.8   11.8   
13/01/1961  0       3.7    24.8   7      
14/01/1961  1       5.9    27.1   6.7    
15/01/1961  0       5.1    27.1   11.2   
16/01/1961  0       2.4    23.8   12.8   
17/01/1961  0       3.5    25.1   15.5   
18/01/1961  0       3.8    25.3   16.7   
19/01/1961  0       7.8    22.5   15.9   
20/01/1961  0.3     3      16.5   10.1   
21/01/1961  0       1.9    12     6.6    
22/01/1961  0       3.5    25     6.4    
23/01/1961  1       3.7    25.4   10.3   
24/01/1961  0       2.6    27.6   14.4   
25/01/1961  0       5.9    19.8   16.4   
26/01/1961  0       2.8    21.2   9.4    
27/01/1961  0       4.7    19.4   10.5   
28/01/1961  0       2.9    11.5   8.1    
29/01/1961  0       1.5    12.5   7.6    
30/01/1961  0       3.7    23     5.3    
31/01/1961  0       3.9    23.4   7.1    
01/02/1961  0       4.4    27.4   15.6   
02/02/1961  7.1     1.6    20     15.9   
03/02/1961  0       4.1    25.4   12.7   
04/02/1961  0       5.1    28.5   12.5   
05/02/1961  0       8.1    29     15.4   
06/02/1961  0       4.1    22.5   9.1    
07/02/1961  0       4.2    21.1   7.9    
08/02/1961  0       2.8    20.6   8.1    
09/02/1961  0       3.2    26.1   13     
10/02/1961  0       4.5    28.1   14.3   
11/02/1961  0       5.9    28.8   15.1   
12/02/1961  0       6.3    30.5   11.4   
13/02/1961  0       6.2    30.1   12.3   
14/02/1961  0       5.7    30.1   13.4   
15/02/1961  0       4.7    29.7   15.4   
16/02/1961  0       4.8    29.1   18.3   
17/02/1961  0       6.7    33.4   18.8   
18/02/1961  0       8      35.4   19.5   
19/02/1961  0       5.5    34.2   20.3   
20/02/1961  0.2     7.4    33.1   17.5   
21/02/1961  0       4.4    16.5   11.8   
22/02/1961  0       5.7    26.1   13.5   
23/02/1961  0       5.8    30.5   8.8    
24/02/1961  0       11.6   27.9   10.2   
25/02/1961  0       6.6    24.5   7.5    
26/02/1961  0       6.6    28.6   7.2    
27/02/1961  0       5.2    29.3   10.5   
