CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 28121
NOMBRE    : S.J. 2-23 VALADEZ
ESTADO    : TAMAULIPAS
MUNICIPIO : GUSTAVO DIAZ ORDAZ
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 026.2°
LONGITUD  : -98.55°
ALTITUD   : 40 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       3.5    19     2.5    
02/01/1961  2.5     1      13     7      
03/01/1961  3.2     0.1    12     8.5    
04/01/1961  4.2     Nulo   10     8      
05/01/1961  3.2     0.7    12     7.5    
06/01/1961  0.5     2.8    14     9      
07/01/1961  0       3.9    13     10     
08/01/1961  0       5.3    13     6.5    
09/01/1961  0       6      17     7.5    
10/01/1961  0       4.6    20     1.5    
11/01/1961  0       6.1    23     2      
12/01/1961  0       6.4    22     9      
13/01/1961  0       6.3    23     12     
14/01/1961  0       6.4    22     4      
15/01/1961  0       6.2    24     4      
16/01/1961  0       5.3    26     4      
17/01/1961  0       3.3    26.5   5.5    
18/01/1961  0.4     2.6    27     10     
19/01/1961  0       3.8    14     12     
20/01/1961  0.5     2.1    11.5   7.5    
21/01/1961  0       3.7    29     5.5    
22/01/1961  0       1.2    21     6      
23/01/1961  0       2.5    26     9      
24/01/1961  15.5    1      27.5   11     
25/01/1961  2.5     0.2    16     4.5    
26/01/1961  0.7     0.1    6      4      
27/01/1961  3       0.3    4      2.5    
28/01/1961  0       1.6    9      1      
29/01/1961  0       5.3    6      1      
30/01/1961  0       9.9    20     0.5    
31/01/1961  0       8.6    21     1      
01/02/1961  0       1.6    25     12     
02/02/1961  0       4.7    20     13     
03/02/1961  0       4.3    23     4      
04/02/1961  0       6.9    20     4      
05/02/1961  0       6.5    15     10     
06/02/1961  0       6.6    22     4      
07/02/1961  0       2.5    17     0.5    
08/02/1961  0       2.5    20.5   3      
09/02/1961  0       2.7    25     3.5    
10/02/1961  0       4.2    23     6.5    
11/02/1961  0       4.5    29     6.5    
12/02/1961  0       6.4    31     6.5    
13/02/1961  0       7.2    31.5   9      
14/02/1961  0       5.4    30     11     
15/02/1961  0       4.2    28     15     
16/02/1961  0       3.2    28     20     
17/02/1961  0       5.9    34     19.5   
18/02/1961  0       2.6    28     19     
19/02/1961  0.3     5.9    25.5   18.5   
20/02/1961  3.2     3.4    20     8      
21/02/1961  0       4.9    16     4.5    
22/02/1961  0       1.9    24.5   4      
23/02/1961  0       3.2    29     5      
24/02/1961  0       9.6    19.5   8      
25/02/1961  0       6.2    25     3      
26/02/1961  0       6.7    28.5   5      
27/02/1961  0       7.4    35     7      
28/02/1961  0       7.1    14     8.5    
01/03/1961  0       7.4    24.5   7      
02/03/1961  0       12     29     8.5    
03/03/1961  0       6.9    32     9      
04/03/1961  0       6.5    32.5   20     
05/03/1961  0       6.6    24     21     
06/03/1961  0       4.1    31     20     
07/03/1961  0       7.7    34.5   19.5   
08/03/1961  0       6.9    24.5   15.5   
09/03/1961  0       7      26     6.5    
10/03/1961  1.5     5.7    20     7.5    
11/03/1961  0       7      32     6.5    
12/03/1961  0       6      30     12     
13/03/1961  0       7.3    36     15     
14/03/1961  0       7.1    31.5   18     
15/03/1961  0       6.1    30     18.5   
16/03/1961  0       9.6    38.5   18.5   
17/03/1961  0       9.1    32     18     
18/03/1961  0       6.4    32.5   11     
19/03/1961  0       6.9    28     18     
20/03/1961  0       7.3    23     12     
21/03/1961  0       5.7    31.5   9.5    
22/03/1961  0       5.8    31.5   14     
23/03/1961  0.5     5      29     16     
24/03/1961  0       5.1    28     18     
25/03/1961  0       6.2    32.5   19     
26/03/1961  0       6.8    35     20.5   
27/03/1961  0       4.8    34     19.5   
28/03/1961  0       4.9    34.5   19     
29/03/1961  0       7.9    35     19.5   
30/03/1961  0       4      23     16     
31/03/1961  0       9.8    28.5   11.5   
01/04/1961  0       8.1    29.5   9.5    
02/04/1961  0       7.7    25     10.5   
03/04/1961  0       5.3    30.5   10     
04/04/1961  0       11.7   33     13     
05/04/1961  18.5    6.1    34     15.5   
06/04/1961  0       6.7    22     13     
07/04/1961  0       7.6    20.5   10     
08/04/1961  0       1.7    34.5   12     
09/04/1961  0       8      28     18     
10/04/1961  0       8.1    30     12     
11/04/1961  0       5      35     12.5   
12/04/1961  0       7.3    29     15     
13/04/1961  0       9.3    32     15     
14/04/1961  0       10.7   38     16     
15/04/1961  0       6.7    25     18     
16/04/1961  0       6.8    26     8      
17/04/1961  0       7.9    28.5   12.5   
18/04/1961  0       6.8    32     15.5   
19/04/1961  0       9      34.5   19.5   
20/04/1961  0       10     36     21.5   
21/04/1961  0       9.3    35.5   23     
22/04/1961  0       10.7   37     22     
23/04/1961  0       8.9    36     21.5   
24/04/1961  0       7.6    38     22.5   
25/04/1961  0       10.2   38     22.5   
26/04/1961  0       7.4    36     22     
27/04/1961  0       5      34     24     
28/04/1961  0       5.4    32.5   24     
29/04/1961  40.7    11.9   35     24     
30/04/1961  0       5.2    35.5   18.5   
01/05/1961  0       8.6    36     21     
02/05/1961  0       10.8   33     22.5   
03/05/1961  0       7.7    34.5   20     
04/05/1961  0       8.2    35.5   23     
05/05/1961  0       6.3    39     24.5   
06/05/1961  0       8.7    38.5   25     
07/05/1961  0       8.1    37     24.5   
08/05/1961  0       9.3    40     22.5   
09/05/1961  0       6.5    30     19.5   
10/05/1961  0       8.3    33     12.5   
11/05/1961  0       8.6    33     13     
12/05/1961  0       8.3    36     18     
13/05/1961  0       9.5    32     22.5   
14/05/1961  0       7.5    31     24     
15/05/1961  0       8.1    35     21     
16/05/1961  0       7.5    36     22     
17/05/1961  0       10.1   38     23.5   
18/05/1961  0       9.5    37     24.5   
19/05/1961  0       9      35.5   21     
20/05/1961  0       9.1    42.5   21.5   
21/05/1961  0       8.8    31     22     
22/05/1961  0       7.1    39     22.5   
23/05/1961  0       7.5    43     23     
24/05/1961  0       5.7    32.5   24     
25/05/1961  0       7.1    37     24.5   
26/05/1961  3       6      31     23     
27/05/1961  0       6.5    31.5   19     
28/05/1961  0       8.4    38     19.5   
29/05/1961  0       7.1    33.5   20.5   
30/05/1961  0       9.6    35     21     
31/05/1961  0       9.3    35     21     
01/06/1961  0       9      35     24     
02/06/1961  0       13.3   36.5   24     
03/06/1961  0       6.4    38     25     
04/06/1961  0       10.3   38     24     
05/06/1961  0       8.8    37     25.5   
06/06/1961  0       10     37.5   25.5   
07/06/1961  0       6.5    40     25     
08/06/1961  3.2     6.3    39     25.5   
09/06/1961  0       7.7    37     24     
10/06/1961  0       8.8    38     21     
11/06/1961  0       8.9    38     25     
12/06/1961  1.2     9      36     23.5   
13/06/1961  2.5     7.1    35     24.5   
14/06/1961  0       7.3    36     23     
15/06/1961  1.5     5.3    34     23.5   
16/06/1961  0       7.6    36     23.5   
17/06/1961  0       6.4    35.5   23     
18/06/1961  0       11.3   33.5   25.5   
19/06/1961  0       7.9    32     22     
20/06/1961  0       8.3    33     20.5   
21/06/1961  0       8.1    36.5   21     
22/06/1961  0       7.6    37     20.5   
23/06/1961  0       8.4    38.5   21     
24/06/1961  0       8.3    36.5   21.5   
25/06/1961  0       7.7    38     22     
26/06/1961  0       8.1    38.5   23.5   
27/06/1961  0       7.2    38     24.5   
28/06/1961  0       11.1   38     24     
29/06/1961  0       10.5   37     24     
30/06/1961  0       7.9    38     23     
01/07/1961  0       10.1   36     21     
02/07/1961  0       10     35.5   21     
03/07/1961  0       8.2    36.5   22.5   
04/07/1961  0       8.3    37     23     
05/07/1961  0       8.2    37     25.5   
06/07/1961  0       11.2   37.5   23     
07/07/1961  0       9.9    38     22.5   
08/07/1961  0       10.1   39     21.5   
09/07/1961  0       10.1   39     23     
10/07/1961  0       9.1    40     24     
11/07/1961  3.5     4.8    41     24     
12/07/1961  0       12.4   39     22     
13/07/1961  0       10.4   38.5   24.5   
14/07/1961  0       9.8    38     23.5   
15/07/1961  0       10.3   38.5   24     
16/07/1961  0       9.4    41     24.5   
17/07/1961  0.3     8      38.5   25     
18/07/1961  0       9.9    37.5   22     
19/07/1961  0       10.5   38     23     
20/07/1961  0       11.4   38     23     
21/07/1961  0       9.4    37     24.5   
22/07/1961  0       10.4   38     26     
23/07/1961  0       10.8   38     26.5   
24/07/1961  0       8.9    39     23     
25/07/1961  0       7.3    28     22     
26/07/1961  0       7.4    27     23     
27/07/1961  12.5    6.5    34     22.5   
28/07/1961  0       7.5    36     22.5   
29/07/1961  0       10.7   37     21.5   
30/07/1961  0       10.9   38     21     
31/07/1961  0       10.4   38.5   23     
01/08/1961  0       8.9    37     22.5   
02/08/1961  0       6.9    38     23.5   
03/08/1961  0       9.9    38     23     
04/08/1961  0       8.4    39     21.5   
05/08/1961  0       7.4    36     25.5   
06/08/1961  2.7     11.9   37     23     
07/08/1961  0       9.2    33.5   24     
08/08/1961  0       9.5    36.5   21.5   
09/08/1961  0       9.3    37     22.5   
10/08/1961  0       8.3    33     25.5   
11/08/1961  0       9.1    38     23     
12/08/1961  0       10.2   34.5   23     
13/08/1961  0       10.2   33.5   22.5   
14/08/1961  0       7.9    39     23     
15/08/1961  0       9.7    38     23.5   
16/08/1961  0.5     5.2    36     24     
17/08/1961  0       3      31     23     
18/08/1961  24.5    1.4    27     23.5   
19/08/1961  22.5    Nulo   30     23     
20/08/1961  0       7.4    33.5   20     
21/08/1961  0       9.3    31     21     
22/08/1961  0       9.8    32     21.5   
23/08/1961  0       6.6    39     20     
24/08/1961  0       9.1    38     23.5   
25/08/1961  0       8.1    38.5   23     
26/08/1961  0       9.3    37.5   24.5   
27/08/1961  0       8.6    38     22     
28/08/1961  0       8.9    37     22     
29/08/1961  0       8.6    38     22     
30/08/1961  0       7.4    38     22.5   
31/08/1961  0       9.3    40     23.5   
01/09/1961  0       11.2   39.5   25     
02/09/1961  0       11.6   38     26     
03/09/1961  0       11.1   37.5   24     
04/09/1961  0       8      40.5   23     
05/09/1961  0       4.7    35     23     
06/09/1961  0       5.6    32     22.5   
07/09/1961  0       8      32     22.5   
08/09/1961  16.6    3.1    33     20.5   
09/09/1961  0       7.2    34.5   22.5   
10/09/1961  3.5     1      34     21.5   
11/09/1961  0       2.5    32     24     
12/09/1961  0       2.4    39     24.5   
13/09/1961  60      Nulo   40     26.5   
14/09/1961  35.5    Nulo   28     20     
15/09/1961  24.4    Nulo   28     18     
16/09/1961  0.5     1.5    31.5   17     
17/09/1961  0       4.3    30     19     
18/09/1961  0       0.8    29.5   18.5   
19/09/1961  0       6      31     16.5   
20/09/1961  0       7.8    33     20.5   
21/09/1961  0       3.8    34     22     
22/09/1961  0       6.6    34     24     
23/09/1961  0       6.3    34     24     
24/09/1961  0       6.1    34     23     
25/09/1961  0       4.5    34     20.5   
26/09/1961  0       5.2    33.5   21     
27/09/1961  0       5.7    34     21     
28/09/1961  0       5.2    33.5   22     
29/09/1961  0       6      32.5   21     
30/09/1961  0       6.5    34.5   21.5   
01/10/1961  0       5.5    34     21.5   
02/10/1961  0       9.2    33.5   21     
03/10/1961  0       5.9    24     13.5   
04/10/1961  0       4.1    26.5   8      
05/10/1961  0       5.3    28     10     
06/10/1961  0       3      28     11     
07/10/1961  0       4.2    33     15     
08/10/1961  0       6      34.5   16     
09/10/1961  0       7.1    34.5   22     
10/10/1961  0       4.9    34.5   24.5   
11/10/1961  0       3.4    34.5   24     
12/10/1961  0       7.5    35     20.5   
13/10/1961  0       6.3    24     19.5   
14/10/1961  0       5.9    31.5   18     
15/10/1961  0       6      26     12.5   
16/10/1961  0       5.5    30     9      
17/10/1961  0       5.8    29.5   10.5   
18/10/1961  0       6.6    37.5   9.5    
19/10/1961  0       3.6    32.5   13.5   
20/10/1961  0       5.7    32     14.5   
21/10/1961  0       9.3    33.5   14     
22/10/1961  0       10.9   32.5   16     
23/10/1961  0       6.9    33     14.5   
24/10/1961  0       5.6    33     18.5   
25/10/1961  11.5    6.3    32     20     
26/10/1961  4.5     2.4    25     19     
27/10/1961  0       3.3    29     15     
28/10/1961  0       6.2    33     16     
29/10/1961  0       4.5    32.5   19     
30/10/1961  0       5.3    33     21.5   
31/10/1961  0       5.8    33.5   21.5   
01/11/1961  0       8.8    33     21.5   
02/11/1961  0       5.7    31     22     
03/11/1961  0       9.3    25.5   13.5   
04/11/1961  1.2     3.5    20.5   9      
05/11/1961  36      4.1    21.5   8.5    
06/11/1961  0       2.4    22.5   8      
