CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 28186
NOMBRE    : EL MIRADOR
ESTADO    : TAMAULIPAS
MUNICIPIO : PADILLA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 024.104°
LONGITUD  : -98.811°
ALTITUD   : 142 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/05/1980  0       Nulo   37     21     
02/05/1980  1       Nulo   38     22     
03/05/1980  0       Nulo   37     20     
04/05/1980  3       Nulo   38     21     
05/05/1980  0       Nulo   39     22     
06/05/1980  4.5     Nulo   38     23     
07/05/1980  0       Nulo   37     25     
08/05/1980  0       Nulo   38     24     
09/05/1980  2       Nulo   37     23     
10/05/1980  0       Nulo   37     24     
11/05/1980  0       Nulo   39     22     
12/05/1980  0       Nulo   40     22     
13/05/1980  0       Nulo   38     24     
14/05/1980  3       Nulo   39     25     
15/05/1980  0       Nulo   38     25     
16/05/1980  0       Nulo   37     26     
17/05/1980  0       Nulo   39     24     
18/05/1980  0       Nulo   38     23     
19/05/1980  0       Nulo   37     22     
20/05/1980  0       Nulo   39     23     
21/05/1980  0       Nulo   38     23     
22/05/1980  0       Nulo   40     22     
23/05/1980  0       Nulo   39     21     
24/05/1980  0       Nulo   38     20     
25/05/1980  0       Nulo   39     20     
26/05/1980  1       Nulo   39     20     
27/05/1980  0       Nulo   39     21     
28/05/1980  0       Nulo   37     20     
29/05/1980  0       Nulo   36     24     
30/05/1980  0       Nulo   37     23     
31/05/1980  0       Nulo   38     21     
01/06/1980  0       Nulo   36     20     
02/06/1980  0       Nulo   38     20     
03/06/1980  0       Nulo   37     21     
04/06/1980  4       Nulo   39     21     
05/06/1980  0       Nulo   38     20     
06/06/1980  0       Nulo   38     21     
07/06/1980  0       Nulo   38     22     
08/06/1980  0       Nulo   39     22     
09/06/1980  0       Nulo   40     23     
10/06/1980  0       Nulo   42     23     
11/06/1980  0       Nulo   39     24     
12/06/1980  0       Nulo   38     23     
13/06/1980  0       Nulo   38     22     
14/06/1980  0       Nulo   38     23     
15/06/1980  0       Nulo   36     24     
16/06/1980  0       Nulo   37     20     
17/06/1980  0       Nulo   39     21     
18/06/1980  0       Nulo   36     21     
19/06/1980  0       Nulo   36     21     
20/06/1980  0       Nulo   36     20     
21/06/1980  0       Nulo   36     24     
22/06/1980  0       Nulo   38     21     
23/06/1980  0       Nulo   38     19     
24/06/1980  0       Nulo   38     20     
25/06/1980  0       Nulo   38     20     
26/06/1980  0       Nulo   39     20     
27/06/1980  0       Nulo   38     20     
28/06/1980  0       Nulo   39     21     
29/06/1980  0       Nulo   38     22     
30/06/1980  0       Nulo   38     22     
01/07/1980  0       Nulo   40     24     
02/07/1980  0       Nulo   40     25     
03/07/1980  0       Nulo   39     26     
04/07/1980  0       Nulo   39     25     
05/07/1980  0       Nulo   38     24     
06/07/1980  1       Nulo   38     26     
07/07/1980  0       Nulo   37     26     
08/07/1980  1       Nulo   38     23     
09/07/1980  0       Nulo   37     24     
10/07/1980  0       Nulo   38     23     
11/07/1980  0       Nulo   39     24     
12/07/1980  0       Nulo   40     25     
13/07/1980  0       Nulo   40     24     
14/07/1980  0       Nulo   39     24     
15/07/1980  0       Nulo   39     24     
16/07/1980  0       Nulo   39     23     
17/07/1980  0       Nulo   41     25     
18/07/1980  0       Nulo   42     27     
19/07/1980  0       Nulo   40     26     
