CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 28402
NOMBRE    : RANCHO VEINTIDOS DE DICIEMBRE
ESTADO    : TAMAULIPAS
MUNICIPIO : SOTO LA MARINA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 023.602°
LONGITUD  : -97.981°
ALTITUD   : 230 msnm

EMISIÓN   : 04/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
02/10/1980  5.1     Nulo   Nulo   Nulo   
03/10/1980  0       3.5    32     23     
04/10/1980  1       5.6    29     20.5   
05/10/1980  0       1.9    29     20     
06/10/1980  0       6      30     19     
07/10/1980  0       4      31     20     
08/10/1980  0       4.5    32     18     
09/10/1980  0       5.7    31     20     
10/10/1980  0       4      31     18     
11/10/1980  0       2.7    31     18     
12/10/1980  0       3.4    30     20     
13/10/1980  0       2.4    31     20     
14/10/1980  0       4.5    30     20     
15/10/1980  0       1.5    30     22     
16/10/1980  0       3      30     24     
17/10/1980  0       3.3    31     25     
18/10/1980  0       2.6    32     24     
19/10/1980  0       3.3    26     19     
20/10/1980  1.1     2.1    24     15     
21/10/1980  1.8     2.8    23     15     
22/10/1980  0       0.4    27     15     
23/10/1980  0       4.5    32     15.5   
24/10/1980  5       2.6    32     16     
25/10/1980  0       4.4    33     20     
26/10/1980  0       3.4    30     20     
27/10/1980  0       3.5    32     21     
28/10/1980  0       2.5    30     23     
29/10/1980  1.1     5.1    31     10     
30/10/1980  0       4.3    21     12     
31/10/1980  0       3.9    22.5   17.5   
01/11/1980  0       2.6    28     18     
02/11/1980  0       2.6    30     16     
03/11/1980  0       1.9    30     17     
04/11/1980  0       2.7    29     19     
05/11/1980  0       2.8    30     17     
06/11/1980  0       1.6    31.5   15     
07/11/1980  0       3.1    30     16     
08/11/1980  0       3.4    30     17     
09/11/1980  0       2.6    28.5   16     
10/11/1980  0       1.8    30     14     
11/11/1980  0       4.3    31     13     
12/11/1980  1       2.8    32     17     
13/11/1980  0       0.4    31     16     
14/11/1980  0       5.2    31     17     
15/11/1980  0       1.8    30     17     
16/11/1980  0       3.3    29     14     
17/11/1980  0       1.3    22     8      
18/11/1980  0       3.4    17.5   8      
19/11/1980  0.7     3.4    22.5   8      
20/11/1980  20.5    3.2    27     9      
21/11/1980  36      1.7    23     9      
22/11/1980  0       1.7    24     10     
23/11/1980  0       3      24     11     
24/11/1980  4       2.2    25     13     
25/11/1980  3       5.1    29     12     
26/11/1980  0       2.1    16     8      
27/11/1980  0       3.1    19     8      
28/11/1980  0       1.2    26     10     
29/11/1980  0       0.9    27     12     
30/11/1980  0       0.9    25     12     
01/12/1980  0       5.2    28     16     
02/12/1980  0       2.4    28     17     
03/12/1980  0       1.5    29     17     
04/12/1980  0       0.3    28     17     
05/12/1980  0       3      30     15     
06/12/1980  0       3.3    29     19     
07/12/1980  0       2      28     14     
08/12/1980  0       0.8    29     14     
09/12/1980  4.1     1.5    21     16     
10/12/1980  0       2.5    22     11     
11/12/1980  0       1      18     12     
12/12/1980  0       1.6    21     11     
13/12/1980  0       3.2    23     12     
14/12/1980  0       0.8    24     13     
15/12/1980  0       0.7    27     15     
16/12/1980  0       1.7    30     16     
17/12/1980  0       4.8    30     14     
18/12/1980  0       3.6    30     13     
19/12/1980  0       2.3    29     12     
20/12/1980  0       4.2    18     8      
21/12/1980  4       2.6    16     8      
22/12/1980  4       1.4    20     6      
23/12/1980  3.5     1.6    24     5      
24/12/1980  1       1.4    23     6      
25/12/1980  3       1.7    20     8      
26/12/1980  0       2.6    18     7      
27/12/1980  0       3.2    27     7      
28/12/1980  0       3.7    27     8      
29/12/1980  0       2.2    27     12     
30/12/1980  0       1.5    27     11     
31/12/1980  0       0.6    26.5   12     
01/01/1981  0       4.3    26     8      
02/01/1981  0       3.1    26     8      
03/01/1981  0       2.4    25     9      
04/01/1981  0       2.2    29     12     
05/01/1981  0       2.4    27     12     
06/01/1981  0       3.8    27     18     
07/01/1981  0       2.9    22     14     
08/01/1981  0       0.7    23     13     
09/01/1981  2       1.5    20     14     
10/01/1981  10      1.1    23     9      
11/01/1981  23      3      19     12     
12/01/1981  8.5     0.8    19     10     
13/01/1981  2       1.7    19     14     
14/01/1981  0       0.3    22     13     
15/01/1981  0       2.2    22     12     
16/01/1981  29      2.3    22     11     
17/01/1981  18      1.4    17     9      
18/01/1981  20      1.6    14     11     
19/01/1981  3       1      14     9      
20/01/1981  0       2      24     8      
21/01/1981  10      0.3    23     10     
22/01/1981  46.5    0.6    13     6      
23/01/1981  0       2      21     7      
24/01/1981  0       1.2    23     9      
25/01/1981  0       1.9    25     5      
26/01/1981  0       1.3    26     8      
27/01/1981  0       2.1    27     11     
28/01/1981  3       2.9    30     9      
29/01/1981  9       3.8    26     15     
30/01/1981  0       1.8    26     13     
31/01/1981  0       4.1    28     12     
01/02/1981  0       6.5    26     16     
02/02/1981  0       3.9    20     16     
03/02/1981  0       2.4    18     12     
04/02/1981  2.5     2.3    22     12     
05/02/1981  0       2      22     9      
06/02/1981  0       2.3    23     8      
07/02/1981  0       1.3    25     10     
08/02/1981  0       3.5    25     13     
09/02/1981  0       2.4    26     12     
10/02/1981  0       3.5    30     10     
11/02/1981  0       1.5    23     5      
12/02/1981  0       1      23     6      
13/02/1981  9.5     2      24     10     
14/02/1981  0       1.9    24     12     
15/02/1981  9.5     2.5    22     12     
16/02/1981  0       3      23     13     
17/02/1981  0       2.2    27     13     
18/02/1981  0       2.1    29     17     
19/02/1981  0       2      31     16     
20/02/1981  0       3.5    30     16     
21/02/1981  3       3.2    28     17     
22/02/1981  0       3.8    25     12     
23/02/1981  0       3.8    29     14     
24/02/1981  0       1.7    24     11     
25/02/1981  0       1.6    25     14     
26/02/1981  0       2.5    27     16     
27/02/1981  0       4.3    29     17     
28/02/1981  0       3.2    28.5   16     
01/03/1981  0       3.4    30     17     
02/03/1981  0       3.2    31     18     
03/03/1981  0       3.8    30     17     
04/03/1981  0       6      35     17     
05/03/1981  0       4.3    32     17     
06/03/1981  0       4.4    32     18     
07/03/1981  0       5.1    30     18     
08/03/1981  0       3.5    26     19     
09/03/1981  0       3      26     18     
10/03/1981  0       3.5    27.5   17.5   
11/03/1981  0       4.4    26     18     
12/03/1981  0       3      23.5   16.5   
13/03/1981  0       2.9    25     15     
14/03/1981  0       2.3    28     14     
15/03/1981  0       5      33     17     
16/03/1981  0       4.9    32     16     
17/03/1981  0       4.9    32     16     
18/03/1981  0       6.9    36     16     
19/03/1981  0       4.1    33     17     
20/03/1981  0       4.1    33     17     
21/03/1981  0       6      38     14     
22/03/1981  0       5.7    33.5   19     
23/03/1981  0       3.1    28     12     
24/03/1981  0       2.4    26     13     
25/03/1981  0       3      32     14     
26/03/1981  0       4.8    30     17     
27/03/1981  0       4.6    30     18     
28/03/1981  0       5      32     18     
29/03/1981  0       6      31.5   20     
30/03/1981  0       6.5    35     19     
31/03/1981  0       2.1    32     22     
01/04/1981  0       3.7    30     20     
02/04/1981  0       3.5    33     20     
03/04/1981  0       3      32     20     
04/04/1981  0       7.1    36     21     
05/04/1981  0       6.5    32     18     
06/04/1981  0       5.7    30.5   18     
07/04/1981  0       5      32     19     
08/04/1981  0       3.5    32     21     
09/04/1981  0       3.6    30.5   20     
10/04/1981  0       4      31.5   19     
11/04/1981  0       3      29.5   19     
12/04/1981  0       3.1    30     20     
13/04/1981  0       4.1    30.5   19     
14/04/1981  0       2.7    28     19     
15/04/1981  10      3.1    28     20     
16/04/1981  5.5     3.8    24     19     
17/04/1981  0       2      26     21     
18/04/1981  2.5     3.5    32     18     
19/04/1981  0       4.8    33     20     
20/04/1981  0       4.1    31     20     
21/04/1981  0       3.1    31     20     
22/04/1981  0       5      32     21     
23/04/1981  0       4      32     21     
24/04/1981  0       6      31     21     
25/04/1981  0       2.2    29     18.5   
26/04/1981  0       4.3    32     19.5   
27/04/1981  0       3      33.5   20     
28/04/1981  0       1.4    31     21     
29/04/1981  0       4.1    33.5   23     
30/04/1981  0       7.5    34.5   22     
01/05/1981  0       2      29     18     
02/05/1981  0       3      32     22     
03/05/1981  0       3.6    31     23     
04/05/1981  0       2.7    32     18     
05/05/1981  30.5    6.5    33     20     
06/05/1981  0       3.6    33     21     
07/05/1981  0       4      34     23     
08/05/1981  0       4.6    35     23     
09/05/1981  0       2.9    33     22     
10/05/1981  0       3      35     24     
11/05/1981  0       2.6    30     21     
12/05/1981  0       3      32     19     
13/05/1981  0       4      36     19     
14/05/1981  0       6      34     23     
15/05/1981  0       4      34     23     
16/05/1981  0       4      36     21     
17/05/1981  0       5.5    35     24     
18/05/1981  0       7      36     21     
19/05/1981  0       5      37     24     
20/05/1981  9       4      31     23     
21/05/1981  1.5     7      33     24     
22/05/1981  0       7.6    33     21     
23/05/1981  94      6      35     21     
24/05/1981  0       8.8    35     19     
25/05/1981  0       5.6    34     22     
26/05/1981  0       5.1    35     21     
27/05/1981  0       6.6    34     22     
28/05/1981  0       4.6    37     23     
29/05/1981  2.1     6.8    37     24     
30/05/1981  9       5.4    37     25     
31/05/1981  0       4.4    37     23     
01/06/1981  0       5.7    36     20     
02/06/1981  0       4      35     22     
03/06/1981  3       5.5    34     24     
04/06/1981  2       4.8    36     23     
05/06/1981  0       4.8    35     24     
06/06/1981  0       5.1    36     22     
07/06/1981  0       6.3    37     22     
08/06/1981  0       6      37     23     
09/06/1981  0       5.9    36     24     
10/06/1981  0       5.8    37     25     
11/06/1981  8.5     6.5    36     24     
12/06/1981  0       4      35     22     
13/06/1981  0       4.7    37     24     
14/06/1981  56      6      33     22     
15/06/1981  48      3      31     22     
16/06/1981  38      4      28     23     
17/06/1981  50      2.7    30     23     
18/06/1981  85      4      30     21     
19/06/1981  18      4.5    31     22     
20/06/1981  0       5.1    34     23     
21/06/1981  0       4.2    34     23     
22/06/1981  0       4      33     24     
23/06/1981  30      4      31     23     
24/06/1981  10      4.6    29     23     
25/06/1981  0       2.9    29     23     
26/06/1981  17      4.3    31     23     
27/06/1981  0       6      32     22     
28/06/1981  0       4.5    33.5   23     
29/06/1981  8       3      33     23     
30/06/1981  5       2.5    30     23     
01/07/1981  0       3.7    30     22     
02/07/1981  0       6      31     20     
03/07/1981  0       4.3    32     23     
04/07/1981  0       3.4    31     24     
05/07/1981  0       3.5    31.5   24     
06/07/1981  9.5     6.8    33     23     
07/07/1981  0       4.6    31     22     
08/07/1981  0       3.2    30     22     
09/07/1981  4.5     5.4    33     23     
10/07/1981  0       4.9    32     22     
11/07/1981  0       4.7    32     23     
12/07/1981  0       5.6    34     23     
13/07/1981  0       6.1    33.5   20     
14/07/1981  2       6      34.5   23     
15/07/1981  0       5      34     24     
16/07/1981  0       4.4    33     24     
17/07/1981  0       6.3    32.5   23     
18/07/1981  0       6      33     23     
19/07/1981  0       5.2    34     24     
20/07/1981  0       5.8    33.5   24     
21/07/1981  0       6.4    33     24     
22/07/1981  2       5.7    33.5   24     
23/07/1981  0       6.1    36     22     
24/07/1981  0       5.1    34     23     
25/07/1981  0       6.2    33     23     
26/07/1981  0       4.5    34     24     
27/07/1981  12      5.1    33     23     
28/07/1981  0       3.3    31.5   22     
29/07/1981  0       6      33     22     
30/07/1981  0       6      34     22     
31/07/1981  0       5.3    33.5   21     
18/05/1982  10.2    Nulo   Nulo   Nulo   
19/05/1982  0       Nulo   Nulo   Nulo   
20/05/1982  4.9     Nulo   Nulo   Nulo   
21/05/1982  1.8     3.8    33.5   21     
22/05/1982  1.5     4.5    33     19.5   
23/05/1982  0       4.1    34.5   21     
24/05/1982  15      4      35     20     
25/05/1982  0       3.5    34.5   21     
26/05/1982  0       4.8    34     23     
27/05/1982  0       4.6    34.5   24     
28/05/1982  0       4.5    36     24     
29/05/1982  0       5.6    35     25     
30/05/1982  0       4      36.5   25     
31/05/1982  0       5      37     25     
01/06/1982  0       3.3    36     25     
02/06/1982  0       3.7    34     24     
03/06/1982  0       6.4    35.5   24     
04/06/1982  0       6.6    34     23     
05/06/1982  0       5.5    36.5   22     
06/06/1982  0       4.8    36     25     
07/06/1982  0       5.3    34.5   23     
08/06/1982  0       6.3    36     24     
09/06/1982  0       6.2    36.5   24     
10/06/1982  0       4.2    35     25     
11/06/1982  0       5.5    31     25     
12/06/1982  0       3.8    37     24     
13/06/1982  0       3.8    38     24     
14/06/1982  0       3.6    34.5   24     
15/06/1982  0       5      36     24     
16/06/1982  0       5.2    36.5   24     
17/06/1982  0       2.8    37     24     
18/06/1982  0       3.6    37.5   23     
19/06/1982  0       4.6    34     24     
20/06/1982  0       4.9    37     24     
21/06/1982  0       5.7    36.5   23     
22/06/1982  0       3      37.5   22     
23/06/1982  0       6      37     24     
24/06/1982  0       4.8    37     24     
25/06/1982  0       6.3    38     24     
26/06/1982  0       5.2    36.5   24     
27/06/1982  0       5.5    37.5   25     
28/06/1982  0       5.6    36     23     
29/06/1982  8       7.4    38     22     
30/06/1982  0       4.7    32     20     
21/09/1982  60      Nulo   Nulo   Nulo   
22/09/1982  16      8      27     21     
23/09/1982  0       1      28     20     
24/09/1982  0       2      29     20     
25/09/1982  0       8      28     19     
26/09/1982  0       8      33     21     
27/09/1982  0       8      29     21     
28/09/1982  0       5      29     23     
29/09/1982  0       5      31     22     
30/09/1982  0       4      32     23     
01/10/1982  1       3.6    29     23     
02/10/1982  0       2.3    29     21     
03/10/1982  11      4.5    30     21     
04/10/1982  8.5     5.6    30     22     
05/10/1982  29      2.7    30     24     
06/10/1982  0       4.6    29     23     
07/10/1982  0       2.1    30     24     
08/10/1982  0       3      30     24     
09/10/1982  0       2.8    28     23     
10/10/1982  9.5     1      28     20     
11/10/1982  1       3.8    25     18     
12/10/1982  0       2.6    21     17     
13/10/1982  0       2.2    26     16     
14/10/1982  0       3.2    26     18     
15/10/1982  0       3      28     18     
16/10/1982  0       4.2    28     19     
17/10/1982  0       4.3    32     20     
18/10/1982  0       4.6    31     21     
19/10/1982  3       3.8    28     21     
20/10/1982  0       3.1    33     20     
21/10/1982  0       3.2    27     19     
22/10/1982  0       2.5    26     16     
23/10/1982  0       2.5    25     17     
24/10/1982  0       4.1    26     14     
25/10/1982  0       2.7    27     13     
26/10/1982  0       4.8    29     16     
27/10/1982  0       1.9    31     20     
28/10/1982  2       5.1    30     21     
29/10/1982  0       5.9    29.5   22     
30/10/1982  0       4.9    32.5   21.5   
31/10/1982  0       4.2    30     22     
01/11/1982  0       3.8    30     22     
02/11/1982  0       3.5    31     22     
03/11/1982  4       4.2    22     20     
04/11/1982  0       8.4    19     10     
05/11/1982  0       0.7    29     8      
06/11/1982  0       3.4    26     13     
07/11/1982  0       2      26     18     
08/11/1982  0       4.2    26     18     
09/11/1982  0       4.6    29     17     
10/11/1982  0       1.9    29     20     
11/11/1982  0       5.1    29     20     
12/11/1982  0       6.2    27     21     
13/11/1982  0       2.9    28     16     
14/11/1982  10      3.7    29     15     
15/11/1982  0       3.8    28     12     
16/11/1982  0       4.6    26.5   12     
17/11/1982  0       1.9    27     12     
18/11/1982  0       3      29     18     
19/11/1982  0       2.9    27     18     
20/11/1982  0       4      30     21     
21/11/1982  0       3.8    30     20     
22/11/1982  0       5.7    29     21     
23/11/1982  0       6.3    28     21     
24/11/1982  0       4.6    16     14     
25/11/1982  0       2.5    12     8      
26/11/1982  2       1.8    14     7      
27/11/1982  0       2.4    18     8      
28/11/1982  0       2      21     11     
29/11/1982  0       3.1    21     15     
30/11/1982  0       3      27     19     
01/12/1982  0       2.9    31     19     
02/12/1982  0       2.9    32     18     
03/12/1982  0       2.2    29     16     
04/12/1982  0       2.1    25     14     
05/12/1982  0       2.6    27     11     
06/12/1982  0       1.5    23     14     
07/12/1982  0       2.9    26     15     
08/12/1982  14.5    3.1    25     15     
09/12/1982  13      3.1    24     16     
10/12/1982  0       1.1    21     13     
