CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2023

ESTACION  : 29029
NOMBRE    : TEMONTITLA
ESTADO    : TLAXCALA
MUNICIPIO : Calpulalpan
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.567°
LONGITUD  : -98.467°
ALTITUD   : 2564 msnm

EMISIÓN   : 12/04/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1967  0       Nulo   Nulo   Nulo   
02/02/1967  0       Nulo   Nulo   Nulo   
03/02/1967  0       Nulo   Nulo   Nulo   
04/02/1967  0       Nulo   Nulo   Nulo   
05/02/1967  0       Nulo   Nulo   Nulo   
06/02/1967  0       Nulo   Nulo   Nulo   
07/02/1967  0       2.3    Nulo   Nulo   
08/02/1967  0       3.4    Nulo   Nulo   
09/02/1967  0       3.2    Nulo   Nulo   
10/02/1967  0       2.8    Nulo   Nulo   
11/02/1967  0       3.1    Nulo   Nulo   
12/02/1967  0       3.2    Nulo   Nulo   
13/02/1967  0       2.2    Nulo   Nulo   
14/02/1967  0       3.1    Nulo   Nulo   
15/02/1967  0       3.9    Nulo   Nulo   
16/02/1967  0       2.6    Nulo   Nulo   
17/02/1967  0       3.3    Nulo   Nulo   
18/02/1967  0       1.5    Nulo   Nulo   
19/02/1967  0       3.3    Nulo   Nulo   
20/02/1967  0       2.3    Nulo   Nulo   
21/02/1967  0       1.1    Nulo   Nulo   
22/02/1967  0       2.7    Nulo   Nulo   
23/02/1967  0       2.8    Nulo   Nulo   
24/02/1967  0       3.1    Nulo   Nulo   
25/02/1967  0       3      Nulo   Nulo   
26/02/1967  0       3.2    Nulo   Nulo   
27/02/1967  0       2.8    Nulo   Nulo   
28/02/1967  0       2      Nulo   Nulo   
01/03/1967  1.5     3.9    Nulo   Nulo   
02/03/1967  0       3.9    Nulo   Nulo   
03/03/1967  0       3      Nulo   Nulo   
04/03/1967  0.5     3.7    Nulo   Nulo   
05/03/1967  0       2.9    Nulo   Nulo   
06/03/1967  0       2.6    Nulo   Nulo   
07/03/1967  0       3.1    Nulo   Nulo   
08/03/1967  0       3.2    Nulo   Nulo   
09/03/1967  0       3      Nulo   Nulo   
10/03/1967  0       3.2    Nulo   Nulo   
11/03/1967  0       2.8    Nulo   Nulo   
12/03/1967  0       3.1    Nulo   Nulo   
13/03/1967  0       2.3    Nulo   Nulo   
14/03/1967  0       5.5    Nulo   Nulo   
15/03/1967  0       3.6    Nulo   Nulo   
16/03/1967  0       4.5    Nulo   Nulo   
17/03/1967  0       11.6   Nulo   Nulo   
18/03/1967  0       4      21     Nulo   
19/03/1967  0       3.2    20     4      
20/03/1967  5.5     5.5    16     3      
21/03/1967  5.2     5      23     2      
22/03/1967  1.5     3.5    16     3      
23/03/1967  6.9     1.8    10     4      
24/03/1967  0       2.3    15     2.5    
25/03/1967  0       3.9    17.5   2      
26/03/1967  0       3.6    17.5   3.5    
27/03/1967  0       5.3    21.5   4.5    
28/03/1967  0       7.1    21     3.5    
29/03/1967  0       6.4    20.5   3      
30/03/1967  0       5.9    22.5   4.5    
31/03/1967  0       5.9    24     6.5    
01/04/1967  0       5.5    21.5   5.5    
