CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2023

ESTACION  : 29172
NOMBRE    : I.T.A. 029 XOCOYUCAN
ESTADO    : TLAXCALA
MUNICIPIO : Ixtacuixtla de Mariano Matamoros
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.307°
LONGITUD  : -98.373°
ALTITUD   : 2220 msnm

EMISIÓN   : 12/04/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/2002  0       2      20     -3     
02/01/2002  0       3      21     -2     
03/01/2002  0       3      19     0      
04/01/2002  0       2.7    20     3      
05/01/2002  0       3.4    24     6      
06/01/2002  0       3.1    23     6      
07/01/2002  0       2.2    21     0      
08/01/2002  0       3.9    23     -1     
09/01/2002  0       2.3    24     -2     
10/01/2002  0       4.3    22     -3     
11/01/2002  0       2.7    18     -2     
12/01/2002  0       3      20     -4     
13/01/2002  6.1     1.2    22     -3     
14/01/2002  0       1.7    17     -1     
15/01/2002  0       1.9    20     0      
16/01/2002  0       3      27     -2     
17/01/2002  0       3      27     -1     
18/01/2002  0       2.6    25     -4     
19/01/2002  0       3.1    26     -2     
20/01/2002  0       3.4    26     0      
21/01/2002  0       3.5    26     0      
22/01/2002  0       4.1    25     -1     
23/01/2002  0       4.3    25     0      
24/01/2002  0       2.8    25     -1     
25/01/2002  0       3.2    25     2      
26/01/2002  0       4.1    26     2      
27/01/2002  0       4.2    26     0      
28/01/2002  0       3.3    27     -1     
29/01/2002  0       3.9    26     -2     
30/01/2002  0       3.1    25     -2     
31/01/2002  0       4.1    26     0      
01/02/2002  0       3.6    24     2      
02/02/2002  0       3.4    26     1      
03/02/2002  0       3.6    25     1      
04/02/2002  0       3.4    24     0      
05/02/2002  0       3.4    25     1      
06/02/2002  0       4      23     -1     
07/02/2002  0       5.3    22     0      
08/02/2002  0       3.1    24     1      
09/02/2002  0       4.4    22     0      
10/02/2002  36      4.5    23     3      
11/02/2002  0       1.4    12     1      
12/02/2002  0       2.7    17     6      
13/02/2002  0       1.2    17     2      
14/02/2002  0       2.1    25     3      
15/02/2002  0       3.9    24     2      
16/02/2002  0       4      26     3      
17/02/2002  0       5.3    25     0      
18/02/2002  0       5.6    25     1      
19/02/2002  0       4.5    24     2      
20/02/2002  2       5.1    25     3      
21/02/2002  0       4      25     2      
22/02/2002  0       3.4    23     2      
23/02/2002  0       3.9    22     0      
24/02/2002  0       4.2    23     -4     
25/02/2002  0       4.3    24     0      
26/02/2002  0       5.4    23     1      
27/02/2002  0       4.4    22     0      
28/02/2002  0       3.6    Nulo   2      
01/03/2002  0       0.9    29     4      
02/03/2002  0       5.8    25     0      
03/03/2002  0       5      29     0      
04/03/2002  0       4.7    23     0      
05/03/2002  0       5.7    25     3      
06/03/2002  0       2.5    25     3      
07/03/2002  0       4.3    25     1      
08/03/2002  0       5.4    27     1      
09/03/2002  0       4.8    26     2      
10/03/2002  0       5.8    29     3      
11/03/2002  0       3.2    28     1      
12/03/2002  5.5     3.5    27     4      
13/03/2002  0       5.9    26     6      
14/03/2002  0       7.4    30     4      
15/03/2002  0       4.6    28     4      
16/03/2002  0       5.9    29     6      
17/03/2002  0       5.2    29     4      
18/03/2002  0       5.6    28     3      
19/03/2002  0       5.4    28     4      
20/03/2002  0       4.7    30     3      
21/03/2002  1.7     5.1    29     6      
22/03/2002  0       5.4    30     5      
23/03/2002  0       5.2    29     4      
24/03/2002  0       4.8    28     6      
25/03/2002  0       6.2    30     6      
26/03/2002  0       5.2    29     8      
27/03/2002  0       6.8    30     6      
28/03/2002  0       4.2    29     7      
29/03/2002  0       6.1    29     6      
30/03/2002  0       5.8    29     7      
31/03/2002  0       6.2    31     8      
01/04/2002  8.5     7.6    30     8      
02/04/2002  0       6.6    28     7      
03/04/2002  0       5.4    29     5      
04/04/2002  0       6.8    29     6      
05/04/2002  0       5.2    27     5      
06/04/2002  0       5.4    26     4      
07/04/2002  0       4.7    25     3      
08/04/2002  0       5.8    26     1      
09/04/2002  0.5     3.3    25     1      
10/04/2002  0       3.4    24     3      
11/04/2002  1       3.5    24     6      
12/04/2002  0       2.8    27     4      
13/04/2002  0       4.2    28     4      
14/04/2002  0       4.8    28     -1     
15/04/2002  1.5     10.9   28     0      
16/04/2002  0       4.9    28     3      
17/04/2002  0       4.6    30     3      
18/04/2002  0       8.7    31     1      
19/04/2002  1       7.2    29     1      
20/04/2002  0       4      30     0      
21/04/2002  0       8      30     2      
22/04/2002  0       6.2    29     2      
23/04/2002  0       6.2    31     5      
24/04/2002  0       6.7    31     3      
25/04/2002  0       7.9    30     2      
26/04/2002  0       7.3    32     2      
27/04/2002  0       4      30     6      
28/04/2002  0       6.7    31     5      
29/04/2002  0       7      31     5      
30/04/2002  0       6      Nulo   3      
01/05/2002  0       9      31     5      
02/05/2002  0       5.7    31     4      
03/05/2002  0       5.6    30     6      
04/05/2002  0       5.8    30     5      
05/05/2002  5       10.2   32     6      
06/05/2002  0       4.8    30     5      
07/05/2002  0       8.3    31     6      
08/05/2002  0       5.2    29     5      
09/05/2002  0       10.4   31     8      
