CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30004
NOMBRE    : ACULTZINGO
ESTADO    : VERACRUZ
MUNICIPIO : ACULTZINGO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.717°
LONGITUD  : -97.308°
ALTITUD   : 1701 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1954  0       Nulo   21.4   6.8    
02/01/1954  0       Nulo   23.9   7.3    
03/01/1954  0       Nulo   21.9   7.3    
04/01/1954  0       Nulo   22.9   4.3    
05/01/1954  0       Nulo   15.3   3.4    
06/01/1954  0       Nulo   19.3   5.3    
07/01/1954  0       Nulo   14.9   5.3    
08/01/1954  0       Nulo   19.9   4.3    
09/01/1954  0       Nulo   28.9   6.3    
10/01/1954  0       Nulo   26.9   9.3    
11/01/1954  0       Nulo   23.9   6.3    
12/01/1954  0       Nulo   12.9   7.3    
13/01/1954  0       Nulo   19.4   7.3    
14/01/1954  0       Nulo   24.9   7.3    
15/01/1954  0       Nulo   25.4   8.3    
16/01/1954  0       Nulo   20.9   7.3    
17/01/1954  0       Nulo   20.9   7.3    
18/01/1954  0       Nulo   20.9   8.3    
19/01/1954  0       Nulo   12.9   8.3    
20/01/1954  0       Nulo   25.9   10.3   
21/01/1954  0       Nulo   25.9   8.3    
22/01/1954  0       Nulo   14.9   9.3    
23/01/1954  0       Nulo   20.9   8.3    
24/01/1954  0       Nulo   20.9   11.3   
25/01/1954  0       Nulo   11.9   11.3   
26/01/1954  3       Nulo   21.9   11.3   
27/01/1954  0       Nulo   21.9   10.3   
28/01/1954  0       Nulo   14.9   10.3   
29/01/1954  7.3     Nulo   18.9   7.3    
30/01/1954  0       Nulo   19.9   7.3    
31/01/1954  0       Nulo   18.9   7.3    
01/02/1954  0       Nulo   Nulo   Nulo   
02/02/1954  0       Nulo   Nulo   Nulo   
03/02/1954  0       Nulo   Nulo   Nulo   
04/02/1954  0       Nulo   Nulo   Nulo   
05/02/1954  0       Nulo   Nulo   Nulo   
06/02/1954  1.3     Nulo   Nulo   Nulo   
07/02/1954  0       Nulo   Nulo   Nulo   
08/02/1954  0       Nulo   Nulo   Nulo   
09/02/1954  0       Nulo   Nulo   Nulo   
10/02/1954  0       Nulo   Nulo   Nulo   
11/02/1954  0       Nulo   Nulo   Nulo   
12/02/1954  0       Nulo   Nulo   Nulo   
13/02/1954  0       Nulo   Nulo   Nulo   
14/02/1954  0       Nulo   Nulo   Nulo   
15/02/1954  0       Nulo   Nulo   Nulo   
16/02/1954  0       Nulo   Nulo   Nulo   
17/02/1954  0       Nulo   Nulo   Nulo   
18/02/1954  0       Nulo   Nulo   Nulo   
19/02/1954  0       Nulo   Nulo   Nulo   
20/02/1954  0       Nulo   Nulo   Nulo   
21/02/1954  0       Nulo   Nulo   Nulo   
22/02/1954  0       Nulo   Nulo   Nulo   
23/02/1954  3.4     Nulo   Nulo   Nulo   
24/02/1954  0       Nulo   Nulo   Nulo   
