CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30077
NOMBRE    : JALTIPAN DE MORELOS
ESTADO    : VERACRUZ
MUNICIPIO : JALTIPAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 017.964°
LONGITUD  : -94.722°
ALTITUD   : 66 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       Nulo   27     19     
02/01/1961  0       Nulo   25     20     
03/01/1961  28.4    Nulo   24     19     
04/01/1961  9.6     Nulo   24.5   17.5   
05/01/1961  3       Nulo   27     18.5   
06/01/1961  0       Nulo   26     19     
07/01/1961  0       Nulo   31     20.5   
08/01/1961  0       Nulo   23     19.5   
09/01/1961  0       Nulo   22     16     
10/01/1961  0       Nulo   25     15     
11/01/1961  0       Nulo   28     16.5   
12/01/1961  0       Nulo   26     18     
13/01/1961  0       Nulo   26     17     
14/01/1961  0       Nulo   25     18.5   
15/01/1961  8.1     Nulo   25     19     
16/01/1961  0       Nulo   21.5   16     
17/01/1961  7.5     Nulo   21     15     
18/01/1961  0       Nulo   27     16     
19/01/1961  3.8     Nulo   27     15     
20/01/1961  0       Nulo   24     16.5   
21/01/1961  0       Nulo   21     15.5   
22/01/1961  0       Nulo   23     15.5   
23/01/1961  0       Nulo   26.5   17.5   
24/01/1961  0       Nulo   30.5   19     
25/01/1961  0       Nulo   25.5   19.5   
26/01/1961  0       Nulo   25.5   19.5   
27/01/1961  0       Nulo   25     19     
28/01/1961  0       Nulo   26.5   18     
29/01/1961  15.5    Nulo   23     19.5   
30/01/1961  8.2     Nulo   20.5   16     
31/01/1961  0       Nulo   23.5   15     
01/02/1961  0       Nulo   26     18     
02/02/1961  15.5    Nulo   29     19     
03/02/1961  0       Nulo   23     18     
04/02/1961  0       Nulo   26     17.5   
05/02/1961  0       Nulo   29     20     
06/02/1961  7.2     Nulo   32.5   18     
07/02/1961  2.2     Nulo   20     18     
08/02/1961  15.5    Nulo   20     15.5   
09/02/1961  0       Nulo   24     16.5   
10/02/1961  0       Nulo   25     19     
11/02/1961  0       Nulo   25.5   18     
12/02/1961  0       Nulo   26.5   13.5   
13/02/1961  0       Nulo   26     17.5   
14/02/1961  2       Nulo   22.5   18     
15/02/1961  3       Nulo   27.5   19     
16/02/1961  0       Nulo   29     18.5   
17/02/1961  0       Nulo   29.5   20     
18/02/1961  0       Nulo   29     19     
19/02/1961  0       Nulo   33     20     
20/02/1961  0       Nulo   33     19.5   
21/02/1961  1.5     Nulo   30.5   21     
22/02/1961  4.6     Nulo   22     18.5   
23/02/1961  0       Nulo   25     18.5   
24/02/1961  0       Nulo   34.5   20.5   
25/02/1961  0       Nulo   20     17.5   
26/02/1961  0       Nulo   25.5   13.5   
27/02/1961  0       Nulo   32     16.5   
28/02/1961  0       Nulo   30.5   18.5   
01/03/1961  0       Nulo   29.5   20.5   
02/03/1961  7.2     Nulo   25.5   20     
03/03/1961  0       Nulo   30     20.5   
04/03/1961  0       Nulo   34     19.5   
05/03/1961  0       Nulo   35     22     
06/03/1961  0       Nulo   36     22     
07/03/1961  0       Nulo   36.5   22.5   
08/03/1961  7.6     Nulo   30     22.5   
09/03/1961  0       Nulo   24.5   18     
10/03/1961  0       Nulo   27.5   16     
11/03/1961  0       Nulo   29.5   18     
12/03/1961  0       Nulo   33.5   18     
13/03/1961  0       Nulo   34     22     
14/03/1961  0       Nulo   32.5   21     
15/03/1961  3       Nulo   32.5   21.5   
16/03/1961  0       Nulo   32     20     
17/03/1961  0       Nulo   35     24     
18/03/1961  0       Nulo   35     23     
19/03/1961  0       Nulo   33.5   20     
20/03/1961  0       Nulo   32.5   22     
21/03/1961  0       Nulo   27.5   20.5   
22/03/1961  0       Nulo   31     21.5   
23/03/1961  17.5    Nulo   33     22.5   
24/03/1961  0       Nulo   31     20.5   
25/03/1961  0       Nulo   32.5   22     
26/03/1961  0       Nulo   34.5   21     
27/03/1961  0       Nulo   36     23.5   
28/03/1961  0       Nulo   35.5   24     
29/03/1961  0       Nulo   36.5   24     
30/03/1961  0       Nulo   35.5   24     
31/03/1961  0       Nulo   37.5   24.5   
01/04/1961  0       Nulo   32.5   25.5   
02/04/1961  1.5     Nulo   29.5   20     
03/04/1961  0       Nulo   32     21.5   
04/04/1961  0       Nulo   32.5   22.5   
05/04/1961  0       Nulo   36     23     
06/04/1961  10      Nulo   38     25     
07/04/1961  0       Nulo   30     21.5   
08/04/1961  0       Nulo   32     19     
09/04/1961  0       Nulo   37     22     
10/04/1961  0       Nulo   33     22.5   
11/04/1961  0       Nulo   38     23     
12/04/1961  0       Nulo   36.5   25     
13/04/1961  0       Nulo   30     23     
14/04/1961  0       Nulo   38.5   21     
15/04/1961  0       Nulo   38     23.5   
16/04/1961  0       Nulo   29     20     
17/04/1961  0       Nulo   29.5   17.5   
18/04/1961  0       Nulo   31     20     
19/04/1961  0       Nulo   34     21.5   
20/04/1961  0       Nulo   35     22.5   
21/04/1961  0       Nulo   33.5   23.5   
22/04/1961  0       Nulo   34.5   20.5   
23/04/1961  0       Nulo   34     22     
24/04/1961  0       Nulo   37.5   23     
25/04/1961  0       Nulo   37     24     
26/04/1961  0       Nulo   38     25     
27/04/1961  0       Nulo   39.5   24     
28/04/1961  0       Nulo   39.5   26     
29/04/1961  0       Nulo   36     24     
30/04/1961  0       Nulo   36     24     
01/05/1961  0       Nulo   37     23.5   
02/05/1961  0       Nulo   39     25     
03/05/1961  0       Nulo   37     25.5   
04/05/1961  0       Nulo   38     24     
05/05/1961  0       Nulo   39     24.5   
06/05/1961  0       Nulo   40     25     
07/05/1961  0       Nulo   36     25     
08/05/1961  0       Nulo   39     24     
09/05/1961  0       Nulo   37.5   25.5   
10/05/1961  0       Nulo   34.5   24     
11/05/1961  0       Nulo   37     19.5   
12/05/1961  0       Nulo   39.5   20     
13/05/1961  0       Nulo   40.5   24     
14/05/1961  0       Nulo   40     25.5   
15/05/1961  0       Nulo   39     26     
16/05/1961  0       Nulo   38.5   25.5   
17/05/1961  0       Nulo   38.5   25.5   
18/05/1961  0       Nulo   37     24     
19/05/1961  0       Nulo   35     23.5   
20/05/1961  0       Nulo   36.5   23.5   
21/05/1961  0       Nulo   39     22.5   
22/05/1961  0       Nulo   40.5   25     
23/05/1961  0       Nulo   41.5   26     
24/05/1961  0       Nulo   36     24.5   
25/05/1961  0       Nulo   38     24.5   
26/05/1961  0       Nulo   41.5   25     
27/05/1961  0       Nulo   34.5   24.5   
28/05/1961  0       Nulo   33     24     
29/05/1961  0       Nulo   33.5   23.5   
30/05/1961  3.6     Nulo   34     23     
31/05/1961  28.6    Nulo   35     23     
01/06/1961  3.5     Nulo   33.5   22.5   
02/06/1961  0       Nulo   32.5   24     
03/06/1961  0       Nulo   34.5   24.5   
04/06/1961  0       Nulo   35     23.5   
05/06/1961  0       Nulo   36     24     
06/06/1961  0       Nulo   37     25.5   
07/06/1961  0       Nulo   36     25     
08/06/1961  0       Nulo   38     24.5   
09/06/1961  10.5    Nulo   35     25     
10/06/1961  0       Nulo   35.5   25     
11/06/1961  0       Nulo   36     25     
12/06/1961  0       Nulo   33     26     
13/06/1961  20      Nulo   32     24     
14/06/1961  65      Nulo   30     23     
15/06/1961  33.5    Nulo   28.5   22     
16/06/1961  11      Nulo   31     22.5   
17/06/1961  0       Nulo   32.5   23     
18/06/1961  0       Nulo   31     24     
19/06/1961  0       Nulo   35     25     
20/06/1961  14.6    Nulo   34     26     
21/06/1961  0       Nulo   30     22     
22/06/1961  0       Nulo   32     23.5   
23/06/1961  0       Nulo   33     23.5   
24/06/1961  3       Nulo   31     23     
25/06/1961  4.5     Nulo   31     23     
26/06/1961  20      Nulo   33     24.5   
27/06/1961  31      Nulo   30     22     
28/06/1961  0       Nulo   31     22.5   
29/06/1961  14      Nulo   29.5   23     
30/06/1961  64.6    Nulo   30     23     
01/07/1961  47.5    Nulo   28.5   22     
02/07/1961  24.6    Nulo   30.5   22.5   
03/07/1961  28.5    Nulo   31     23     
04/07/1961  0       Nulo   30.5   22     
05/07/1961  6       Nulo   33     23     
06/07/1961  19.5    Nulo   29     24     
07/07/1961  36.5    Nulo   31.5   23     
08/07/1961  36.4    Nulo   31.5   22.5   
09/07/1961  33.9    Nulo   27.5   22.5   
10/07/1961  7       Nulo   31.5   21.5   
11/07/1961  7       Nulo   32     22.5   
12/07/1961  6.5     Nulo   32.5   23     
13/07/1961  6.4     Nulo   31.5   24     
14/07/1961  1.5     Nulo   33     24     
15/07/1961  0       Nulo   34.5   23.5   
16/07/1961  0       Nulo   35.5   24     
17/07/1961  3       Nulo   35     24     
18/07/1961  5.6     Nulo   34     23.5   
19/07/1961  3       Nulo   31.5   24     
20/07/1961  6.5     Nulo   33.5   23     
21/07/1961  7.5     Nulo   31.5   23     
