CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30146
NOMBRE    : SAN ANDRES
ESTADO    : VERACRUZ
MUNICIPIO : SAN ANDRES TUXTLA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 018.447°
LONGITUD  : -95.211°
ALTITUD   : 288 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/05/1923  0       Nulo   36.5   25     
02/05/1923  0       Nulo   37     25     
03/05/1923  0       Nulo   37     24.5   
04/05/1923  0       Nulo   36     22     
05/05/1923  0       Nulo   36     21     
06/05/1923  0       Nulo   36     22     
07/05/1923  0       Nulo   36     21     
08/05/1923  0       Nulo   36     24     
09/05/1923  0       Nulo   36     24     
10/05/1923  0       Nulo   36.5   23     
11/05/1923  0       Nulo   31     19     
12/05/1923  0       Nulo   29     19     
13/05/1923  0       Nulo   31     23     
14/05/1923  0       Nulo   31     24     
15/05/1923  0       Nulo   32     25     
16/05/1923  0       Nulo   37     25     
17/05/1923  0       Nulo   38     25     
18/05/1923  0       Nulo   37     22     
19/05/1923  0       Nulo   37     22     
20/05/1923  0       Nulo   37     22     
21/05/1923  0       Nulo   38     22     
22/05/1923  0       Nulo   35     23     
23/05/1923  0       Nulo   36     23     
24/05/1923  0       Nulo   38     24     
25/05/1923  0       Nulo   38     24     
26/05/1923  0       Nulo   37     23     
27/05/1923  0       Nulo   38.5   22     
28/05/1923  0       Nulo   38     25     
29/05/1923  0       Nulo   39.5   27     
30/05/1923  0       Nulo   39     24     
31/05/1923  0       Nulo   38     23     
01/06/1923  0       Nulo   38     24     
02/06/1923  0       Nulo   38     23     
03/06/1923  0       Nulo   37     21     
04/06/1923  0       Nulo   37     22     
05/06/1923  0       Nulo   37     22     
06/06/1923  0       Nulo   37     23     
07/06/1923  5       Nulo   36     22     
08/06/1923  0       Nulo   36     22     
09/06/1923  1       Nulo   35     24     
10/06/1923  5       Nulo   36     23     
11/06/1923  0       Nulo   36     23     
12/06/1923  0       Nulo   33     23     
13/06/1923  11      Nulo   35     24     
14/06/1923  20      Nulo   33     22     
15/06/1923  0       Nulo   32     23     
16/06/1923  0       Nulo   31     23     
17/06/1923  0       Nulo   29     24     
18/06/1923  25      Nulo   31     25     
19/06/1923  0       Nulo   29     23     
20/06/1923  0       Nulo   31     23     
21/06/1923  40      Nulo   33     24     
22/06/1923  30      Nulo   32     23     
23/06/1923  15      Nulo   30     23     
24/06/1923  50      Nulo   26     22     
25/06/1923  0       Nulo   27     23     
26/06/1923  0       Nulo   30     24     
27/06/1923  0       Nulo   30     24     
28/06/1923  0       Nulo   35     24     
29/06/1923  1       Nulo   35     24     
30/06/1923  0       Nulo   34     22     
01/07/1923  10      Nulo   28     21     
02/07/1923  7       Nulo   33     24     
03/07/1923  17.5    Nulo   33     24     
04/07/1923  8       Nulo   32     22     
05/07/1923  0       Nulo   29     23     
06/07/1923  12.5    Nulo   32     24     
07/07/1923  6       Nulo   32     23     
