CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30164
NOMBRE    : SUMIDERO
ESTADO    : VERACRUZ
MUNICIPIO : IXTACZOQUITLAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.907°
LONGITUD  : -97.022°
ALTITUD   : 1077 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  1       Nulo   20     11     
02/01/1961  0       Nulo   20     13     
03/01/1961  17      Nulo   22     13     
04/01/1961  26      Nulo   20     14     
05/01/1961  0       Nulo   20     14     
06/01/1961  0       Nulo   20     16     
07/01/1961  0       Nulo   21     10     
08/01/1961  20      Nulo   20     12     
09/01/1961  2       Nulo   20     10     
10/01/1961  0       Nulo   16     5      
11/01/1961  0       Nulo   20     8      
12/01/1961  0       Nulo   19     9      
13/01/1961  0       Nulo   14     10     
14/01/1961  0       Nulo   18     8      
15/01/1961  2       Nulo   16     9      
16/01/1961  2       Nulo   14     11     
17/01/1961  0       Nulo   15     10     
18/01/1961  0       Nulo   18     11     
19/01/1961  4       Nulo   20     9      
20/01/1961  2       Nulo   13     11     
21/01/1961  3       Nulo   15     10     
22/01/1961  0       Nulo   16     11     
23/01/1961  0       Nulo   18     12     
24/01/1961  0       Nulo   22     11     
25/01/1961  0       Nulo   22     11     
26/01/1961  0       Nulo   21     12     
27/01/1961  0       Nulo   21     10     
28/01/1961  3       Nulo   18     12     
29/01/1961  10      Nulo   20     13     
30/01/1961  2       Nulo   14     10     
31/01/1961  0       Nulo   17     8      
01/02/1961  0       Nulo   17     7      
02/02/1961  1       Nulo   15     8      
03/02/1961  3       Nulo   15     14     
04/02/1961  0       Nulo   18     11     
05/02/1961  0       Nulo   19     11     
06/02/1961  0       Nulo   19     13     
07/02/1961  3       Nulo   13     12     
08/02/1961  0       Nulo   14     11     
09/02/1961  0       Nulo   15     12     
10/02/1961  14      Nulo   14     13     
11/02/1961  0       Nulo   18     12     
12/02/1961  0       Nulo   19     5      
13/02/1961  0       Nulo   21     2      
14/02/1961  0       Nulo   22     5      
15/02/1961  0       Nulo   22     9      
16/02/1961  0       Nulo   23     10     
17/02/1961  0       Nulo   24     11     
18/02/1961  0       Nulo   29     13     
19/02/1961  0       Nulo   16     12     
20/02/1961  0       Nulo   19     10     
21/02/1961  6       Nulo   19     14     
22/02/1961  1       Nulo   16     14     
23/02/1961  0       Nulo   19     12     
24/02/1961  3       Nulo   25     11     
25/02/1961  0       Nulo   12     11     
26/02/1961  0       Nulo   19     4      
27/02/1961  0       Nulo   24     9      
28/02/1961  0       Nulo   23     11     
01/03/1961  3       Nulo   22     12     
02/03/1961  2       Nulo   22     12     
03/03/1961  0       Nulo   23     14     
04/03/1961  0       Nulo   24     14     
05/03/1961  0       Nulo   19     15     
06/03/1961  0       Nulo   26     13     
07/03/1961  0       Nulo   28     14     
08/03/1961  2       Nulo   26     15     
09/03/1961  0       Nulo   17     13     
10/03/1961  0       Nulo   22     10     
11/03/1961  0       Nulo   23     13     
12/03/1961  7       Nulo   26     11     
13/03/1961  0       Nulo   25     14     
14/03/1961  0       Nulo   24     13     
15/03/1961  0       Nulo   24     12     
16/03/1961  0       Nulo   30     16     
17/03/1961  0       Nulo   32     15     
18/03/1961  0       Nulo   26     18     
19/03/1961  0       Nulo   27     16     
20/03/1961  0       Nulo   24     12     
21/03/1961  0       Nulo   20     14     
22/03/1961  0       Nulo   21     12     
23/03/1961  4       Nulo   22     11     
24/03/1961  3       Nulo   23     14     
25/03/1961  0       Nulo   21     14     
26/03/1961  0       Nulo   26     15     
27/03/1961  0       Nulo   31     14     
28/03/1961  0       Nulo   32     16     
29/03/1961  0       Nulo   30     16     
30/03/1961  0       Nulo   35     17     
31/03/1961  0       Nulo   29     18     
01/04/1961  0       Nulo   22     14     
02/04/1961  0       Nulo   20     14     
03/04/1961  0       Nulo   22     13     
04/04/1961  0       Nulo   20     16     
05/04/1961  0       Nulo   24     17     
06/04/1961  4       Nulo   28     17     
07/04/1961  1       Nulo   20     15     
08/04/1961  0       Nulo   25     14     
09/04/1961  0       Nulo   30     16     
10/04/1961  0       Nulo   31     18     
11/04/1961  0       Nulo   33     19     
12/04/1961  0       Nulo   28     21     
13/04/1961  0       Nulo   26     12     
14/04/1961  0       Nulo   35     15     
15/04/1961  0       Nulo   36     18     
16/04/1961  0       Nulo   22     15     
17/04/1961  0       Nulo   22     13     
18/04/1961  0       Nulo   23     13     
19/04/1961  0       Nulo   23     13     
20/04/1961  0       Nulo   27     18     
21/04/1961  0       Nulo   25     16     
22/04/1961  0       Nulo   26     15     
23/04/1961  0       Nulo   27     12     
24/04/1961  0       Nulo   28     14     
25/04/1961  0       Nulo   31     17     
26/04/1961  0       Nulo   30     18     
27/04/1961  0       Nulo   30     18     
28/04/1961  0       Nulo   30     17     
29/04/1961  0       Nulo   27     15     
30/04/1961  0       Nulo   26     14     
01/05/1961  0       Nulo   29     16     
02/05/1961  0       Nulo   30     16     
03/05/1961  0       Nulo   28     16     
04/05/1961  0       Nulo   28     17     
05/05/1961  0       Nulo   31     16     
06/05/1961  0       Nulo   30     18     
07/05/1961  0       Nulo   29     16     
08/05/1961  0       Nulo   25     18     
09/05/1961  31      Nulo   25     19     
10/05/1961  0       Nulo   23     12     
11/05/1961  0       Nulo   25     11     
12/05/1961  0       Nulo   26     11     
13/05/1961  0       Nulo   29     15     
14/05/1961  0       Nulo   30     18     
15/05/1961  0       Nulo   28     22     
16/05/1961  0       Nulo   28     19     
17/05/1961  0       Nulo   28     18     
18/05/1961  0       Nulo   27     16     
19/05/1961  0       Nulo   28     15     
20/05/1961  0       Nulo   27     14     
21/05/1961  0       Nulo   27     14     
22/05/1961  0       Nulo   28     15     
23/05/1961  3       Nulo   28     17     
24/05/1961  0       Nulo   26     16     
25/05/1961  0       Nulo   29     16     
26/05/1961  5       Nulo   31     17     
27/05/1961  0       Nulo   26     19     
28/05/1961  0       Nulo   24     19     
29/05/1961  1       Nulo   26     16     
30/05/1961  8       Nulo   26     15     
31/05/1961  2       Nulo   25     17     
01/06/1961  1       Nulo   27     15     
02/06/1961  15      Nulo   26     17     
03/06/1961  20      Nulo   25     16     
04/06/1961  0       Nulo   26     16     
05/06/1961  0       Nulo   27     15     
06/06/1961  0       Nulo   28     18     
07/06/1961  0       Nulo   28     16     
08/06/1961  0       Nulo   29     17     
09/06/1961  27      Nulo   28     17     
10/06/1961  4       Nulo   23     18     
11/06/1961  27      Nulo   25     18     
12/06/1961  6       Nulo   22     18     
13/06/1961  20      Nulo   23     17     
14/06/1961  55      Nulo   23     18     
15/06/1961  64      Nulo   22     18     
16/06/1961  28      Nulo   25     18     
17/06/1961  12      Nulo   25     17     
18/06/1961  0       Nulo   26     18     
19/06/1961  2       Nulo   26     17     
20/06/1961  32      Nulo   23     19     
21/06/1961  0       Nulo   24     15     
22/06/1961  32      Nulo   25     16     
23/06/1961  20      Nulo   24     17     
24/06/1961  0       Nulo   25     14     
25/06/1961  9       Nulo   26     15     
26/06/1961  9       Nulo   26     16     
27/06/1961  0       Nulo   24     16     
28/06/1961  49      Nulo   26     17     
29/06/1961  8       Nulo   24     18     
30/06/1961  7       Nulo   24     16     
01/07/1961  2       Nulo   24     15     
02/07/1961  23      Nulo   23     14     
03/07/1961  28      Nulo   25     18     
04/07/1961  3       Nulo   24     16     
05/07/1961  0       Nulo   25     16     
06/07/1961  19      Nulo   23     15     
07/07/1961  3       Nulo   21     17     
08/07/1961  56      Nulo   24     16     
09/07/1961  12      Nulo   23     15     
10/07/1961  32      Nulo   25     13     
11/07/1961  2       Nulo   23     16     
