CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30165
NOMBRE    : TAMARINDO
ESTADO    : VERACRUZ
MUNICIPIO : PUENTE NACIONAL
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.337°
LONGITUD  : -96.492°
ALTITUD   : 144 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
23/05/1956  0       Nulo   27     Nulo   
24/05/1956  2       Nulo   27     21     
25/05/1956  20.3    Nulo   26     24     
26/05/1956  38.2    Nulo   24     23     
27/05/1956  35      Nulo   25     22     
28/05/1956  18.2    Nulo   24     23     
29/05/1956  20.1    Nulo   24     22     
30/05/1956  26.9    Nulo   23     22     
31/05/1956  5       Nulo   23     21     
01/06/1956  2       Nulo   26     22     
02/06/1956  0       Nulo   26     21     
03/06/1956  0       Nulo   27     21     
04/06/1956  0       Nulo   27     22     
05/06/1956  18.5    Nulo   26     22     
06/06/1956  46.3    Nulo   24     20     
07/06/1956  0       Nulo   29     20     
08/06/1956  25.2    Nulo   29     21     
09/06/1956  6       Nulo   27     21     
10/06/1956  0.1     Nulo   25     20     
11/06/1956  0       Nulo   29     21     
12/06/1956  0       Nulo   27     22     
13/06/1956  0       Nulo   25     22     
14/06/1956  3       Nulo   28     21     
15/06/1956  27      Nulo   28     21     
16/06/1956  0       Nulo   27     21     
17/06/1956  19      Nulo   27     21     
18/06/1956  42.3    Nulo   28     22     
19/06/1956  16      Nulo   28     21     
20/06/1956  14.4    Nulo   28     21     
21/06/1956  8.5     Nulo   31     22     
22/06/1956  5.5     Nulo   29     21     
23/06/1956  15.7    Nulo   30     22     
24/06/1956  0       Nulo   30     22     
25/06/1956  0       Nulo   33     21     
26/06/1956  34      Nulo   31     22     
27/06/1956  5       Nulo   28     21     
28/06/1956  0       Nulo   29     21     
29/06/1956  2       Nulo   32     21     
30/06/1956  0       Nulo   32     21     
01/07/1956  0       Nulo   34     22     
02/07/1956  0       Nulo   34     22     
03/07/1956  1.8     Nulo   32     22     
04/07/1956  0       Nulo   31     21     
05/07/1956  29.5    Nulo   32     20     
06/07/1956  29      Nulo   32     21     
07/07/1956  0       Nulo   30     21     
08/07/1956  6.4     Nulo   31     21     
09/07/1956  11.3    Nulo   30     22     
10/07/1956  0       Nulo   30     21     
11/07/1956  5.5     Nulo   30     21     
12/07/1956  13      Nulo   31     20     
13/07/1956  6       Nulo   29     21     
14/07/1956  56      Nulo   30     22     
15/07/1956  0       Nulo   31     21     
16/07/1956  0       Nulo   32     21     
17/07/1956  0       Nulo   31     21     
18/07/1956  0       Nulo   30     20     
19/07/1956  0       Nulo   31     21     
20/07/1956  0       Nulo   31     20     
21/07/1956  0       Nulo   31     17     
22/07/1956  0       Nulo   31     20     
23/07/1956  0       Nulo   29     20     
24/07/1956  0       Nulo   31     19     
25/07/1956  0       Nulo   32     20     
26/07/1956  21.5    Nulo   32     22     
27/07/1956  0       Nulo   30     21     
28/07/1956  15      Nulo   30     21     
29/07/1956  21      Nulo   30     21     
30/07/1956  0       Nulo   30     20     
31/07/1956  0       Nulo   32     20     
01/08/1956  0       Nulo   30     21     
02/08/1956  0       Nulo   32     20     
03/08/1956  0       Nulo   32     20     
04/08/1956  0       Nulo   30     20     
05/08/1956  0       Nulo   32     20     
06/08/1956  0       Nulo   31     22     
07/08/1956  1.5     Nulo   33     21     
08/08/1956  0       Nulo   33     22     
09/08/1956  0       Nulo   32     20     
10/08/1956  0       Nulo   34     20     
11/08/1956  0       Nulo   32     20     
12/08/1956  9.5     Nulo   33     20     
13/08/1956  0       Nulo   32     20     
14/08/1956  0       Nulo   33     19     
15/08/1956  0       Nulo   33     19     
16/08/1956  0       Nulo   33     20     
17/08/1956  16.3    Nulo   34     20     
18/08/1956  0       Nulo   33     22     
19/08/1956  0       Nulo   33     21     
20/08/1956  0       Nulo   33     21     
21/08/1956  0       Nulo   32     21     
22/08/1956  0       Nulo   30     20     
23/08/1956  0       Nulo   32     20     
24/08/1956  28.7    Nulo   31     20     
25/08/1956  40      Nulo   33     21     
26/08/1956  0       Nulo   31     21     
27/08/1956  0       Nulo   31     20     
28/08/1956  0       Nulo   31     21     
29/08/1956  0       Nulo   30     22     
30/08/1956  0       Nulo   31     22     
31/08/1956  0       Nulo   33     21     
01/09/1956  0       Nulo   31     21     
02/09/1956  0       Nulo   30     21     
03/09/1956  0       Nulo   30     22     
04/09/1956  19.4    Nulo   32     20     
05/09/1956  65.7    Nulo   31     20     
06/09/1956  0       Nulo   34     21     
07/09/1956  0       Nulo   34     21     
08/09/1956  0       Nulo   32     20     
09/09/1956  5.2     Nulo   33     22     
10/09/1956  0       Nulo   33     20     
11/09/1956  0       Nulo   32     21     
12/09/1956  0       Nulo   32     21     
13/09/1956  0       Nulo   31     20     
14/09/1956  0       Nulo   31     20     
15/09/1956  0       Nulo   30     20     
16/09/1956  14      Nulo   30     20     
17/09/1956  10      Nulo   32     21     
18/09/1956  5.4     Nulo   31     20     
19/09/1956  0       Nulo   32     20     
20/09/1956  0       Nulo   30     20     
21/09/1956  20      Nulo   30     19     
22/09/1956  10      Nulo   32     20     
23/09/1956  0       Nulo   32     20     
24/09/1956  0       Nulo   30     20     
25/09/1956  5.7     Nulo   30     21     
26/09/1956  6.3     Nulo   30     22     
27/09/1956  0       Nulo   34     24     
28/09/1956  0       Nulo   33     20     
29/09/1956  0       Nulo   34     21     
30/09/1956  14      Nulo   31     19     
01/10/1956  0       Nulo   32     21.5   
02/10/1956  0       Nulo   31     24     
03/10/1956  0       Nulo   32     21     
04/10/1956  0       Nulo   32     23     
05/10/1956  0       Nulo   34     26     
06/10/1956  0       Nulo   31     17     
07/10/1956  0       Nulo   31     15     
08/10/1956  0       Nulo   29     14     
09/10/1956  0       Nulo   30     17     
10/10/1956  0       Nulo   34     18     
11/10/1956  0       Nulo   31     19     
12/10/1956  0       Nulo   33     17     
13/10/1956  0       Nulo   32     15     
