CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30192
NOMBRE    : VERACRUZ (OBS)
ESTADO    : VERACRUZ
MUNICIPIO : VERACRUZ
SITUACION : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : 76692.0
LATITUD   : 019.161°
LONGITUD  : -96.137°
ALTITUD   : 19 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1951  0       Nulo   27.2   19.2   
02/01/1951  0       Nulo   26.8   19.1   
03/01/1951  0       Nulo   25.7   20     
04/01/1951  0       Nulo   24.8   18.7   
05/01/1951  0       Nulo   26.5   18.5   
06/01/1951  0       Nulo   27.3   19.3   
07/01/1951  0       Nulo   24     17.4   
08/01/1951  0       Nulo   18.5   17.1   
09/01/1951  0       Nulo   22.6   14.6   
10/01/1951  0       Nulo   27.6   16     
11/01/1951  1.5     Nulo   25.4   19.5   
12/01/1951  0       Nulo   26.5   18.5   
13/01/1951  0       Nulo   28.1   18.5   
14/01/1951  0       Nulo   24.7   17.4   
15/01/1951  0       Nulo   23.2   18     
16/01/1951  0       Nulo   25.7   17     
17/01/1951  0       Nulo   25.5   13     
18/01/1951  0       Nulo   26.3   15.5   
19/01/1951  0       Nulo   25.6   17     
20/01/1951  0       Nulo   27.3   19.5   
21/01/1951  0       Nulo   25.8   22.2   
22/01/1951  0       Nulo   22.5   19.5   
23/01/1951  0       Nulo   25.4   19.4   
24/01/1951  0       Nulo   24.9   21.2   
25/01/1951  0       Nulo   23.3   20.4   
26/01/1951  0       Nulo   27.7   19.8   
27/01/1951  0       Nulo   25     15.8   
28/01/1951  0       Nulo   26.8   17.7   
29/01/1951  0       Nulo   26.7   19.2   
30/01/1951  5       Nulo   23.6   20     
31/01/1951  0       Nulo   26.5   19     
01/02/1951  0       Nulo   22.2   13.6   
02/02/1951  0       Nulo   14.7   11.5   
03/02/1951  0       Nulo   19.6   12     
04/02/1951  0       Nulo   23.3   13.2   
05/02/1951  0       Nulo   23.4   13.2   
06/02/1951  0       Nulo   24.2   13.2   
07/02/1951  0       Nulo   24.3   13.2   
08/02/1951  0       Nulo   24.7   17     
09/02/1951  0       Nulo   25.2   16     
10/02/1951  0       Nulo   24.2   16.2   
11/02/1951  0.9     Nulo   26.2   16.4   
12/02/1951  0       Nulo   25.3   17.5   
13/02/1951  0       Nulo   25.4   17.4   
14/02/1951  0       Nulo   24.2   18     
15/02/1951  0       Nulo   19.9   15.9   
16/02/1951  0       Nulo   21.5   16     
17/02/1951  0       Nulo   27.5   16.8   
18/02/1951  0       Nulo   27.5   17.4   
19/02/1951  0       Nulo   27.2   19.5   
20/02/1951  0       Nulo   27.5   20.5   
21/02/1951  0       Nulo   25.2   21.5   
22/02/1951  0       Nulo   27.5   17.5   
23/02/1951  0       Nulo   27.5   20.7   
24/02/1951  0       Nulo   27.2   21     
25/02/1951  0       Nulo   26.7   18.8   
26/02/1951  0       Nulo   26.9   20     
27/02/1951  0       Nulo   28.2   21     
28/02/1951  0       Nulo   27.3   20     
01/03/1951  0       Nulo   27.3   22.3   
02/03/1951  0       Nulo   28.1   22     
03/03/1951  0       Nulo   30.4   21     
04/03/1951  0       Nulo   27.6   22.8   
