CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30214
NOMBRE    : NANCHITAL (DGE)
ESTADO    : VERACRUZ
MUNICIPIO : NANCHITAL DE LAZARO CARDENAS DEL RIO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.072°
LONGITUD  : -94.41°
ALTITUD   : 20 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1960  0       4      33     18.5   
02/01/1960  0       3.8    33     20     
03/01/1960  0       2.1    28.5   20.5   
04/01/1960  0       5.3    24     20     
05/01/1960  0       2.9    30     21     
06/01/1960  5.5     2.8    30     20     
07/01/1960  115     Nulo   23.5   20     
08/01/1960  93.8    Nulo   25.5   18.5   
09/01/1960  10      2.2    28     19     
10/01/1960  11.6    2.2    28     21     
11/01/1960  0       2.4    28.5   21.5   
12/01/1960  0       3.1    30.5   21.5   
13/01/1960  0       2.7    30     20     
14/01/1960  0       3.4    31     21     
15/01/1960  0       3.6    31.5   21.5   
16/01/1960  0       4      32     22     
17/01/1960  0       4.6    33.5   20     
18/01/1960  5.9     1.8    27.5   20     
19/01/1960  35.8    1.1    Nulo   19     
20/01/1960  72.4    1.2    21.5   17     
21/01/1960  4.4     1.3    21     17.5   
22/01/1960  0       5.9    24     17     
23/01/1960  0       1.8    26     16.5   
24/01/1960  0       1.4    26     15.5   
25/01/1960  0       1.4    27     16     
26/01/1960  0       1.8    27.5   16     
27/01/1960  0       2.2    27     17     
28/01/1960  9.3     2.7    28     18     
29/01/1960  25.7    8.4    24     19.5   
30/01/1960  0       1.2    25.5   17.5   
31/01/1960  0       2      26.5   11     
01/02/1960  0       2.2    27     10     
02/02/1960  0       2.8    28.5   13.5   
03/02/1960  0       4.7    32     15     
04/02/1960  0       4.4    32     16     
05/02/1960  4.2     1.2    25     15     
06/02/1960  0       1.2    26     16.5   
07/02/1960  0       1.2    25.5   16     
08/02/1960  0       1.9    26.5   18     
09/02/1960  0       3.1    29     14.5   
10/02/1960  0       5.8    34.5   15.5   
11/02/1960  0       5.6    33.5   16     
12/02/1960  0       4.2    31     16     
13/02/1960  0       1.2    18     15     
14/02/1960  0       3.9    22     11     
15/02/1960  0       2.3    27     10.5   
16/02/1960  0       2.2    26     14     
17/02/1960  0       3.1    29     15     
18/02/1960  3.8     5.2    23     18     
19/02/1960  0       4.4    23     15     
20/02/1960  0       1.9    26.5   13.5   
21/02/1960  0       5.4    33.5   14.5   
22/02/1960  0       1.7    26     17     
23/02/1960  0       2.8    29.5   18.5   
24/02/1960  0       5.4    34     20     
25/02/1960  0       2.9    Nulo   20     
26/02/1960  1.7     3.3    21     15     
27/02/1960  0       7.9    24     15.5   
28/02/1960  0       1.7    27.5   17     
29/02/1960  0       2.4    28.5   20     
01/03/1960  0       3.5    29.5   21     
02/03/1960  0       3.8    30     19.5   
03/03/1960  33.5    2.2    28.5   21     
04/03/1960  0       1.8    25.5   18.5   
05/03/1960  0       1.2    25     19     
06/03/1960  0       1.6    26     20     
07/03/1960  0       3.7    28.5   20.5   
08/03/1960  0       3.8    28.5   18     
09/03/1960  0       4.6    32     17     
10/03/1960  0       6      34.5   17     
11/03/1960  0       4.3    33     18     
12/03/1960  0       3.6    29     20     
13/03/1960  0       1      26.5   20     
14/03/1960  0       3.9    30     21     
15/03/1960  0       6.2    37     20     
16/03/1960  0       4.4    34     19     
17/03/1960  0       2.9    29.5   18     
18/03/1960  19.1    2.9    21     18     
19/03/1960  7.2     1.1    19     16     
20/03/1960  1.2     3.8    21.5   15.5   
21/03/1960  1.5     9.8    24     17     
22/03/1960  0       2.1    27.5   19.5   
23/03/1960  0       2.2    27.5   15     
24/03/1960  0       3.9    29     17     
25/03/1960  0       4.7    34.5   16     
26/03/1960  0       3.2    32     18     
27/03/1960  0       2.3    29     20     
28/03/1960  0       2.2    29     21.5   
29/03/1960  0       5.1    36     20     
30/03/1960  0       4.2    30.5   22     
31/03/1960  0       5      33.5   20     
01/04/1960  0       6.9    36.5   20     
02/04/1960  0       6.6    36.5   21.5   
03/04/1960  0       3.4    30     19     
04/04/1960  0       2      26.5   18.5   
05/04/1960  0       2.6    27     12     
06/04/1960  0       3      27.5   13     
07/04/1960  0       3.4    29     14.5   
08/04/1960  0       4      30.5   18     
09/04/1960  0       4.7    32     19     
10/04/1960  7       4      30     20.5   
11/04/1960  0       3.5    29     21.5   
12/04/1960  0       4      31     20     
13/04/1960  0       4.6    31.5   21     
14/04/1960  0       5.4    33     22     
15/04/1960  0       4.2    31.5   23     
16/04/1960  0       5.9    34     23     
