CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30219
NOMBRE    : PUENTE ENRIQUEZ (CFE)
ESTADO    : VERACRUZ
MUNICIPIO : ATZALAN
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 019.922°
LONGITUD  : -97.221°
ALTITUD   : 559 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1946  0       0.1    20     13     
02/02/1946  4       0.3    21     15     
03/02/1946  1       0.6    22     14     
04/02/1946  0       2.5    27     11     
05/02/1946  0       3.6    29     12     
06/02/1946  40      Nulo   28     17     
07/02/1946  1       0.7    22     17     
08/02/1946  0       2.7    28     10     
09/02/1946  18      7.6    31     11     
10/02/1946  3       Nulo   22     11     
11/02/1946  0       2      24     12     
12/02/1946  0       1.6    28     11     
13/02/1946  43      Nulo   33     15     
14/02/1946  2       Nulo   18     10     
15/02/1946  0       0      20     10     
16/02/1946  0       2.6    29     12     
17/02/1946  0       2.1    28     16     
18/02/1946  0       2.6    29     13     
19/02/1946  31      Nulo   20     16     
20/02/1946  3       Nulo   17     13     
21/02/1946  0       1.6    21     14     
22/02/1946  0       2.4    28     15     
23/02/1946  0       5.2    30     16     
24/02/1946  25      Nulo   28     15     
25/02/1946  0       4.8    31     11     
26/02/1946  0       5.2    31     16     
27/02/1946  0       6.2    31     18     
28/02/1946  0       5.8    30     19     
01/03/1946  0       3.9    31     21     
02/03/1946  0       3      30     21     
03/03/1946  0       2.4    31     21     
04/03/1946  0       3.9    29     14     
05/03/1946  0       4.2    31     14     
06/03/1946  0       4.2    30     15     
07/03/1946  22      5      30     16     
08/03/1946  0       4.2    31     16     
09/03/1946  23.9    5      30     16     
10/03/1946  12.5    1      23     14     
11/03/1946  3.5     2.4    25     11     
12/03/1946  0       3.8    28     15     
13/03/1946  0       3.8    30     16     
14/03/1946  0       5.6    31     14     
15/03/1946  0       5.9    34     15     
16/03/1946  0       4.2    31     17     
17/03/1946  0       5.1    33     18     
18/03/1946  14      0.8    24     17     
19/03/1946  2       Nulo   27     17     
20/03/1946  0       2.6    27     14     
21/03/1946  0       3      27     14     
22/03/1946  0       Nulo   29     12     
23/03/1946  0       5      28     21     
24/03/1946  0       5.3    33     21     
25/03/1946  0       4      32     18     
