CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30228
NOMBRE    : JALAPA DE ENRIQUEZ I
ESTADO    : VERACRUZ
MUNICIPIO : XALAPA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.518°
LONGITUD  : -96.898°
ALTITUD   : 1365 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/10/1952  1       Nulo   Nulo   Nulo   
02/10/1952  2       Nulo   Nulo   Nulo   
03/10/1952  1.4     Nulo   Nulo   Nulo   
04/10/1952  1.5     Nulo   Nulo   Nulo   
05/10/1952  1.3     Nulo   Nulo   Nulo   
06/10/1952  0       Nulo   Nulo   Nulo   
07/10/1952  0       Nulo   Nulo   Nulo   
08/10/1952  11      Nulo   Nulo   Nulo   
09/10/1952  1       Nulo   Nulo   Nulo   
10/10/1952  0       Nulo   Nulo   Nulo   
11/10/1952  0       Nulo   Nulo   Nulo   
12/10/1952  0       Nulo   Nulo   Nulo   
13/10/1952  0       Nulo   Nulo   Nulo   
14/10/1952  0       Nulo   Nulo   Nulo   
15/10/1952  0       Nulo   Nulo   Nulo   
16/10/1952  0       Nulo   Nulo   Nulo   
17/10/1952  0       Nulo   Nulo   Nulo   
18/10/1952  0       Nulo   Nulo   Nulo   
19/10/1952  0       Nulo   Nulo   Nulo   
20/10/1952  0       Nulo   Nulo   Nulo   
21/10/1952  0       Nulo   Nulo   Nulo   
22/10/1952  0       Nulo   Nulo   Nulo   
23/10/1952  0       Nulo   Nulo   Nulo   
24/10/1952  0       Nulo   Nulo   Nulo   
25/10/1952  0       Nulo   Nulo   Nulo   
26/10/1952  0.4     Nulo   Nulo   Nulo   
27/10/1952  0       Nulo   Nulo   Nulo   
28/10/1952  0       Nulo   Nulo   Nulo   
29/10/1952  0       Nulo   Nulo   Nulo   
30/10/1952  4       Nulo   Nulo   Nulo   
31/10/1952  5.9     Nulo   Nulo   Nulo   
01/11/1952  0       Nulo   Nulo   Nulo   
02/11/1952  0       Nulo   Nulo   Nulo   
03/11/1952  8       Nulo   Nulo   Nulo   
04/11/1952  39.5    Nulo   Nulo   Nulo   
05/11/1952  52.8    Nulo   Nulo   Nulo   
06/11/1952  35.3    Nulo   Nulo   Nulo   
07/11/1952  7.8     Nulo   Nulo   Nulo   
08/11/1952  0       Nulo   Nulo   Nulo   
09/11/1952  0       Nulo   Nulo   Nulo   
10/11/1952  5.8     Nulo   Nulo   Nulo   
11/11/1952  2.8     Nulo   Nulo   Nulo   
12/11/1952  0.8     Nulo   Nulo   Nulo   
13/11/1952  0.3     Nulo   Nulo   Nulo   
14/11/1952  0.2     Nulo   Nulo   Nulo   
15/11/1952  0       Nulo   Nulo   Nulo   
16/11/1952  0       Nulo   Nulo   Nulo   
17/11/1952  0       Nulo   Nulo   Nulo   
18/11/1952  0       Nulo   Nulo   Nulo   
19/11/1952  15.2    Nulo   Nulo   Nulo   
20/11/1952  10      Nulo   Nulo   Nulo   
21/11/1952  1.8     Nulo   Nulo   Nulo   
