CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30267
NOMBRE    : LA CONCEPCION
ESTADO    : VERACRUZ
MUNICIPIO : JILOTEPEC
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.605°
LONGITUD  : -96.9°
ALTITUD   : 1000 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
24/06/1974  10      Nulo   Nulo   Nulo   
25/06/1974  0       0.8    Nulo   Nulo   
26/06/1974  0       2.1    25     16     
27/06/1974  0       3.6    25     14     
28/06/1974  0       2.3    23     15     
29/06/1974  0       3.9    25     16     
30/06/1974  9       3.9    26     17     
01/07/1974  25.8    4.1    25     16     
02/07/1974  7       4.3    22     11     
03/07/1974  50.5    4.2    24     17     
04/07/1974  40.3    4.4    23     17     
05/07/1974  14      4.1    18     16     
06/07/1974  8       2.8    22     15     
07/07/1974  0       4.5    24     15     
08/07/1974  20.6    4.9    22     15     
09/07/1974  0       3.1    23     15     
10/07/1974  0       2      24     15     
11/07/1974  0       3.8    25     16     
12/07/1974  20.8    3.2    24     16     
13/07/1974  8       5.3    24     15     
14/07/1974  0       7.3    26     15     
15/07/1974  7       6.6    23     15     
16/07/1974  39      1.9    24     15     
17/07/1974  3.3     4.6    23     16     
18/07/1974  0       2.3    23.5   15     
19/07/1974  6       6.8    26     14.5   
20/07/1974  3.2     3.8    25     15     
21/07/1974  1.3     5.7    25     16     
22/07/1974  3       6.4    25     15     
23/07/1974  0       6.8    26     15     
24/07/1974  14      2.8    26     16     
25/07/1974  1.5     2.4    25     15     
26/07/1974  0       7      26     16     
27/07/1974  0       5.4    26     16     
28/07/1974  0       5.7    26     15     
29/07/1974  0       4.4    26     15     
30/07/1974  0       5.3    26     17     
31/07/1974  0       3.7    25     17     
01/08/1974  0       8.6    26     17     
02/08/1974  0       1.5    27     16     
03/08/1974  0       5.8    27     16     
04/08/1974  0       3.5    28     16     
05/08/1974  0       5.7    26     16     
06/08/1974  0       5.2    27     17     
07/08/1974  0       4.9    27     16     
08/08/1974  0       5.8    27.5   16     
09/08/1974  0       4.8    28     16.5   
10/08/1974  0       2.2    28.5   17     
11/08/1974  0       3.5    23     17.5   
12/08/1974  0       4.9    28     16     
13/08/1974  0       2.1    28     16     
14/08/1974  0       5.9    28     16     
15/08/1974  0       5      27     16     
16/08/1974  6       8.2    27     17     
17/08/1974  7.6     2.7    26     16     
18/08/1974  0       4.4    27.5   15     
19/08/1974  0       7.4    27     16.5   
20/08/1974  0       7.3    27     15     
21/08/1974  0       4.7    27     15     
22/08/1974  0       7.4    27     16     
23/08/1974  0       5.1    27     15     
24/08/1974  8.2     3.5    28     16     
25/08/1974  6       8.7    27     15     
26/08/1974  0       7.1    28     17     
27/08/1974  0       1.7    28     17     
28/08/1974  20      2.5    27     16     
29/08/1974  6.7     3.2    28     15     
30/08/1974  0       3.3    25     16     
31/08/1974  6       0.5    25     17     
01/09/1974  2.2     3.2    25     17     
02/09/1974  0       4.3    27     16     
03/09/1974  1.1     6.2    28     16     
04/09/1974  0       3.1    26     19     
05/09/1974  9       4      24     17     
06/09/1974  0       6.6    25     16     
07/09/1974  0       5.7    26     15     
08/09/1974  0       3      26     14     
09/09/1974  0       2      26     14     
10/09/1974  0       3.7    27     15     
11/09/1974  5.2     1      27     16     
12/09/1974  0       3.7    27     17     
13/09/1974  5.2     2.4    28     17     
14/09/1974  0       9.1    27.5   16     
15/09/1974  8.4     1.9    23     15     
16/09/1974  38.3    4.9    25     16     
17/09/1974  0       2.9    25     16     
18/09/1974  0       4.2    26     16.5   
19/09/1974  19.5    5.8    22     17     
20/09/1974  287     Nulo   25     17     
21/09/1974  91.5    2.5    19     16     
22/09/1974  200     Nulo   20     17     
23/09/1974  6       2.7    27     17     
24/09/1974  0       5      25     11     
25/09/1974  20.6    2.6    26     17     
26/09/1974  80      2.1    25     17     
27/09/1974  0       5.9    25     17.5   
28/09/1974  0       3.1    28     16     
29/09/1974  8.3     5.1    24     18     
30/09/1974  7.3     3.3    22     17     
01/10/1974  4       6.8    20     16     
02/10/1974  2.7     3.1    19     15     
03/10/1974  0       4.4    21     15     
04/10/1974  0       1      23     13     
05/10/1974  0       1.9    24     13     
06/10/1974  0       5.9    23     13     
07/10/1974  0       3.8    23     12     
08/10/1974  0       6.4    21     16     
09/10/1974  0       2.6    22     13     
10/10/1974  0       3.4    23     12     
11/10/1974  0       3.6    25     12     
12/10/1974  0       3.8    25     12     
13/10/1974  7       9      25     16.5   
14/10/1974  0       4      25     15     
15/10/1974  1.1     4.4    27     15     
16/10/1974  0       2.4    22     15     
17/10/1974  1.5     1.3    20     14     
18/10/1974  0       2.3    20     13     
19/10/1974  0       3.2    22     12     
20/10/1974  0       2      22     11     
21/10/1974  0       0.9    22     11     
22/10/1974  0       1.9    22     13     
23/10/1974  0       4.1    25     14     
24/10/1974  9       3.8    24     15     
25/10/1974  0       2.5    23     14     
26/10/1974  0       3.2    24     14     
27/10/1974  30.8    2.5    25     14     
28/10/1974  0       4.2    22     13     
29/10/1974  0       5.7    22     15     
30/10/1974  0       2.3    25     15     
31/10/1974  0       2.9    24     15     
01/11/1974  5.7     3.7    25     16     
02/11/1974  0       2.8    23     15     
03/11/1974  0       3.8    23     15     
04/11/1974  0       2.9    25     14     
05/11/1974  8.2     1.4    22     16     
06/11/1974  0       0.6    22     14     
07/11/1974  3.6     1.8    22     15     
08/11/1974  0       2.3    23     14     
09/11/1974  3.7     0.6    23     14     
10/11/1974  1.6     3.4    22     16     
