CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30268
NOMBRE    : LA POTOSINA
ESTADO    : VERACRUZ
MUNICIPIO : PANUCO
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 022.324°
LONGITUD  : -98.148°
ALTITUD   : 2 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
30/03/1974  0       Nulo   32.5   18     
31/03/1974  0       Nulo   32.5   20.5   
01/04/1974  0       8.6    41.5   19     
02/04/1974  0       7.4    35.5   18     
03/04/1974  0       7.4    41.5   16.5   
04/04/1974  0       8.8    32     19.5   
05/04/1974  0       5.4    27.5   15     
06/04/1974  0       5.7    25     12.5   
07/04/1974  0       5.7    27     13.5   
08/04/1974  0       7.1    31     19     
09/04/1974  0       2.9    25.5   19     
10/04/1974  0       5.2    28     20.5   
11/04/1974  0       4.9    32     22     
12/04/1974  0       4.8    35.5   21.5   
13/04/1974  0       9.7    32.5   23     
14/04/1974  7       9.1    31     22     
15/04/1974  2       4      25     15     
16/04/1974  0       0.5    21.5   15.5   
17/04/1974  0       4.1    28     17     
18/04/1974  0       3.3    29     18     
19/04/1974  1       3.1    29.5   21     
20/04/1974  0       1.5    30     21.5   
21/04/1974  0       2.1    33     21     
22/04/1974  0       5.9    33     22     
23/04/1974  0       4.1    32.5   23     
24/04/1974  0       6.8    32     22.5   
25/04/1974  0       6.7    31.5   20.5   
26/04/1974  0       5.4    29.5   21     
27/04/1974  0       4      29     20.5   
28/04/1974  0       4.6    34.5   18     
29/04/1974  0       2.9    30     21.5   
30/04/1974  0       2.9    28.5   22     
01/05/1974  0       4.5    31     22.5   
02/05/1974  0       6.2    31.5   23.5   
03/05/1974  0       5.9    32.5   23     
04/05/1974  0       4.3    29.5   23.5   
05/05/1974  8       5      33     23.5   
06/05/1974  0       1.5    25     21.5   
07/05/1974  0       2.7    29     22     
08/05/1974  0       6.5    31.5   21.5   
09/05/1974  0       6.5    32     23.5   
10/05/1974  0       6.5    31     24     
11/05/1974  0       7.8    41.5   20     
12/05/1974  0       4.8    34     22     
13/05/1974  0       6.3    34     22     
