CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30294
NOMBRE    : SONTECOMAPAN
ESTADO    : VERACRUZ
MUNICIPIO : CATEMACO
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.504°
LONGITUD  : -95.036°
ALTITUD   : 11 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/12/1975  Nulo    3.6    Nulo   Nulo   
02/12/1975  0.5     2.1    Nulo   Nulo   
03/12/1975  0.2     3.2    26.5   19     
04/12/1975  0.1     0.9    27     18     
05/12/1975  0.1     0.2    27     18     
06/12/1975  1.5     3.3    27     17.5   
07/12/1975  24      5      25.5   20     
08/12/1975  16.1    5.3    24.5   18.5   
09/12/1975  35      4.9    25.5   16.5   
10/12/1975  9       5.6    24.5   18.5   
11/12/1975  0.1     2.6    24.5   18     
12/12/1975  21      3.7    21     16.5   
13/12/1975  22      2.2    24     17     
14/12/1975  0.1     2.4    31     18     
15/12/1975  0       1.6    27.5   17     
16/12/1975  0.1     1.3    26.5   16     
17/12/1975  9.2     0.5    26.5   18     
18/12/1975  9.9     5.2    25.5   20     
19/12/1975  0.1     4.8    25     16.5   
20/12/1975  59.5    0.6    26.5   12     
21/12/1975  47      2.8    21.5   13.5   
22/12/1975  0.2     5      22     12     
23/12/1975  0       4.3    24.5   15     
24/12/1975  0       5.8    26.5   16     
25/12/1975  27.6    2.8    25.5   18.5   
26/12/1975  10.2    3.8    18.5   17     
27/12/1975  12      4.2    21     17     
28/12/1975  0       2.7    27.5   17.5   
29/12/1975  2.1     2      29.5   18     
30/12/1975  0.1     2.7    20.5   19     
31/12/1975  0.2     2      26.5   17.5   
01/01/1976  3       1      30     12     
02/01/1976  1       2.6    32     17     
03/01/1976  23      0.5    29     18     
04/01/1976  3       0.3    21     16     
05/01/1976  4       5.4    25     16     
06/01/1976  0.2     2.5    23.5   17     
07/01/1976  16      3      25     16     
08/01/1976  54.5    2.1    17.6   17     
09/01/1976  39.1    0.8    17.5   15.5   
10/01/1976  0.3     1.5    21     15.5   
11/01/1976  19.7    0.2    23     15.5   
12/01/1976  0.1     1.7    25     17     
13/01/1976  0.2     2.3    25.5   19     
14/01/1976  106.8   Nulo   29     19     
15/01/1976  191.5   Nulo   25     14     
16/01/1976  26      1      27.5   13.5   
17/01/1976  6       1.9    28     13     
18/01/1976  1.2     3.1    27     10     
19/01/1976  0.8     1.6    27     10     
20/01/1976  4.6     4.1    20.5   11.5   
21/01/1976  21      0.9    19.5   16.5   
22/01/1976  1.1     0.7    22.5   17     
23/01/1976  0       2      22.5   16     
24/01/1976  0.1     3.6    24.5   13     
25/01/1976  0.2     3.8    30     15     
26/01/1976  70.2    8      24.5   13     
27/01/1976  11      4.8    19.5   16     
28/01/1976  11.2    0.8    18.5   14.5   
29/01/1976  17.5    1.6    17     15     
30/01/1976  15      4.2    23     14.5   
