CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30338
NOMBRE    : ACATLAN
ESTADO    : VERACRUZ
MUNICIPIO : ACATLAN
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.696°
LONGITUD  : -96.844°
ALTITUD   : 1751 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
02/09/1979  10      Nulo   Nulo   Nulo   
03/09/1979  4.7     3      19.6   10.5   
04/09/1979  0.5     2.4    20     12     
05/09/1979  0.5     3.5    16.1   14     
06/09/1979  40      6.5    16     15     
07/09/1979  10      5.1    18     15     
08/09/1979  16.2    3.6    21     14     
09/09/1979  2.5     4.7    19     15     
10/09/1979  8.5     4.4    19     12     
11/09/1979  1       2.9    20     13     
12/09/1979  0       3      19.5   14     
13/09/1979  0       3      20     14.5   
14/09/1979  0       3      18.5   14     
15/09/1979  48.5    6      16     13     
16/09/1979  15      2.5    21     14     
17/09/1979  84.5    3.7    21.5   13.5   
18/09/1979  16.5    4.1    23.5   14.5   
19/09/1979  2.5     1.9    16.5   13.5   
20/09/1979  1.5     1.3    21     14     
21/09/1979  0       3.4    20     13     
22/09/1979  0       2      19     13     
23/09/1979  0       3      17.5   12.5   
24/09/1979  0       2.1    17.5   12.5   
25/09/1979  0       2.2    16.5   12     
26/09/1979  0       2.8    17     12     
27/09/1979  0       1.1    19     12     
28/09/1979  0       1.2    20     10     
29/09/1979  0       1.9    20     10     
30/09/1979  0       1.9    18     8      
01/10/1979  3       1.8    20     14     
02/10/1979  0       2.9    21     8      
03/10/1979  0       4.6    20     8      
04/10/1979  3.5     6.1    20     11     
05/10/1979  0       2.7    19     12     
06/10/1979  0       4.2    23     7      
07/10/1979  0       3.1    21     7.5    
08/10/1979  0       2.7    21     7      
09/10/1979  0       4      22     9      
10/10/1979  1       6.6    18     5      
11/10/1979  0       3.3    21.5   11     
12/10/1979  0       2.9    24     7      
13/10/1979  0       2.9    24     7      
14/10/1979  4       3.1    20     7      
15/10/1979  0       1.9    24.5   12.5   
16/10/1979  0       3.1    22     8      
17/10/1979  0       3.2    22     10.5   
18/10/1979  0       4.8    20     10     
19/10/1979  0       3      22     7      
20/10/1979  0       2.1    22     9      
21/10/1979  0       2      23     10     
22/10/1979  44      2.8    23     12     
23/10/1979  0       3.9    15.5   12     
