CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30350
NOMBRE    : CITLALTEPETL
ESTADO    : VERACRUZ
MUNICIPIO : CITLALTEPETL
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.329°
LONGITUD  : -97.877°
ALTITUD   : 220 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
13/08/1980  Nulo    Nulo   30     Nulo   
14/08/1980  5.2     3.5    31     23     
15/08/1980  0       6      33.5   23     
16/08/1980  0       5.5    34.5   24     
17/08/1980  0.5     4      34.5   25     
18/08/1980  1.3     2.2    32.5   25     
19/08/1980  13.7    1.2    28.5   25     
20/08/1980  0.2     3.7    32     24     
21/08/1980  0       4.6    33     24     
22/08/1980  0       2      32     24     
23/08/1980  0       Nulo   32.5   23     
24/08/1980  4.2     2.9    33.5   22.5   
25/08/1980  0.4     3.8    33.5   22.5   
26/08/1980  0       3.5    34.5   23     
27/08/1980  2.5     4.2    34.5   22.5   
28/08/1980  0       5.1    34.5   22.5   
29/08/1980  0       4.1    34     23.5   
30/08/1980  0       3.7    33     23.5   
31/08/1980  4.5     6.4    33.5   24.5   
01/09/1980  0       Nulo   30     24.5   
02/09/1980  0       2.6    32     22.5   
03/09/1980  0       1.1    27.5   21.5   
04/09/1980  0       1.3    30     21     
05/09/1980  0       3      31     23     
06/09/1980  0       3      32.5   22.5   
07/09/1980  0       3      33     21.5   
08/09/1980  0       3      34     22     
09/09/1980  0       1.7    31     23.5   
10/09/1980  0       2.4    30     23.5   
11/09/1980  0       1.1    28     22     
12/09/1980  0       1.1    30     21     
13/09/1980  22.5    1.1    32     22     
14/09/1980  0       1.1    30     22.5   
15/09/1980  0       2.2    30.5   22     
16/09/1980  0       2.2    33     22     
17/09/1980  0       Nulo   34     22     
18/09/1980  0       Nulo   34.5   23     
19/09/1980  0       3.4    30     23     
20/09/1980  0       Nulo   28     22     
21/09/1980  0       Nulo   32     22     
22/09/1980  0       2.7    32     23.5   
23/09/1980  0       2      28.5   22.5   
24/09/1980  0       Nulo   28.5   22.5   
25/09/1980  0       1.2    27     23     
26/09/1980  0       2.2    28     23     
27/09/1980  0       4.6    30     23     
28/09/1980  0       2.6    30     23.5   
29/09/1980  0       Nulo   31     24     
30/09/1980  0       3.8    Nulo   22     
01/10/1980  0       2      32     22.5   
02/10/1980  0       4.1    31     22     
03/10/1980  0       1.6    29     20.5   
04/10/1980  0       Nulo   30     22     
05/10/1980  0       5.3    30.5   20.5   
06/10/1980  0       3.4    30     21     
07/10/1980  0       1.4    27     20     
08/10/1980  0       Nulo   29     18.5   
09/10/1980  0       Nulo   30.5   18.5   
10/10/1980  0       Nulo   30     18.5   
11/10/1980  0       Nulo   30.5   20.5   
12/10/1980  0       Nulo   32     21     
13/10/1980  0       Nulo   32     21     
14/10/1980  0       Nulo   32     20     
15/10/1980  0       Nulo   31.5   21     
16/10/1980  0       Nulo   33     23     
17/10/1980  0       Nulo   33.5   23.5   
18/10/1980  0       Nulo   33.5   23.5   
19/10/1980  0       3      30     23.5   
20/10/1980  0       2.9    19     18     
21/10/1980  0       1.4    20.5   16     
22/10/1980  0       1.4    25.5   17.5   
23/10/1980  0       1.4    26.5   18.5   
24/10/1980  0       3.9    27     21     
25/10/1980  0       2.6    20     16     
26/10/1980  0       2.6    28     20     
27/10/1980  0       2.6    34     20     
28/10/1980  0       4.1    34     21.5   
29/10/1980  0       1      12.5   12     
30/10/1980  0       1      14     9      
31/10/1980  0       1      21     10.5   
01/11/1980  0       2.4    27     13.5   
02/11/1980  0       1      25     17     
03/11/1980  0       1.5    25.5   19     
04/11/1980  0       2.7    26.5   20     
05/11/1980  0       Nulo   25.5   20.5   
06/11/1980  0       0.6    25     18.5   
07/11/1980  0       2.6    29     11.5   
08/11/1980  0       2.9    31     17.5   
09/11/1980  0       2.4    31     17.5   
10/11/1980  0       2.7    28.5   17.5   
11/11/1980  0       Nulo   29     17.5   
12/11/1980  0       3.4    28.5   17.5   
13/11/1980  0       3.8    30.5   19     
14/11/1980  0       2.1    30.5   17     
15/11/1980  0       2      30.5   19     
16/11/1980  0       0.9    23.5   18.5   
17/11/1980  0       0.6    13     11     
18/11/1980  0       0.4    11     10     
19/11/1980  0       0.3    13.5   9.5    
20/11/1980  0       0.5    16     10     
21/11/1980  0       0.9    15     12     
22/11/1980  0       0.9    27     12     
23/11/1980  0       0.5    20     15     
24/11/1980  0       1.5    20     16.5   
25/11/1980  0       0.5    17.5   12.5   
26/11/1980  0       0.8    12     10.5   
27/11/1980  0       0.8    16.5   9      
28/11/1980  0       0.8    18     10     
29/11/1980  0       0.2    21     12     
30/11/1980  0       0.2    Nulo   13.5   
01/12/1980  0       2.3    21     17     
02/12/1980  0       2      24     17     
03/12/1980  0       0.3    20.5   19     
04/12/1980  0       0.6    22     18.5   
05/12/1980  0       0.6    24     18     
06/12/1980  3.5     0.6    26     19     
07/12/1980  0       0.6    24     20     
08/12/1980  0       0.6    27     20.5   
09/12/1980  0       1.4    24.5   20     
10/12/1980  0       0.8    13.5   13     
11/12/1980  0       0.8    17     10.5   
12/12/1980  0       1.9    19     12     
13/12/1980  0       0.6    24     14.5   
14/12/1980  0       0.2    21     17.5   
15/12/1980  0       0.2    26     16     
16/12/1980  0       0.2    26     16     
17/12/1980  0       0.2    29     16.5   
18/12/1980  0       0.2    27.5   14     
19/12/1980  0       1.6    28     13     
20/12/1980  0       0      13     12     
21/12/1980  0       0.2    13.5   8      
22/12/1980  0       Nulo   18.5   9      
23/12/1980  0       Nulo   21.5   12.5   
24/12/1980  0       Nulo   23.5   4      
25/12/1980  0       Nulo   14     12.5   
26/12/1980  0       Nulo   26     11     
27/12/1980  0       Nulo   26.5   12     
28/12/1980  0       Nulo   26.5   12     
29/12/1980  0       Nulo   27     12.5   
30/12/1980  0       Nulo   18.5   14     
31/12/1980  0       Nulo   24     11.5   
01/01/1981  0       0.3    24.5   11.5   
02/01/1981  0       2      23     12     
03/01/1981  0       1.9    25.5   12.5   
04/01/1981  0       1.2    22.5   14     
05/01/1981  0       0.9    22.5   15.5   
06/01/1981  0       1.1    23     16.5   
07/01/1981  0       0.5    19     15     
08/01/1981  0       0.5    21     14.5   
09/01/1981  0       0.8    20.5   15     
10/01/1981  0       0.9    16     14     
11/01/1981  0       Nulo   15     14     
12/01/1981  0       1.6    12.5   12     
13/01/1981  0       1.6    16     10.5   
14/01/1981  0       0.4    19.5   11     
15/01/1981  0       1.3    18.5   14.5   
16/01/1981  0       2.2    15     14     
17/01/1981  0       0.4    11.5   11.5   
18/01/1981  0       1.1    12     9      
19/01/1981  0       4      16.5   9      
20/01/1981  0       4      17.5   9.5    
21/01/1981  0       1.2    15.5   9.5    
22/01/1981  0       2.8    13     12     
23/01/1981  0       0.2    20     8.5    
24/01/1981  0       Nulo   25.5   9      
25/01/1981  0       Nulo   26.5   10     
26/01/1981  0       Nulo   26.5   11.5   
27/01/1981  0       Nulo   26     14.5   
28/01/1981  0       Nulo   27.5   16.5   
29/01/1981  0       Nulo   27.5   14.5   
30/01/1981  0       Nulo   24.5   15.5   
31/01/1981  0       Nulo   27.5   15.5   
01/02/1981  0       1.2    25     15.5   
02/02/1981  0       4.2    16     15.5   
03/02/1981  0       7.4    14.5   12     
04/02/1981  0       7.4    21     12.5   
05/02/1981  0       7.4    22     14     
06/02/1981  0       1.1    22     16.5   
07/02/1981  0       1.1    26     15     
08/02/1981  0       1.1    23     15.5   
09/02/1981  0       1.1    28     18.5   
10/02/1981  0       1.1    31.5   18.5   
11/02/1981  0       2.5    13     12.5   
12/02/1981  0       1.8    13     7.5    
13/02/1981  0       1.1    14.5   8.5    
14/02/1981  0       1      12.5   11     
15/02/1981  0       1      18     11     
16/02/1981  0       0.1    18.5   11.5   
17/02/1981  0       0.1    22     14.5   
18/02/1981  0       0.1    25     16     
19/02/1981  0       0.1    26     12.5   
20/02/1981  0       0.1    27     13     
21/02/1981  2.7     0.1    29     16.5   
22/02/1981  0       1      20.5   18.5   
23/02/1981  0       1      21     13.5   
24/02/1981  0       1      24     13.5   
25/02/1981  0       2      26.5   15.5   
26/02/1981  0       2      27     17.5   
27/02/1981  0       2      26.5   18     
