CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30351
NOMBRE    : COATZINTLA
ESTADO    : VERACRUZ
MUNICIPIO : COATZINTLA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.489°
LONGITUD  : -97.487°
ALTITUD   : 71 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1980  0       Nulo   32     10.5   
02/02/1980  0       Nulo   31     12     
03/02/1980  0       Nulo   32     10     
04/02/1980  0       Nulo   31     12     
05/02/1980  0       Nulo   28     10     
06/02/1980  0       Nulo   24     9.5    
07/02/1980  0       Nulo   25     13.5   
08/02/1980  0       Nulo   24     13     
09/02/1980  4.6     Nulo   28.5   13.5   
10/02/1980  0       Nulo   25     9.5    
11/02/1980  2       Nulo   29.5   7.5    
12/02/1980  1.5     Nulo   17.5   9      
13/02/1980  0       Nulo   32     10     
14/02/1980  0       Nulo   25.5   12.5   
15/02/1980  0       Nulo   35.5   15.5   
16/02/1980  3.5     Nulo   35.5   13.5   
17/02/1980  4       Nulo   28     11     
18/02/1980  0       Nulo   21.5   9.5    
19/02/1980  0       Nulo   31     10     
20/02/1980  0       Nulo   32     11.5   
21/02/1980  0       Nulo   33     12.5   
22/02/1980  0       Nulo   21.5   15.5   
23/02/1980  0       Nulo   29.5   11.5   
24/02/1980  0       Nulo   31     11.5   
25/02/1980  0       Nulo   24     12     
26/02/1980  0       Nulo   26.5   9      
27/02/1980  0       Nulo   20     14.5   
28/02/1980  0       Nulo   26.5   14.5   
29/02/1980  0       Nulo   Nulo   15     
01/03/1980  4.7     Nulo   24.5   12     
02/03/1980  0       Nulo   28.5   4.5    
03/03/1980  0       Nulo   16.5   0      
04/03/1980  0       Nulo   24.5   9      
05/03/1980  0       Nulo   28.5   9      
06/03/1980  0       Nulo   26     10.5   
07/03/1980  0       Nulo   32.5   10     
08/03/1980  1       Nulo   29.5   9.5    
09/03/1980  0.3     Nulo   32     10.5   
10/03/1980  0       Nulo   27     12.5   
11/03/1980  0       Nulo   30     20.5   
12/03/1980  0       Nulo   37.5   20     
13/03/1980  0       Nulo   30     19     
14/03/1980  0       Nulo   23.5   17.5   
15/03/1980  0       Nulo   27.5   18.5   
16/03/1980  0       Nulo   32     19.5   
17/03/1980  2.3     Nulo   32     19     
18/03/1980  0       Nulo   25     9      
19/03/1980  0       Nulo   29     9      
20/03/1980  0       Nulo   35     10     
21/03/1980  0.5     Nulo   31     18     
22/03/1980  0       Nulo   27.5   9      
23/03/1980  0       Nulo   34     11.5   
24/03/1980  0       Nulo   29.5   20     
25/03/1980  0.6     Nulo   23.5   21     
26/03/1980  0       Nulo   31.5   20.5   
27/03/1980  0       Nulo   32     20     
28/03/1980  0       Nulo   35     21     
29/03/1980  0       Nulo   35     18     
30/03/1980  0       Nulo   28     22     
31/03/1980  0       Nulo   27.5   20     
01/04/1980  0       Nulo   34     17.5   
02/04/1980  0       Nulo   36.5   20     
03/04/1980  1.5     Nulo   36.5   20     
04/04/1980  0       Nulo   28.5   22.5   
05/04/1980  4.9     Nulo   21     19     
06/04/1980  0       Nulo   31.5   19     
07/04/1980  0       Nulo   34     20     
08/04/1980  23.5    Nulo   31     21.5   
09/04/1980  0       Nulo   31.5   17     
