CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 30368
NOMBRE    : CUAUHTAMINGO (CFE)
ESTADO    : VERACRUZ
MUNICIPIO : JALACINGO
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 019.748°
LONGITUD  : -97.314°
ALTITUD   : 2130 msnm

EMISIÓN   : 01/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
03/09/1982  4       3      20.5   10     
04/09/1982  0.4     2.3    19.5   9.5    
05/09/1982  9.5     0.7    18.5   9.5    
06/09/1982  4.5     3      19     8.5    
07/09/1982  16.5    0.2    17.5   9      
08/09/1982  9.5     1.8    12     10     
09/09/1982  0       3.1    19     3.5    
10/09/1982  0       4.5    19.5   10     
11/09/1982  0       7.6    23.5   12     
12/09/1982  0       3.2    23.5   13     
13/09/1982  0       3.5    20.5   12     
14/09/1982  0       0.3    20     9.5    
15/09/1982  21.6    2.7    17.5   8      
16/09/1982  17.3    4.2    19     8      
17/09/1982  8.9     4.3    15.5   8      
18/09/1982  8.2     0.9    15     8.5    
19/09/1982  8.5     4      15     8      
20/09/1982  5       0.5    16     10.5   
21/09/1982  5.3     1.7    14     11     
22/09/1982  4.2     3.5    14     12     
23/09/1982  8.5     1.4    12     10     
24/09/1982  5.3     0.8    17     9.5    
25/09/1982  0       0.6    16.5   10     
26/09/1982  0       4.3    19     8      
27/09/1982  0       6.1    22     11     
28/09/1982  0       6.2    22     11     
29/09/1982  0       4      22.5   8      
30/09/1982  0       1.5    19.5   7      
01/10/1982  0       2      18     11     
02/10/1982  0       2.4    20     9      
03/10/1982  0.5     1.7    18.5   10.5   
04/10/1982  0       0.1    16.5   11.5   
05/10/1982  0       2.4    19     10     
06/10/1982  0       1.4    19.5   12     
07/10/1982  0       0.9    20     12.5   
08/10/1982  0       1.2    25.5   11.5   
09/10/1982  0       3.7    22     13     
10/10/1982  0       1      17.5   12     
11/10/1982  2.5     0.3    17     11     
12/10/1982  0       2.2    20.5   11     
13/10/1982  3.5     1.2    19     11     
14/10/1982  9.3     3.4    13     9      
15/10/1982  8       1.4    13     9      
16/10/1982  10.3    1.4    12     10.5   
17/10/1982  0       0.8    12.5   8.5    
18/10/1982  1       0.4    14     8      
19/10/1982  0       2      15.5   6      
20/10/1982  0       0.6    15     8      
21/10/1982  2       1.1    16     7.5    
22/10/1982  7.7     2.1    14     8      
23/10/1982  14.9    1.2    11     8.5    
24/10/1982  8.7     1.9    14     7.5    
25/10/1982  7.3     0.4    10     8      
26/10/1982  0.3     1.4    14     5      
27/10/1982  0       3.4    12.5   4      
28/10/1982  0       4.7    19.5   6      
29/10/1982  0       2.4    17     8      
30/10/1982  0       2.5    19     6      
31/10/1982  0       3      19     8      
01/11/1982  1.2     1.3    20     9      
02/11/1982  0       5.3    20     11     
03/11/1982  13.8    2.2    20.5   13     
04/11/1982  0.8     0.4    6      3.5    
05/11/1982  0       1      10     3.5    
06/11/1982  0       1.8    13     3      
07/11/1982  0       1.3    14     3      
08/11/1982  0       1.9    14.5   1      
09/11/1982  0       1.2    14     1.5    
10/11/1982  0       2.5    16.5   1.5    
11/11/1982  0       5.2    20     3      
12/11/1982  11.1    2.1    20     7.5    
13/11/1982  0       0.9    10     7.5    
14/11/1982  0       0.9    20     6      
15/11/1982  4.2     0.5    12     7      
16/11/1982  0       3.4    20     5      
17/11/1982  0       5.3    20     11     
18/11/1982  0       4.9    20.5   11     
19/11/1982  0       5.1    20     12     
20/11/1982  0       4      20     11     
21/11/1982  0       2.9    19     10.5   
22/11/1982  0       1.7    18.5   5.5    
23/11/1982  0       4.3    19     8      
24/11/1982  0       1.4    16     6      
25/11/1982  0       2      14     7      
26/11/1982  0       2.4    22.5   9      
27/11/1982  0       2.2    20     12.5   
28/11/1982  0       2.3    20     8      
29/11/1982  0       4.7    20     12     
30/11/1982  0       4.7    20.5   12     
01/12/1982  0       3      20.5   13     
02/12/1982  0       5      23     13     
03/12/1982  0       1.3    19     12.5   
04/12/1982  0       3.8    14     5      
05/12/1982  0       3.7    19     6      
06/12/1982  7.2     0.5    12.5   5      
07/12/1982  1.5     0      11.5   7      
08/12/1982  11.5    0.4    12.5   7.5    
09/12/1982  2       1.6    16     6      
10/12/1982  0       2.3    19     7.5    
11/12/1982  5.3     3.9    20.5   9      
12/12/1982  1.2     0.2    9.5    3.5    
13/12/1982  0       1.9    13     3.5    
14/12/1982  0       1.1    16     3      
15/12/1982  4.8     0.8    16     9      
16/12/1982  0       0.8    10     3.5    
17/12/1982  0       2.7    13.5   3      
18/12/1982  0       4.7    17     3      
19/12/1982  0       5      15     4.5    
20/12/1982  0       1.6    14.5   3.5    
21/12/1982  0       5.3    18.5   3      
22/12/1982  0       4.6    11.5   9      
23/12/1982  0       4.7    20     8      
24/12/1982  0       4.5    24     10.5   
25/12/1982  0       2.2    20     12     
26/12/1982  0       2.5    18.5   10     
27/12/1982  0       7      20.5   12     
28/12/1982  0       4.7    21.5   11     
29/12/1982  3       0.3    15.5   7.5    
30/12/1982  0       3.3    19     5.5    
31/12/1982  0       1.6    20     7      
01/01/1983  0       3.5    17     5      
02/01/1983  0       0.2    8      3.5    
03/01/1983  0       1.7    9      1.5    
04/01/1983  0       1.1    16     2      
05/01/1983  0       0.9    17     7      
06/01/1983  1.5     0.4    12     8      
07/01/1983  0       1      16     5      
08/01/1983  0       2.2    19     8      
09/01/1983  0       2      13     6      
10/01/1983  0       0.7    17     7.5    
11/01/1983  21.8    0.3    11.5   6.5    
12/01/1983  7.3     0.1    7      5      
13/01/1983  0       0.7    12.5   3.5    
14/01/1983  0       0.7    16     3.5    
15/01/1983  2.7     1.6    11     3      
16/01/1983  3       2.3    8      4      
17/01/1983  0       2      14     4.5    
18/01/1983  4.2     2      13     6.5    
19/01/1983  0       5.4    16     6      
20/01/1983  0       4.7    17     8      
21/01/1983  0       5.2    19     7      
22/01/1983  0       0.8    10     3.5    
23/01/1983  0       2.4    16     4.3    
24/01/1983  0       3.4    14     2      
25/01/1983  0       3.5    14     2      
26/01/1983  0       4.1    13     3      
27/01/1983  0       2.4    13     2.5    
28/01/1983  0       4      20.5   3      
29/01/1983  0       2.3    20     11     
30/01/1983  0       4.9    22     8      
31/01/1983  0       6.2    23.5   11     
01/02/1983  0       5.9    20     5      
02/02/1983  0       5.6    17     7      
03/02/1983  0       4.9    16.5   3.5    
04/02/1983  0       6.5    15     5      
05/02/1983  0       6.1    25.5   7      
06/02/1983  0       5.1    16     8.5    
07/02/1983  0       4.9    13     6      
08/02/1983  0       4      13     6      
09/02/1983  0       4.4    20     9      
10/02/1983  0       5.1    17     5      
11/02/1983  5.5     1.8    15     6      
12/02/1983  0.8     0.8    7      4      
13/02/1983  0       2.5    13     2      
14/02/1983  0       6      22     2      
15/02/1983  0       6.4    20     3      
16/02/1983  0       2.8    14.5   2.5    
17/02/1983  0       3.8    17     2      
18/02/1983  0       2.3    13     2      
19/02/1983  0       4      17     3      
20/02/1983  0       5.8    20.5   7.5    
21/02/1983  0       0.7    14.5   6      
22/02/1983  0       1      14     4      
23/02/1983  0       3.4    15.5   5      
24/02/1983  0       3.9    20     5      
25/02/1983  5       1.3    17.5   8      
26/02/1983  0       5.9    17.5   6      
27/02/1983  0       5.5    16.5   2      
28/02/1983  0       6.4    20     5      
01/03/1983  0       6.1    23.5   5      
02/03/1983  0       7.3    25     9.5    
03/03/1983  0       7.4    16     13     
04/03/1983  0       6.5    23     13     
05/03/1983  0       6.7    26.5   13     
06/03/1983  0       6.7    26     12.5   
07/03/1983  0       2.6    26     8      
08/03/1983  0       6.4    20     8.5    
09/03/1983  10.3    2.6    17     8      
10/03/1983  2.3     1.2    13     5.5    
11/03/1983  0.4     1.8    17     3      
12/03/1983  0       3.8    14     7      
13/03/1983  9.1     0.1    14.5   7      
14/03/1983  0       4.6    17     7      
15/03/1983  0       7      23.5   8.5    
16/03/1983  0       7      21.5   11.5   
17/03/1983  0       6.5    17     4      
18/03/1983  0       8      25     5      
19/03/1983  0       8.6    27     14     
20/03/1983  0       2      19     12     
21/03/1983  0.4     0.9    16.5   7      
22/03/1983  0       8.8    26     4      
23/03/1983  0       7.6    25.5   14     
24/03/1983  0.3     7.8    19     9      
25/03/1983  0       8.9    20     8      
26/03/1983  0       7.3    26     13     
27/03/1983  1.5     0.5    15.5   7      
28/03/1983  0.7     2.6    15     4      
29/03/1983  0       6.8    23     5      
30/03/1983  0       6.3    22.5   10.5   
31/03/1983  0       8.6    19     9      
01/04/1983  1.6     5.6    26     11     
02/04/1983  0       5.7    16     4      
03/04/1983  0       6.6    25     4.5    
04/04/1983  0       8.2    26     13     
05/04/1983  0       7.6    28     14     
06/04/1983  0       9.2    26     9      
07/04/1983  0       9.2    26     12     
08/04/1983  0       9.3    25     13     
09/04/1983  1.5     0.2    11     8      
10/04/1983  0       7.6    16.5   6      
