CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 31042
NOMBRE    : VALLADOLID (DGE)
ESTADO    : YUCATAN
MUNICIPIO : VALLADOLID
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.7°
LONGITUD  : -88.217°
ALTITUD   : 22 msnm

EMISIÓN   : 05/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/08/1952  0.1     Nulo   30     27     
02/08/1952  2       Nulo   30     26     
03/08/1952  0       Nulo   32     26     
04/08/1952  0.1     Nulo   32     27     
05/08/1952  48      Nulo   28.5   27     
06/08/1952  0       Nulo   32     24     
07/08/1952  20      Nulo   28     27     
08/08/1952  7       Nulo   28     24     
09/08/1952  9       Nulo   28     24     
10/08/1952  30      Nulo   27     24     
11/08/1952  0       Nulo   32     23     
12/08/1952  14      Nulo   30     26     
13/08/1952  0.1     Nulo   31     25     
14/08/1952  0.1     Nulo   31     26     
15/08/1952  10      Nulo   30     26     
16/08/1952  10      Nulo   30     25     
17/08/1952  19      Nulo   30     25     
18/08/1952  22      Nulo   30     26     
19/08/1952  8       Nulo   30     25     
20/08/1952  0       Nulo   32     25     
21/08/1952  23      Nulo   32     27     
22/08/1952  2       Nulo   31     27     
23/08/1952  2       Nulo   31     25     
24/08/1952  0       Nulo   32     25     
25/08/1952  35      Nulo   31     27     
26/08/1952  8       Nulo   32     26     
27/08/1952  0.1     Nulo   32     27     
28/08/1952  23      Nulo   32     27     
29/08/1952  0       Nulo   31     27     
30/08/1952  5       Nulo   32     26     
31/08/1952  0       Nulo   32     27     
01/09/1952  10      Nulo   30     27     
02/09/1952  5       Nulo   30     25     
03/09/1952  6       Nulo   31     25     
04/09/1952  5       Nulo   32     26     
05/09/1952  20      Nulo   31     27     
06/09/1952  17      Nulo   30     26     
07/09/1952  35      Nulo   32     26     
08/09/1952  0       Nulo   33     27     
09/09/1952  106     Nulo   33     28     
10/09/1952  78      Nulo   32     28     
11/09/1952  4       Nulo   31     27     
12/09/1952  11      Nulo   30     26     
13/09/1952  0       Nulo   29     25     
14/09/1952  0       Nulo   31     26     
15/09/1952  0       Nulo   31     26     
16/09/1952  0       Nulo   33     26     
17/09/1952  0       Nulo   33     27     
18/09/1952  4       Nulo   32     27     
19/09/1952  6       Nulo   32     26     
20/09/1952  25      Nulo   31     26     
21/09/1952  5       Nulo   30     26     
22/09/1952  24      Nulo   31     25     
23/09/1952  15      Nulo   33     26     
24/09/1952  0       Nulo   34     27     
25/09/1952  0       Nulo   36     28     
26/09/1952  12      Nulo   36.5   23     
27/09/1952  2       Nulo   36.5   23     
28/09/1952  14      Nulo   36     23     
29/09/1952  10      Nulo   36     22.5   
30/09/1952  3       Nulo   35.5   21.5   
01/10/1952  3       Nulo   34.5   22     
02/10/1952  69      Nulo   34     22     
03/10/1952  8       Nulo   33     22     
04/10/1952  3       Nulo   31.5   22     
05/10/1952  0       Nulo   34     22     
06/10/1952  0.1     Nulo   31     23     
07/10/1952  29      Nulo   33     22     
08/10/1952  0.1     Nulo   28     22     
09/10/1952  0       Nulo   26.5   19     
10/10/1952  0       Nulo   25.5   19     
11/10/1952  0       Nulo   27     18.5   
12/10/1952  0       Nulo   28     20     
13/10/1952  39      Nulo   28     21     
14/10/1952  16      Nulo   31     21     
15/10/1952  59      Nulo   35     22     
16/10/1952  15      Nulo   34     21     
17/10/1952  10      Nulo   32     21     
18/10/1952  0.1     Nulo   31     21.5   
19/10/1952  0.1     Nulo   32     22     
20/10/1952  0       Nulo   27.5   21.5   
21/10/1952  0       Nulo   26.5   19.5   
22/10/1952  0       Nulo   26     18     
23/10/1952  0       Nulo   30     16     
24/10/1952  0       Nulo   30     20     
25/10/1952  0       Nulo   29.5   18.5   
26/10/1952  0       Nulo   30     18     
27/10/1952  0       Nulo   30     18.5   
28/10/1952  0.1     Nulo   30.5   18     
29/10/1952  0       Nulo   29     18     
30/10/1952  0       Nulo   30     17     
31/10/1952  0.1     Nulo   29     18     
01/11/1952  14      Nulo   27     18.5   
02/11/1952  7       Nulo   27.5   18     
03/11/1952  0.1     Nulo   27     17.5   
04/11/1952  0       Nulo   26.5   17     
05/11/1952  0       Nulo   28     16.5   
06/11/1952  0       Nulo   30     18     
07/11/1952  0       Nulo   28     18.5   
08/11/1952  0       Nulo   29     16     
09/11/1952  0       Nulo   29.5   16.5   
10/11/1952  0       Nulo   32     16.5   
11/11/1952  25      Nulo   30     19     
12/11/1952  10      Nulo   29     18     
13/11/1952  0       Nulo   30     18     
14/11/1952  0       Nulo   28.5   18.5   
15/11/1952  0       Nulo   29     17     
16/11/1952  0       Nulo   29     17.5   
17/11/1952  0       Nulo   28.5   17     
18/11/1952  0.1     Nulo   28.5   16     
19/11/1952  0.1     Nulo   28     16     
20/11/1952  0       Nulo   27     15.5   
21/11/1952  0       Nulo   27     15     
22/11/1952  0       Nulo   26     14     
23/11/1952  0       Nulo   24.5   13     
24/11/1952  0       Nulo   24.5   11     
25/11/1952  0       Nulo   24     10     
26/11/1952  0       Nulo   23.5   10     
27/11/1952  0       Nulo   23.5   10     
28/11/1952  0       Nulo   25     9.5    
29/11/1952  0       Nulo   26     11     
30/11/1952  0       Nulo   26     11.5   
01/12/1952  0       Nulo   30     11     
02/12/1952  0       Nulo   29     12     
03/12/1952  0       Nulo   29     9      
04/12/1952  0       Nulo   30     10     
05/12/1952  11      Nulo   28.5   11     
06/12/1952  0       Nulo   28     10     
07/12/1952  0       Nulo   27.5   10     
08/12/1952  0       Nulo   27.5   9      
09/12/1952  0       Nulo   28     9      
10/12/1952  15      Nulo   28     9.5    
11/12/1952  0       Nulo   26     9      
12/12/1952  0       Nulo   26     8      
13/12/1952  0       Nulo   25     8      
14/12/1952  0       Nulo   24     7.5    
15/12/1952  0       Nulo   23     7      
16/12/1952  0       Nulo   23     6      
17/12/1952  0       Nulo   20     6      
18/12/1952  0       Nulo   22     5      
19/12/1952  0       Nulo   22     7      
20/12/1952  0       Nulo   25     7      
21/12/1952  0       Nulo   26     9      
22/12/1952  0       Nulo   26     10     
23/12/1952  0       Nulo   24     10     
24/12/1952  6       Nulo   23     8      
25/12/1952  0       Nulo   24     7.5    
26/12/1952  0       Nulo   26     8      
27/12/1952  0       Nulo   26     10     
28/12/1952  0       Nulo   28     10     
29/12/1952  0       Nulo   29     12     
30/12/1952  0       Nulo   29     12     
31/12/1952  0       Nulo   29     11     
01/01/1953  0       Nulo   29     12     
02/01/1953  0       Nulo   28     13     
03/01/1953  0       Nulo   26     11     
04/01/1953  0       Nulo   25     9      
05/01/1953  0       Nulo   25     8      
06/01/1953  0       Nulo   25.5   8      
07/01/1953  0       Nulo   29.5   8.5    
08/01/1953  0       Nulo   29.5   10     
09/01/1953  0.1     Nulo   29     10.5   
10/01/1953  0       Nulo   29     9      
11/01/1953  0       Nulo   27     8.5    
12/01/1953  0       Nulo   27     7.5    
13/01/1953  0       Nulo   26.5   7.5    
14/01/1953  0       Nulo   26     7      
15/01/1953  0       Nulo   28.5   7      
16/01/1953  0       Nulo   29     7.5    
17/01/1953  0       Nulo   30     8      
18/01/1953  12      Nulo   32     8.5    
19/01/1953  0       Nulo   33     10     
20/01/1953  0       Nulo   34     12     
21/01/1953  0.1     Nulo   34     15     
22/01/1953  0       Nulo   34     16     
23/01/1953  0.1     Nulo   33     16     
24/01/1953  0       Nulo   32.5   15     
25/01/1953  0       Nulo   28     14.5   
26/01/1953  0       Nulo   28     12     
27/01/1953  0       Nulo   27.5   10     
28/01/1953  0       Nulo   27.5   9.5    
29/01/1953  0       Nulo   28     10     
30/01/1953  0       Nulo   28     10     
31/01/1953  0       Nulo   27.5   10     
01/02/1953  10      Nulo   33     9.5    
02/02/1953  0       Nulo   30     9.5    
03/02/1953  0       Nulo   30     9      
04/02/1953  0       Nulo   29.5   9.5    
05/02/1953  0       Nulo   29.5   10.5   
06/02/1953  0       Nulo   29.5   10     
07/02/1953  6       Nulo   31     10     
08/02/1953  0       Nulo   32     12     
09/02/1953  0.1     Nulo   32     13     
10/02/1953  0       Nulo   33     13     
11/02/1953  0       Nulo   33     15     
12/02/1953  0       Nulo   33     16     
13/02/1953  0       Nulo   32.5   16     
14/02/1953  3       Nulo   32.5   15     
15/02/1953  0       Nulo   30     15     
16/02/1953  0       Nulo   30     13     
17/02/1953  0       Nulo   29.5   13     
18/02/1953  0       Nulo   30     12.5   
19/02/1953  0       Nulo   30.5   13     
20/02/1953  0       Nulo   30     14     
21/02/1953  0       Nulo   31     14     
22/02/1953  0       Nulo   31.5   14.5   
23/02/1953  0       Nulo   31     14.5   
24/02/1953  0       Nulo   30     14     
25/02/1953  0       Nulo   30.8   14     
26/02/1953  0       Nulo   31     15     
27/02/1953  0       Nulo   30.6   15.4   
28/02/1953  0       Nulo   32     15.2   
01/03/1953  0       Nulo   34.4   20     
02/03/1953  0       Nulo   35     20.8   
03/03/1953  0       Nulo   35.2   20.6   
04/03/1953  0       Nulo   35.6   20.4   
05/03/1953  0       Nulo   35     21     
06/03/1953  0       Nulo   35.8   19.5   
07/03/1953  0       Nulo   36.4   20     
08/03/1953  0       Nulo   36     21.8   
09/03/1953  0       Nulo   34.2   21.2   
10/03/1953  0       Nulo   34.6   20.4   
11/03/1953  0       Nulo   35     20.2   
12/03/1953  0       Nulo   34.4   20     
13/03/1953  0       Nulo   35     20.6   
14/03/1953  0       Nulo   36     19.8   
15/03/1953  0       Nulo   35.8   20     
16/03/1953  0       Nulo   35.4   20.2   
17/03/1953  0       Nulo   36.1   19.4   
18/03/1953  0       Nulo   35.8   19     
19/03/1953  0       Nulo   36.5   19.2   
20/03/1953  0       Nulo   35.8   19.5   
21/03/1953  0       Nulo   36.2   20     
22/03/1953  0       Nulo   35.5   20.8   
23/03/1953  0       Nulo   36     21     
24/03/1953  0       Nulo   35.8   20.2   
25/03/1953  0       Nulo   35.4   20.6   
26/03/1953  0       Nulo   34     19.5   
27/03/1953  0       Nulo   35.3   16.3   
28/03/1953  0       Nulo   34.2   18.2   
29/03/1953  0       Nulo   33.3   16.6   
30/03/1953  0       Nulo   33.8   16.2   
31/03/1953  0       Nulo   35     17.8   
01/04/1953  0       Nulo   35.5   19.6   
02/04/1953  0       Nulo   36.8   20.3   
03/04/1953  0       Nulo   37.4   21.6   
04/04/1953  10      Nulo   36.7   21.8   
05/04/1953  0       Nulo   35.8   21.6   
06/04/1953  0       Nulo   36.7   21.2   
07/04/1953  0       Nulo   38.2   23     
08/04/1953  0       Nulo   39     23.4   
09/04/1953  0       Nulo   37.2   23.8   
10/04/1953  0       Nulo   38.1   22     
11/04/1953  0       Nulo   37.8   23.2   
12/04/1953  0       Nulo   38.7   23     
13/04/1953  0       Nulo   36.3   23.5   
14/04/1953  0       Nulo   35     22.3   
15/04/1953  0       Nulo   36.2   21.5   
16/04/1953  0       Nulo   35.8   22     
17/04/1953  0       Nulo   36.6   21.6   
18/04/1953  0       Nulo   37.3   22.2   
19/04/1953  0       Nulo   38.2   22.5   
20/04/1953  0       Nulo   36.4   23     
21/04/1953  0       Nulo   36.7   21.5   
22/04/1953  0       Nulo   36.3   21.8   
23/04/1953  0       Nulo   37     21.2   
24/04/1953  0       Nulo   37.4   22.6   
25/04/1953  0       Nulo   37.6   22.8   
26/04/1953  56      Nulo   37     23     
27/04/1953  3       Nulo   36.8   21.6   
28/04/1953  0       Nulo   36.3   21.3   
29/04/1953  0       Nulo   36.8   21.7   
30/04/1953  0       Nulo   37.2   22.4   
01/05/1953  0       Nulo   37.5   23.3   
02/05/1953  0       Nulo   36.8   23.7   
03/05/1953  0       Nulo   36.2   23.3   
04/05/1953  0       Nulo   36     23     
05/05/1953  0.7     Nulo   35     22.7   
06/05/1953  0.6     Nulo   34.8   22     
07/05/1953  0       Nulo   36.3   21     
08/05/1953  0       Nulo   38     21.9   
09/05/1953  0       Nulo   37.2   22.4   
10/05/1953  0       Nulo   37.4   21.8   
11/05/1953  0       Nulo   37.5   22     
12/05/1953  0       Nulo   37.7   22.3   
13/05/1953  0       Nulo   37     22.8   
14/05/1953  0       Nulo   37.3   22.3   
15/05/1953  0       Nulo   36.6   22.5   
16/05/1953  0       Nulo   37.3   22     
17/05/1953  0       Nulo   37     22.6   
18/05/1953  0       Nulo   37.5   22.2   
19/05/1953  0       Nulo   37.2   22.7   
20/05/1953  0       Nulo   38     22.5   
21/05/1953  0       Nulo   38.2   23.2   
22/05/1953  0       Nulo   38.4   23.4   
23/05/1953  0       Nulo   36.5   23.6   
24/05/1953  0.1     Nulo   36     22.7   
25/05/1953  0.6     Nulo   36.5   22.4   
26/05/1953  0       Nulo   35.7   22.6   
27/05/1953  0       Nulo   34.9   22.2   
28/05/1953  0       Nulo   36.7   21.8   
29/05/1953  25      Nulo   34.8   22.5   
30/05/1953  37.8    Nulo   32.8   22     
31/05/1953  0       Nulo   35     21     
01/06/1953  0       Nulo   34.7   23.3   
02/06/1953  5       Nulo   35     23     
03/06/1953  0       Nulo   34.8   23.4   
04/06/1953  0       Nulo   37.2   23     
05/06/1953  0       Nulo   37.5   23.9   
06/06/1953  0       Nulo   35.7   24.2   
07/06/1953  0       Nulo   36     23.3   
08/06/1953  0       Nulo   35.8   23.7   
09/06/1953  17      Nulo   36     23.2   
10/06/1953  28.5    Nulo   35.5   23     
11/06/1953  9       Nulo   35     22.6   
12/06/1953  19.3    Nulo   35.2   22.2   
13/06/1953  12.7    Nulo   36.4   22.5   
14/06/1953  5.5     Nulo   36.5   23     
15/06/1953  0       Nulo   36.9   23.3   
16/06/1953  0       Nulo   36     23.5   
17/06/1953  0       Nulo   35.9   22.7   
18/06/1953  0       Nulo   36.3   22.5   
19/06/1953  0       Nulo   37     22.8   
20/06/1953  0       Nulo   36.6   23.3   
21/06/1953  37      Nulo   33.2   22.9   
22/06/1953  26.4    Nulo   32.8   21.5   
23/06/1953  49.5    Nulo   32     21     
24/06/1953  25      Nulo   33.4   20.8   
25/06/1953  0       Nulo   34     21.5   
26/06/1953  0       Nulo   36.2   22.2   
27/06/1953  0       Nulo   36     23.6   
28/06/1953  5       Nulo   35.2   23.2   
29/06/1953  25      Nulo   33.7   22.4   
30/06/1953  32      Nulo   35.4   20.9   
01/07/1953  0       Nulo   36.2   22.5   
02/07/1953  2       Nulo   34.7   23.2   
03/07/1953  0       Nulo   35.3   22.3   
04/07/1953  11.5    Nulo   35.6   23     
05/07/1953  0       Nulo   34.3   23.2   
06/07/1953  10.5    Nulo   36.2   22.5   
07/07/1953  26      Nulo   34.5   23.7   
08/07/1953  7       Nulo   35.3   22     
09/07/1953  41      Nulo   35.7   22.7   
10/07/1953  0       Nulo   34.2   23     
11/07/1953  0       Nulo   35     22.3   
12/07/1953  17      Nulo   36.2   22.8   
13/07/1953  0       Nulo   36.7   23.4   
14/07/1953  0       Nulo   37.2   23.9   
15/07/1953  0       Nulo   35.3   24     
16/07/1953  0       Nulo   34.8   23.2   
17/07/1953  13.5    Nulo   33.7   22.9   
18/07/1953  10.5    Nulo   33.9   22     
19/07/1953  0       Nulo   34.2   22.3   
20/07/1953  0       Nulo   35     22.9   
21/07/1953  6       Nulo   34.3   23.4   
22/07/1953  5       Nulo   33.8   22.9   
23/07/1953  0.1     Nulo   34     22.2   
24/07/1953  0       Nulo   34.5   23     
25/07/1953  28      Nulo   35     23.5   
26/07/1953  3       Nulo   35.5   23     
27/07/1953  0       Nulo   36     23.5   
28/07/1953  0       Nulo   35.5   24     
29/07/1953  0       Nulo   36.5   23     
30/07/1953  0       Nulo   35     23.5   
31/07/1953  0       Nulo   35.5   23     
01/08/1953  0       Nulo   35     22     
02/08/1953  0       Nulo   34.5   23     
03/08/1953  14      Nulo   34     23     
04/08/1953  0       Nulo   34     22.5   
05/08/1953  0       Nulo   35     22.5   
06/08/1953  5       Nulo   35     23     
07/08/1953  3.5     Nulo   35.5   22.5   
08/08/1953  0       Nulo   35     23     
09/08/1953  0       Nulo   35.5   22.5   
10/08/1953  0       Nulo   36     23.5   
11/08/1953  0       Nulo   35     23     
12/08/1953  0       Nulo   36     22.5   
13/08/1953  0       Nulo   36.5   23.5   
14/08/1953  0       Nulo   36.5   23.5   
15/08/1953  3.5     Nulo   36     23     
16/08/1953  0       Nulo   36.5   22.5   
17/08/1953  6       Nulo   36     23     
18/08/1953  0       Nulo   35.5   22.5   
19/08/1953  2.8     Nulo   35.5   22     
20/08/1953  19      Nulo   34.5   22.5   
21/08/1953  15.5    Nulo   35     22     
22/08/1953  3       Nulo   35.5   22.5   
23/08/1953  0       Nulo   36     23     
24/08/1953  0       Nulo   36     22.5   
25/08/1953  0       Nulo   36.5   22     
26/08/1953  0       Nulo   36     23     
27/08/1953  0       Nulo   35.5   23     
28/08/1953  0       Nulo   36.5   22.5   
29/08/1953  12      Nulo   36     23     
30/08/1953  18.5    Nulo   36.5   22.5   
31/08/1953  0       Nulo   37     23     
01/09/1953  5       Nulo   34.5   23     
02/09/1953  0       Nulo   35.5   22.5   
03/09/1953  0       Nulo   36     23.5   
04/09/1953  0       Nulo   36     23     
05/09/1953  9.2     Nulo   35     22.5   
06/09/1953  0       Nulo   34.5   21.5   
07/09/1953  4.5     Nulo   34     21     
08/09/1953  0.6     Nulo   35     21     
09/09/1953  7       Nulo   36     22     
10/09/1953  0       Nulo   35.5   22.5   
11/09/1953  0       Nulo   36.5   22     
12/09/1953  10      Nulo   37     23     
13/09/1953  1       Nulo   34     23     
14/09/1953  5       Nulo   33.5   22     
15/09/1953  0       Nulo   34     22     
16/09/1953  3       Nulo   33.5   23     
17/09/1953  0       Nulo   33     22.5   
18/09/1953  0       Nulo   35.5   22     
19/09/1953  13.9    Nulo   36.5   23.5   
20/09/1953  0       Nulo   34     24     
21/09/1953  13      Nulo   33.5   22.5   
22/09/1953  18.7    Nulo   34.5   21.5   
23/09/1953  1       Nulo   35     22     
24/09/1953  8       Nulo   33.5   21.5   
25/09/1953  0       Nulo   34     21     
26/09/1953  1       Nulo   34.5   22.5   
27/09/1953  14.5    Nulo   33     23.5   
28/09/1953  19.3    Nulo   33     22.5   
29/09/1953  1.5     Nulo   34     22     
30/09/1953  0       Nulo   34.5   23     
01/10/1953  12      Nulo   32.5   23.5   
02/10/1953  0       Nulo   33.5   22     
03/10/1953  3.4     Nulo   34.5   22.5   
04/10/1953  20      Nulo   33.5   23     
05/10/1953  56.8    Nulo   32     22     
06/10/1953  22.5    Nulo   29.5   21     
07/10/1953  5       Nulo   30.5   20     
08/10/1953  0       Nulo   32     21     
09/10/1953  0       Nulo   30     22.5   
10/10/1953  0       Nulo   34     20     
11/10/1953  0       Nulo   30.5   22     
12/10/1953  0       Nulo   30.5   21.5   
13/10/1953  0       Nulo   32     22     
14/10/1953  0       Nulo   30.5   23     
15/10/1953  3.6     Nulo   31.5   21     
16/10/1953  25.4    Nulo   31     22     
17/10/1953  3       Nulo   32     20.5   
18/10/1953  22.4    Nulo   31     21     
19/10/1953  12.3    Nulo   32.5   21     
20/10/1953  0       Nulo   32     22     
21/10/1953  32.6    Nulo   33     21.5   
22/10/1953  0       Nulo   31.5   22     
23/10/1953  0       Nulo   30.5   20     
24/10/1953  0       Nulo   30     18     
25/10/1953  0       Nulo   30.5   18     
26/10/1953  0       Nulo   30     20     
27/10/1953  0       Nulo   32.5   19.5   
28/10/1953  0       Nulo   31     21     
29/10/1953  0       Nulo   29     20.5   
30/10/1953  0       Nulo   30.5   18     
31/10/1953  0       Nulo   31     19.5   
01/11/1953  0       Nulo   30.5   20.5   
02/11/1953  0       Nulo   33     22     
03/11/1953  0       Nulo   33     22     
04/11/1953  0       Nulo   32.5   21.5   
05/11/1953  0       Nulo   33.5   21     
06/11/1953  0       Nulo   33     22     
07/11/1953  0       Nulo   34.5   20.5   
08/11/1953  0       Nulo   32.5   21     
09/11/1953  1       Nulo   30     19     
10/11/1953  0       Nulo   27.5   17.5   
11/11/1953  0       Nulo   29     15.5   
12/11/1953  2       Nulo   29.5   17     
13/11/1953  1.5     Nulo   30     18     
14/11/1953  0.1     Nulo   31.5   18.5   
15/11/1953  0       Nulo   29.5   20     
16/11/1953  0       Nulo   31     19     
17/11/1953  6       Nulo   32     20.5   
18/11/1953  0       Nulo   32.5   21     
19/11/1953  0       Nulo   32.5   22     
20/11/1953  0       Nulo   33     22.5   
21/11/1953  0       Nulo   34.5   23     
22/11/1953  0       Nulo   34     23.5   
23/11/1953  0       Nulo   34     23     
24/11/1953  2       Nulo   33.5   22.5   
25/11/1953  0       Nulo   29.5   22     
26/11/1953  0       Nulo   28     18     
27/11/1953  0       Nulo   27.5   18     
28/11/1953  0       Nulo   29     14.5   
29/11/1953  0       Nulo   30     18     
30/11/1953  0       Nulo   28.5   19.5   
01/12/1953  0       Nulo   29     17     
02/12/1953  0       Nulo   32     19     
03/12/1953  0       Nulo   32     21     
04/12/1953  0       Nulo   32.5   21.5   
05/12/1953  0       Nulo   33.5   22     
06/12/1953  76.8    Nulo   33     22.5   
07/12/1953  0       Nulo   30.5   22     
08/12/1953  0       Nulo   30     19.5   
09/12/1953  8       Nulo   29     19     
10/12/1953  10.7    Nulo   30     18.5   
11/12/1953  0       Nulo   29     19     
12/12/1953  1.5     Nulo   29     17.5   
13/12/1953  2       Nulo   28     17     
14/12/1953  0       Nulo   24.5   16.5   
15/12/1953  0       Nulo   24     13     
16/12/1953  0       Nulo   26.5   12     
17/12/1953  0       Nulo   26     13.5   
18/12/1953  0       Nulo   27     13     
19/12/1953  0       Nulo   28.5   14.5   
20/12/1953  0       Nulo   30     15.5   
21/12/1953  0       Nulo   32     17     
22/12/1953  0       Nulo   31.5   21.5   
23/12/1953  0.1     Nulo   31     21     
24/12/1953  18.6    Nulo   29.5   20     
25/12/1953  0       Nulo   28     19.5   
26/12/1953  0       Nulo   29     19     
27/12/1953  0       Nulo   30     20     
28/12/1953  0       Nulo   30.5   21     
29/12/1953  0       Nulo   31     21.5   
30/12/1953  0       Nulo   30.5   22     
31/12/1953  0       Nulo   29     21     
01/01/1954  0       Nulo   28.5   20     
02/01/1954  0       Nulo   30     19     
03/01/1954  0       Nulo   29.5   19.5   
04/01/1954  0       Nulo   29     19     
05/01/1954  0       Nulo   28.5   18.5   
06/01/1954  0       Nulo   27     17     
07/01/1954  0       Nulo   28     15     
08/01/1954  0       Nulo   29     15.5   
09/01/1954  0       Nulo   30.5   16     
10/01/1954  0       Nulo   31     16.5   
11/01/1954  0       Nulo   28.5   17.5   
12/01/1954  0       Nulo   29     14     
13/01/1954  0       Nulo   30.5   15.5   
14/01/1954  0       Nulo   31     18     
15/01/1954  0       Nulo   32     19.5   
16/01/1954  0       Nulo   32.5   20     
17/01/1954  9.8     Nulo   30     20.5   
18/01/1954  0       Nulo   32     17     
19/01/1954  0       Nulo   33     19     
20/01/1954  0       Nulo   33     20     
21/01/1954  0       Nulo   29.5   20.5   
22/01/1954  0       Nulo   31     18     
23/01/1954  1       Nulo   29     20     
24/01/1954  0       Nulo   30     18     
25/01/1954  0       Nulo   29.5   19     
26/01/1954  0       Nulo   30     18.5   
27/01/1954  0       Nulo   29     19     
28/01/1954  0       Nulo   29.5   18     
29/01/1954  0       Nulo   30     17.5   
30/01/1954  0       Nulo   28.5   18.5   
31/01/1954  0       Nulo   30     16     
01/02/1954  0       Nulo   29     17     
02/02/1954  0       Nulo   30     16     
03/02/1954  0       Nulo   29     17     
