CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 32137
NOMBRE    : CHICHIMEQUILLAS
ESTADO    : ZACATECAS
MUNICIPIO : Fresnillo
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 023.241°
LONGITUD  : -102.575°
ALTITUD   : 2060 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1981  0       Nulo   18     1      
02/01/1981  0       Nulo   16     -1     
03/01/1981  0       Nulo   19     2      
04/01/1981  0       Nulo   18     2      
05/01/1981  0       Nulo   21     2      
06/01/1981  0       Nulo   19     6      
07/01/1981  0       Nulo   19     7      
08/01/1981  0       Nulo   20     5      
09/01/1981  0       Nulo   20     4      
10/01/1981  0       Nulo   20     7      
11/01/1981  0       Nulo   20     4      
12/01/1981  1       Nulo   20     5      
13/01/1981  10      Nulo   20     5      
14/01/1981  0       Nulo   16     2      
15/01/1981  0       Nulo   18     0      
16/01/1981  0       Nulo   22     1      
17/01/1981  27      Nulo   12     5      
18/01/1981  2       Nulo   20     4      
19/01/1981  14      Nulo   20     4      
20/01/1981  0       Nulo   15     2      
21/01/1981  0       Nulo   20     2      
22/01/1981  0       Nulo   17     0      
23/01/1981  0       Nulo   18     2      
24/01/1981  0       Nulo   17     1      
25/01/1981  0       Nulo   18     0      
26/01/1981  0       Nulo   19     3      
27/01/1981  0       Nulo   18     4      
28/01/1981  3       Nulo   19     1      
29/01/1981  0       Nulo   22     1      
30/01/1981  0       Nulo   24     2      
31/01/1981  0       Nulo   24     5      
01/03/1981  0       Nulo   20     6      
02/03/1981  0       Nulo   22     8      
03/03/1981  0       Nulo   22     8      
04/03/1981  0       Nulo   24     8      
05/03/1981  0       Nulo   22     7      
06/03/1981  0       Nulo   23     7      
07/03/1981  0       Nulo   20     5      
08/03/1981  0       Nulo   22     4      
09/03/1981  0       Nulo   24     4      
10/03/1981  0       Nulo   22     6      
11/03/1981  0       Nulo   18     5      
12/03/1981  0       Nulo   23     7      
13/03/1981  0       Nulo   22     5      
14/03/1981  0       Nulo   23     6      
15/03/1981  0       Nulo   22     5      
16/03/1981  0       Nulo   22     7      
17/03/1981  1       Nulo   22     7      
18/03/1981  0       Nulo   24     5      
19/03/1981  0       Nulo   25     6      
20/03/1981  0       Nulo   24     7      
