CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 32154
NOMBRE    : CERRO DE LA VIRGEN OBS.ASTR.
ESTADO    : ZACATECAS
MUNICIPIO : Zacatecas
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 022.767°
LONGITUD  : -102.589°
ALTITUD   : 2462 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/12/2010  0       Nulo   18     Nulo   
02/12/2010  0       Nulo   12     2      
03/12/2010  0       Nulo   16     8      
04/12/2010  0       Nulo   18     6      
05/12/2010  0       Nulo   15     -1     
06/12/2010  0       Nulo   16     -3     
07/12/2010  0       Nulo   15     4      
08/12/2010  0       Nulo   13     7      
09/12/2010  0       Nulo   16     -2     
10/12/2010  0       Nulo   14     2      
11/12/2010  0       Nulo   17     4      
12/12/2010  0       Nulo   19     6      
13/12/2010  0       Nulo   15     5      
14/12/2010  0       Nulo   12     -3     
15/12/2010  0       Nulo   7      -5     
16/12/2010  0       Nulo   10     3      
17/12/2010  0       Nulo   11     2      
18/12/2010  0       Nulo   7      2      
19/12/2010  0       Nulo   15     3      
20/12/2010  0       Nulo   9      5      
21/12/2010  0       Nulo   10     2      
22/12/2010  0       Nulo   17     2      
23/12/2010  0       Nulo   14     8      
24/12/2010  0       Nulo   20     3      
25/12/2010  0       Nulo   20     -1     
26/12/2010  0       Nulo   8      -1     
27/12/2010  0       Nulo   18     3      
28/12/2010  0       Nulo   17     -3     
29/12/2010  0       Nulo   12     -2     
30/12/2010  0       Nulo   18     -1     
31/12/2010  Nulo    Nulo   Nulo   -1     
01/09/2011  5       Nulo   15     6      
02/09/2011  35      Nulo   12     4      
03/09/2011  24      Nulo   12     6      
04/09/2011  20      Nulo   11     5      
05/09/2011  5       Nulo   14     6      
06/09/2011  6       Nulo   13     3      
07/09/2011  0       Nulo   9      5      
08/09/2011  0       Nulo   12     2      
09/09/2011  0       Nulo   14     3      
10/09/2011  0       Nulo   12     4      
11/09/2011  0       Nulo   10     3      
12/09/2011  0       Nulo   12     3      
13/09/2011  0       Nulo   13     3      
14/09/2011  0       Nulo   14     4      
15/09/2011  0       Nulo   18     5      
16/09/2011  0       Nulo   17     7      
17/09/2011  0       Nulo   16     6      
18/09/2011  0       Nulo   14     7      
19/09/2011  20      Nulo   12     7      
20/09/2011  0       Nulo   11     6      
21/09/2011  0       Nulo   8      5      
22/09/2011  0       Nulo   13     6      
23/09/2011  0       Nulo   13     6      
24/09/2011  0       Nulo   14     4      
25/09/2011  0       Nulo   15     3      
26/09/2011  0       Nulo   14     7      
27/09/2011  0       Nulo   12     6      
28/09/2011  0       Nulo   11     4      
29/09/2011  5.5     Nulo   13     6      
30/09/2011  Nulo    Nulo   Nulo   6      
01/10/2011  0       Nulo   13     Nulo   
02/10/2011  0       Nulo   10     1      
03/10/2011  0       Nulo   10     0      
04/10/2011  0       Nulo   11     2      
05/10/2011  0       Nulo   14     2      
06/10/2011  0       Nulo   14     1      
07/10/2011  0       Nulo   15     2      
08/10/2011  0       Nulo   10     3      
09/10/2011  0       Nulo   11     3      
10/10/2011  0       Nulo   12     3      
11/10/2011  3       Nulo   11     2      
12/10/2011  2.5     Nulo   10     2      
13/10/2011  15      Nulo   9      2      
14/10/2011  0       Nulo   11     3      
15/10/2011  0       Nulo   13     0      
16/10/2011  0       Nulo   12     -1     
17/10/2011  0       Nulo   11     1      
18/10/2011  0       Nulo   14     2      
19/10/2011  0       Nulo   13     1      
20/10/2011  0       Nulo   14     2      
21/10/2011  0       Nulo   14     2      
22/10/2011  0       Nulo   13     0      
23/10/2011  0       Nulo   12     1      
24/10/2011  0       Nulo   13     1      
25/10/2011  0       Nulo   14     3      
26/10/2011  0       Nulo   14     4      
27/10/2011  0       Nulo   14     3      
28/10/2011  0       Nulo   16     2      
29/10/2011  0       Nulo   14     -2     
30/10/2011  0       Nulo   13     3      
31/10/2011  Nulo    Nulo   Nulo   2      
01/11/2011  0       Nulo   12     Nulo   
02/11/2011  0       Nulo   13     2      
03/11/2011  0       Nulo   14     2      
04/11/2011  0       Nulo   12     3      
05/11/2011  0       Nulo   13     2      
06/11/2011  0       Nulo   12     2      
07/11/2011  0       Nulo   13     2      
08/11/2011  0       Nulo   14     1      
09/11/2011  0       Nulo   14     -1     
10/11/2011  0       Nulo   13     -1     
11/11/2011  0       Nulo   11     2      
12/11/2011  0       Nulo   12     -1     
13/11/2011  0       Nulo   9      -1     
14/11/2011  0       Nulo   8      -1     
15/11/2011  0       Nulo   11     -4     
16/11/2011  0       Nulo   12     -3     
17/11/2011  0       Nulo   12     -2     
18/11/2011  0       Nulo   12     -2     
19/11/2011  0       Nulo   14     0      
20/11/2011  0       Nulo   15     2      
21/11/2011  0       Nulo   9      5      
22/11/2011  0       Nulo   8      -2     
23/11/2011  0       Nulo   12     -3     
24/11/2011  0       Nulo   14     1      
25/11/2011  0       Nulo   13     2      
26/11/2011  0       Nulo   13     -1     
27/11/2011  0       Nulo   8      -5     
28/11/2011  0       Nulo   9      -3     
29/11/2011  0       Nulo   8      -2     
30/11/2011  Nulo    Nulo   Nulo   -1     
01/12/2011  0       Nulo   12     Nulo   
02/12/2011  0       Nulo   12     1      
03/12/2011  0       Nulo   13     1      
04/12/2011  0       Nulo   12     0      
05/12/2011  0       Nulo   10     0      
06/12/2011  0       Nulo   12     0      
07/12/2011  0       Nulo   9      -1     
08/12/2011  0       Nulo   12     -1     
09/12/2011  0       Nulo   12     -1     
10/12/2011  0       Nulo   11     -1     
11/12/2011  0       Nulo   8      -3     
12/12/2011  0       Nulo   9      1      
13/12/2011  0       Nulo   14     -1     
14/12/2011  0       Nulo   13     0      
15/12/2011  0       Nulo   12     1      
16/12/2011  0       Nulo   10     1      
17/12/2011  0       Nulo   11     -2     
18/12/2011  0       Nulo   21     -1     
19/12/2011  0       Nulo   12     3      
20/12/2011  0       Nulo   15     2      
21/12/2011  0       Nulo   21     0      
22/12/2011  0       Nulo   18     3      
23/12/2011  0       Nulo   15     4      
24/12/2011  0       Nulo   16     3      
25/12/2011  0       Nulo   18     10     
26/12/2011  0       Nulo   20     9      
27/12/2011  0       Nulo   12     8      
28/12/2011  0       Nulo   15     3      
29/12/2011  0       Nulo   22     2      
30/12/2011  0       Nulo   17     5      
