Fecha,pp_em,pp_chirps,TMin,TMax
2000-01-01,0.0,0.0,18.0,32.0
2000-01-02,0.0,0.0,18.0,35.0
2000-01-03,0.0,0.0,17.0,32.0
2000-01-04,0.0,2.887135505676269,15.0,30.0
2000-01-05,0.0,2.887135505676269,14.0,30.0
2000-01-06,0.0,0.0,12.0,32.0
2000-01-07,0.0,0.0,12.0,32.0
2000-01-08,0.0,0.0,14.0,29.0
2000-01-09,0.0,0.0,11.0,32.0
2000-01-10,0.0,0.0,13.0,33.0
2000-01-11,0.0,0.0,14.0,31.0
2000-01-12,0.0,0.0,15.0,29.0
2000-01-13,0.0,0.0,12.0,30.0
2000-01-14,0.0,0.0,13.0,32.0
2000-01-15,0.0,0.0,15.0,29.0
2000-01-16,0.0,0.0,13.0,31.0
2000-01-17,0.0,0.0,11.0,32.0
2000-01-18,0.0,0.0,11.5,31.5
2000-01-19,0.0,0.0,12.0,30.0
2000-01-20,0.0,0.0,13.0,28.0
2000-01-21,0.0,0.0,14.0,27.0
2000-01-22,0.0,0.0,15.0,31.0
2000-01-23,0.0,0.0,14.0,30.0
2000-01-24,0.0,0.0,15.0,32.0
2000-01-25,0.0,0.0,15.0,33.0
2000-01-26,0.0,0.0,14.0,31.0
2000-01-27,0.0,0.0,15.0,30.0
2000-01-28,0.0,0.0,16.0,32.0
2000-01-29,0.0,0.0,14.0,34.0
2000-01-30,0.0,0.0,14.0,33.0
2000-01-31,0.0,0.0,15.0,32.0
2000-02-01,0.0,0.0,14.0,33.0
2000-02-02,0.0,0.0,15.0,32.5
2000-02-03,0.0,0.0,16.0,32.0
2000-02-04,0.0,0.0,15.0,30.0
2000-02-05,0.0,0.0,17.0,32.0
2000-02-06,0.0,0.0,19.0,33.0
2000-02-07,0.0,0.0,17.0,32.0
2000-02-08,0.0,0.0,17.0,34.0
2000-02-09,0.0,0.0,14.0,36.0
2000-02-10,0.0,0.0,15.0,33.0
2000-02-11,0.0,0.0,16.0,37.0
2000-02-12,0.0,0.0,17.0,33.0
2000-02-13,0.0,0.0,18.0,35.0
2000-02-14,0.0,0.0,16.0,34.0
2000-02-15,0.0,0.0,18.0,33.0
2000-02-16,0.0,0.0,19.5,34.0
2000-02-17,0.0,0.0,21.0,35.0
2000-02-18,0.0,0.0,20.0,33.0
2000-02-19,0.0,0.0,22.0,35.0
2000-02-20,0.0,0.0,23.0,36.0
2000-02-21,0.0,0.0,22.0,34.0
2000-02-22,0.0,0.0,21.0,35.0
2000-02-23,0.0,0.0,20.0,36.0
2000-02-24,0.0,0.0,21.0,35.0
2000-02-25,0.0,0.0,20.0,35.0
2000-02-26,0.0,0.0,21.0,38.0
2000-02-27,0.0,0.0,23.0,36.0
2000-02-28,0.0,0.0,23.5,35.0
2000-02-29,0.0,0.0,23.0,34.0
2000-03-01,0.0,0.0,25.0,33.0
2000-03-02,0.0,0.0,22.0,32.0
2000-03-03,0.0,0.0,23.0,34.0
2000-03-04,0.0,0.0,23.5,35.5
2000-03-05,0.0,0.0,24.0,34.5
2000-03-06,0.0,0.0,24.5,34.0
2000-03-07,0.0,0.0,22.0,36.0
2000-03-08,0.0,0.0,23.0,35.0
2000-03-09,0.0,0.0,24.0,36.0
2000-03-10,0.0,0.0,25.0,38.0
2000-03-11,0.0,0.0,25.0,38.0
2000-03-12,0.0,0.0,24.0,42.0
2000-03-13,0.0,0.0,24.5,39.0
2000-03-14,0.0,0.0,25.0,38.0
2000-03-15,0.0,0.0,25.0,38.0
2000-03-16,0.0,0.0,24.0,37.0
2000-03-17,0.0,0.0,23.0,34.0
2000-03-18,0.0,0.0,24.0,30.0
2000-03-19,0.0,0.0,21.0,33.0
2000-03-20,0.0,0.0,21.5,35.0
2000-03-21,0.0,0.0,21.0,34.0
2000-03-22,0.0,0.0,22.0,36.0
2000-03-23,0.0,0.0,22.0,38.0
2000-03-24,0.0,0.0,21.0,41.0
2000-03-25,0.0,0.0,24.0,41.0
2000-03-26,0.0,0.0,25.0,41.0
2000-03-27,0.0,0.0,26.0,40.0
2000-03-28,0.0,0.0,23.5,40.0
2000-03-29,0.0,0.0,21.0,41.5
2000-03-30,0.0,0.0,24.0,42.5
2000-03-31,0.0,0.0,25.0,40.0
2000-04-01,0.0,0.0,25.0,38.0
2000-04-02,0.0,0.0,26.0,35.5
2000-04-03,0.0,0.0,22.5,39.5
2000-04-04,0.0,0.0,23.0,35.0
2000-04-05,0.0,0.0,24.0,38.0
2000-04-06,0.0,0.0,26.0,37.0
2000-04-07,0.0,0.0,24.0,41.0
2000-04-08,0.0,0.0,25.0,42.0
2000-04-09,0.0,0.0,24.5,40.0
2000-04-10,0.0,0.0,25.0,39.0
2000-04-11,0.0,0.0,25.0,39.0
2000-04-12,0.0,0.0,24.0,42.0
2000-04-13,0.0,0.0,25.5,40.0
2000-04-14,0.0,0.0,25.0,38.0
2000-04-15,0.0,0.0,26.0,39.0
2000-04-16,0.0,0.0,25.0,42.0
2000-04-17,0.0,0.0,24.0,41.0
2000-04-18,0.0,0.0,26.0,37.0
2000-04-19,0.0,0.0,24.0,39.0
2000-04-20,0.0,0.0,25.0,40.0
2000-04-21,0.0,0.0,28.0,40.0
2000-04-22,0.0,0.0,25.0,40.0
2000-04-23,0.0,0.0,26.0,41.0
2000-04-24,0.0,0.0,26.0,39.0
2000-04-25,0.0,0.0,25.0,40.0
2000-04-26,0.0,0.0,26.0,38.0
2000-04-27,0.0,0.0,25.0,37.0
2000-04-28,0.0,0.0,23.0,39.0
2000-04-29,0.0,0.0,22.0,38.0
2000-04-30,0.0,0.0,22.0,40.0
2000-05-01,0.0,0.0,24.0,42.0
2000-05-02,0.0,0.0,24.0,38.0
2000-05-03,0.0,0.0,22.0,41.0
2000-05-04,0.0,0.0,23.0,43.0
2000-05-05,0.0,0.8265101909637451,25.0,40.0
2000-05-06,0.0,0.0,25.5,38.0
2000-05-07,0.0,0.0,27.0,39.0
2000-05-08,0.0,0.0,23.0,41.0
2000-05-09,0.0,0.0,25.0,41.0
2000-05-10,0.0,0.0,25.0,39.0
2000-05-11,0.0,0.0,24.0,37.0
2000-05-12,0.0,0.0,24.5,39.0
2000-05-13,0.0,0.0,25.0,38.0
2000-05-14,0.0,0.0,25.0,40.0
2000-05-15,0.0,0.0,26.0,42.0
2000-05-16,0.0,0.0,25.0,42.0
2000-05-17,0.0,0.0,26.0,40.0
2000-05-18,0.0,0.0,26.5,40.0
2000-05-19,0.0,0.0,23.5,40.0
2000-05-20,0.0,0.0,24.0,41.0
2000-05-21,0.0,0.0,24.0,43.0
2000-05-22,0.0,6.791726112365723,26.0,41.0
2000-05-23,0.0,13.583452224731444,25.0,38.0
2000-05-24,0.0,13.583452224731444,23.5,41.0
2000-05-25,0.0,0.0,25.0,39.0
2000-05-26,3.5,10.799256324768066,24.0,41.0
2000-05-27,0.0,0.0,23.0,42.0
2000-05-28,0.0,0.0,24.0,42.0
2000-05-29,0.0,10.799256324768066,25.0,41.0
2000-05-30,0.0,0.0,26.0,40.0
2000-05-31,22.0,10.799256324768066,25.0,36.0
2000-06-01,0.0,19.21131134033203,24.0,35.0
2000-06-02,0.0,4.802827835083008,25.0,37.0
2000-06-03,0.0,4.802827835083008,23.0,38.0
2000-06-04,19.0,4.802827835083008,24.0,35.0
2000-06-05,20.0,4.802827835083008,25.0,32.0
2000-06-06,23.0,17.13580322265625,23.0,29.0
2000-06-07,0.0,8.567901611328125,22.0,33.0
2000-06-08,17.0,0.0,22.0,32.0
2000-06-09,0.0,17.13580322265625,23.0,31.0
2000-06-10,40.0,8.567901611328125,24.0,30.0
2000-06-11,4.0,14.736271858215332,23.0,30.0
2000-06-12,6.0,4.91209077835083,24.0,32.0
2000-06-13,12.0,14.736271858215332,25.0,30.0
2000-06-14,0.0,9.82418155670166,24.0,31.0
2000-06-15,0.0,4.91209077835083,23.0,35.0
2000-06-16,0.0,0.0,24.0,37.0
2000-06-17,0.0,0.0,24.0,35.0
2000-06-18,0.0,8.357582092285156,25.0,35.0
2000-06-19,0.0,8.357582092285156,24.0,32.0
2000-06-20,0.0,0.0,25.0,36.0
2000-06-21,0.0,16.671810150146484,24.0,38.0
2000-06-22,45.0,16.671810150146484,24.0,37.0
2000-06-23,0.0,8.335905075073242,24.0,34.0
2000-06-24,5.0,0.0,23.0,33.0
2000-06-25,0.0,0.0,23.0,32.0
2000-06-26,40.0,0.0,23.0,34.0
2000-06-27,0.0,20.22081184387207,23.0,34.0
2000-06-28,0.0,0.0,22.0,34.0
2000-06-29,0.0,0.0,22.0,36.0
2000-06-30,0.0,20.22081184387207,23.0,35.0
2000-07-01,0.0,17.968374252319336,24.0,37.0
2000-07-02,0.0,0.0,22.0,33.0
2000-07-03,0.0,0.0,23.0,33.0
2000-07-04,0.0,0.0,24.0,31.0
2000-07-05,0.0,0.0,23.0,32.0
2000-07-06,0.0,7.416241645812988,22.0,31.0
2000-07-07,0.0,0.0,22.0,34.0
2000-07-08,0.0,7.416241645812988,23.0,37.0
2000-07-09,98.0,7.416241645812988,24.0,35.0
2000-07-10,8.0,22.24872589111328,23.0,33.0
2000-07-11,3.5,17.208192825317383,23.5,32.0
2000-07-12,0.0,4.302048206329346,23.0,34.0
2000-07-13,0.0,0.0,22.0,36.0
2000-07-14,0.0,0.0,23.0,35.0
2000-07-15,0.0,4.302048206329346,24.0,33.0
2000-07-16,0.0,5.6458001136779785,21.0,31.0
2000-07-17,0.0,11.291600227355955,20.0,33.5
2000-07-18,42.0,5.6458001136779785,22.0,32.0
2000-07-19,0.0,11.291600227355955,23.0,31.0
2000-07-20,0.0,0.0,24.0,35.0
2000-07-21,0.0,7.573678493499756,23.0,32.0
2000-07-22,0.0,15.147356986999512,24.0,30.0
2000-07-23,0.0,7.573678493499756,23.5,30.0
2000-07-24,0.0,0.0,24.0,33.0
2000-07-25,40.0,15.147356986999512,25.0,30.0
2000-07-26,0.0,9.352270126342772,23.0,31.0
2000-07-27,0.0,0.0,23.0,32.0
2000-07-28,0.0,0.0,22.0,30.0
2000-07-29,0.0,9.352270126342772,22.0,30.0
2000-07-30,0.0,9.352270126342772,23.0,30.0
2000-07-31,2.0,18.704540252685547,22.0,31.0
2000-08-01,40.0,30.359607696533203,23.0,31.0
2000-08-02,0.0,10.119869232177734,24.5,35.0
2000-08-03,0.0,10.119869232177734,23.0,34.0
2000-08-04,33.5,20.23973846435547,24.0,31.0
2000-08-05,4.0,10.119869232177734,24.0,34.0
