Fecha,pp_em,pp_chirps,TMin,TMax,delta
2000-01-01,0.0,0.0,1.5,22.5,0.0
2000-01-02,0.0,0.0,3.0,21.5,0.0
2000-01-03,0.0,0.0,2.5,21.5,0.0
2000-01-04,0.0,0.0,2.0,17.0,0.0
2000-01-05,0.0,0.0,1.5,18.0,0.0
2000-01-06,0.0,0.0,1.5,18.0,0.0
2000-01-07,0.0,0.0,2.0,19.0,0.0
2000-01-08,0.0,0.0,2.0,21.0,0.0
2000-01-09,0.0,0.0,2.0,19.0,0.0
2000-01-10,0.0,0.0,1.0,20.0,0.0
2000-01-11,0.0,0.0,2.0,20.5,0.0
2000-01-12,0.0,0.0,0.5,21.0,0.0
2000-01-13,0.0,0.0,0.0,20.0,0.0
2000-01-14,0.0,3.621626138687134,-0.5,8.0,-3.621626138687134
2000-01-15,0.0,2.963148832321167,-2.0,16.5,-2.963148832321167
2000-01-16,0.0,0.0,4.5,17.0,0.0
2000-01-17,0.0,0.0,5.0,14.0,0.0
2000-01-18,0.0,0.0,0.0,16.0,0.0
2000-01-19,0.0,0.0,-1.5,18.5,0.0
2000-01-20,0.0,0.0,-2.5,18.5,0.0
2000-01-21,0.0,0.0,-3.0,18.0,0.0
2000-01-22,0.0,0.0,0.5,18.5,0.0
2000-01-23,0.0,0.0,-1.0,22.5,0.0
2000-01-24,0.0,0.0,1.0,19.5,0.0
2000-01-25,0.0,0.0,2.0,22.0,0.0
2000-01-26,0.0,0.0,3.5,22.5,0.0
2000-01-27,0.0,0.0,5.5,22.5,0.0
2000-01-28,0.0,0.0,4.0,22.5,0.0
2000-01-29,0.0,0.0,2.5,22.0,0.0
2000-01-30,0.0,0.0,4.0,21.5,0.0
2000-01-31,0.0,0.0,2.5,21.5,0.0
2000-02-01,0.0,0.0,4.5,20.0,0.0
2000-02-02,0.0,0.0,4.5,21.0,0.0
2000-02-03,0.0,0.0,1.0,19.5,0.0
2000-02-04,0.0,0.0,-2.0,18.0,0.0
2000-02-05,0.0,0.0,1.0,16.0,0.0
2000-02-06,0.0,0.0,-0.5,18.5,0.0
2000-02-07,0.0,0.0,0.0,17.0,0.0
2000-02-08,0.0,0.0,-0.5,18.0,0.0
2000-02-09,0.0,0.0,-2.0,19.5,0.0
2000-02-10,0.0,0.0,-3.0,22.5,0.0
2000-02-11,0.0,0.0,0.0,23.0,0.0
2000-02-12,0.0,0.0,0.5,24.0,0.0
2000-02-13,0.0,0.0,1.0,23.0,0.0
2000-02-14,0.0,0.0,4.0,23.5,0.0
2000-02-15,0.0,0.0,4.0,23.5,0.0
2000-02-16,0.0,0.0,4.0,24.0,0.0
2000-02-17,0.0,0.0,4.0,25.0,0.0
2000-02-18,0.0,0.0,5.0,22.5,0.0
2000-02-19,0.0,1.6871864795684814,5.0,22.0,-1.6871864795684814
2000-02-20,0.0,0.0,4.0,21.0,0.0
2000-02-21,0.0,0.0,4.0,20.5,0.0
2000-02-22,0.0,0.0,4.0,21.5,0.0
2000-02-23,0.0,0.0,5.0,22.5,0.0
2000-02-24,0.0,1.0250614881515503,5.0,23.5,-1.0250614881515503
2000-02-25,0.9,3.0751845836639404,5.5,22.5,-2.1751845836639405
2000-02-26,0.0,0.3797030746936798,4.5,24.5,-0.3797030746936798
2000-02-27,0.0,0.7594061493873596,3.5,22.0,-0.7594061493873596
2000-02-28,0.0,0.7594061493873596,3.5,21.5,-0.7594061493873596
2000-02-29,0.0,0.0,3.5,23.0,0.0
2000-03-01,0.0,0.0,2.5,23.0,0.0
2000-03-02,0.0,0.0,3.0,23.0,0.0
2000-03-03,0.0,0.0,3.5,25.0,0.0
2000-03-04,0.0,0.0,5.5,21.5,0.0
2000-03-05,0.0,4.086587905883789,4.5,22.0,-4.086587905883789
2000-03-06,0.0,1.481728434562683,5.0,21.5,-1.481728434562683
2000-03-07,0.0,0.0,5.0,21.5,0.0
2000-03-08,0.0,1.481728434562683,4.5,24.0,-1.481728434562683
2000-03-09,0.0,0.0,4.5,24.0,0.0
2000-03-10,0.0,0.0,6.5,24.0,0.0
2000-03-11,0.0,0.0,6.0,24.0,0.0
2000-03-12,0.0,0.0,3.5,23.5,0.0
2000-03-13,0.0,0.0,4.5,22.5,0.0
2000-03-14,0.0,0.0,5.0,22.5,0.0
2000-03-15,0.0,0.0,4.5,22.0,0.0
2000-03-16,0.0,0.0,4.5,22.0,0.0
2000-03-17,0.0,0.0,2.0,23.0,0.0
2000-03-18,0.0,0.0,5.0,23.5,0.0
2000-03-19,0.0,0.0,5.0,23.0,0.0
2000-03-20,0.0,0.0,7.0,24.0,0.0
